collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39049,270.1,196.59999999999997,378.00000000000006,20.4,291.0,290.5
2020-08-09,OH,39049,288.09999999999997,176.5,406.5999999999999,22.3,310.4,310.4
2020-08-16,OH,39049,233.1,149.70000000000002,410.79999999999995,7.1,236.29999999999998,240.2
2020-08-23,OH,39049,215.7,137.6,400.59999999999997,7.3,219.70000000000002,223.0
2020-08-30,OH,39049,182.7,152.9,376.6,8.7,191.39999999999998,191.39999999999998
2020-09-06,OH,39049,152.29999999999998,126.19999999999999,392.5,15.0,167.39999999999998,167.29999999999998
2020-09-13,OH,39049,128.8,115.69999999999999,417.49999999999994,15.9,144.9,144.70000000000002
2020-09-20,OH,39049,113.7,104.60000000000001,420.5,14.9,128.6,128.6
2020-09-27,OH,39049,135.8,125.29999999999998,437.40000000000003,27.1,162.9,162.9
2020-10-04,OH,39049,147.2,134.2,432.3999999999999,8.7,155.89999999999998,155.89999999999998
2020-10-11,OH,39049,153.0,143.8,441.80000000000007,10.6,164.10000000000002,163.6
2020-10-18,OH,39049,163.7,160.4,421.3,17.9,181.6,181.6
2020-10-25,OH,39049,182.3,176.2,422.6,31.7,214.0,214.0
2020-11-01,OH,39049,227.0,223.1,422.90000000000003,20.7,248.29999999999998,247.7
2020-11-08,OH,39049,301.59999999999997,292.8,426.3,19.4,321.1,320.99999999999994
2020-11-15,OH,39049,386.1,378.6,430.09999999999997,17.3,403.40000000000003,403.40000000000003
2020-11-22,OH,39049,461.5,454.2,454.4000000000001,16.7,478.5,478.2
2020-11-29,OH,39049,546.0,537.1999999999999,477.20000000000005,16.9,562.9,562.9
2020-12-06,OH,39049,578.6999999999999,570.4999999999999,490.20000000000005,15.9,594.8,594.5999999999999
2020-12-13,OH,39049,571.3,565.1,495.7,20.0,591.3,591.3
2020-12-20,OH,39049,505.2,500.9000000000001,491.90000000000003,13.1,518.3000000000001,518.3
2020-12-27,OH,39049,437.2,430.4,492.9000000000001,16.0,453.2,453.2
2021-01-03,OH,39049,430.0,423.70000000000005,492.3999999999999,15.0,445.0,445.0
2021-01-10,OH,39049,421.5,415.2,479.1,14.0,435.5,435.5
2021-01-17,OH,39049,364.1,358.7,470.00000000000006,13.9,379.29999999999995,378.0
2021-01-24,OH,39049,294.1,287.40000000000003,459.2,18.4,312.5,312.5
2021-01-31,OH,39049,226.29999999999998,219.8,430.90000000000003,17.7,243.99999999999997,243.99999999999997
2021-02-07,OH,39049,185.70000000000002,181.89999999999998,423.1,16.0,201.70000000000002,201.70000000000002
2021-02-14,OH,39049,165.9,163.4,432.29999999999995,10.6,176.5,176.5
2021-02-21,OH,39049,152.1,148.6,424.70000000000005,10.3,162.4,162.4
2021-02-28,OH,39049,121.3,118.50000000000003,427.6,12.0,133.3,133.3
2021-03-07,OH,39049,100.1,96.39999999999999,423.7,16.0,116.1,116.1
2021-03-14,OH,39049,87.10000000000001,83.80000000000001,405.20000000000005,16.9,104.20000000000002,104.0
2021-03-21,OH,39049,102.1,97.6,426.3999999999999,13.4,115.5,115.5
2021-03-28,OH,39049,108.5,105.1,434.5,12.7,121.2,121.2
2021-04-04,OH,39049,136.3,132.0,422.5,7.7,144.0,144.0
2021-04-11,OH,39049,157.0,151.8,447.50000000000006,9.9,166.9,166.9
2021-04-18,OH,39049,140.7,136.2,444.79999999999995,11.3,152.0,152.0
2021-04-25,OH,39049,139.7,136.29999999999998,433.5,11.7,151.4,151.39999999999998
2021-05-02,OH,39049,131.9,129.5,448.19999999999993,7.0,139.0,138.9
2021-05-09,OH,39049,106.69999999999999,104.3,436.4,11.0,117.69999999999999,117.69999999999999
2021-05-16,OH,39049,85.5,82.9,440.09999999999997,10.0,95.5,95.5
2021-05-23,OH,39049,89.30000000000001,86.6,442.1,7.7,97.00000000000001,97.00000000000001
2021-05-30,OH,39049,93.8,91.00000000000001,434.09999999999997,6.3,100.1,100.1
2021-06-06,OH,39049,61.3,58.4,441.70000000000005,7.1,68.39999999999999,68.39999999999999
2021-06-13,OH,39049,42.5,36.2,435.70000000000005,0.0,42.5,42.5
2021-06-20,OH,39049,28.1,24.4,416.1,4.4,32.5,32.5
2021-06-27,OH,39049,33.0,30.400000000000006,400.99999999999994,0.0,33.0,33.0
2021-07-04,OH,39049,17.2,16.099999999999998,417.4,0.0,17.2,17.2
2021-07-11,OH,39049,25.1,23.1,427.5,0.0,25.1,25.1
2021-07-18,OH,39049,37.6,35.7,430.19999999999993,4.1,41.7,41.7
2021-07-25,OH,39049,54.699999999999996,53.0,434.0,5.3,60.099999999999994,59.99999999999999
2021-08-01,OH,39049,78.9,73.0,429.29999999999995,7.4,87.7,86.30000000000001
2021-08-08,OH,39049,117.10000000000001,114.6,434.29999999999995,7.1,124.3,124.2
2021-08-15,OH,39049,180.70000000000002,177.3,430.90000000000003,10.1,190.8,190.8
2021-08-22,OH,39049,231.7,227.20000000000005,456.0,16.4,248.2,248.1
2021-08-29,OH,39049,274.5,269.6,456.3,20.4,295.2,294.9
2021-09-05,OH,39049,335.3,331.8,481.29999999999995,27.9,363.2,363.2
2021-09-12,OH,39049,343.40000000000003,338.5,478.09999999999997,34.3,377.70000000000005,377.70000000000005
2021-09-19,OH,39049,343.9,340.3,474.30000000000007,24.7,369.3,368.59999999999997
2021-09-26,OH,39049,341.2,337.7,463.49999999999994,15.3,356.5,356.5
2021-10-03,OH,39049,317.4,312.90000000000003,468.7,16.1,333.5,333.5
2021-10-10,OH,39049,290.0,284.70000000000005,449.8,14.7,306.09999999999997,304.7
2021-10-17,OH,39049,254.0,249.89999999999998,446.8,10.1,264.1,264.1
2021-10-24,OH,39049,201.79999999999998,198.0,444.29999999999995,14.9,216.7,216.7
2021-10-31,OH,39049,189.8,186.8,448.49999999999994,18.7,208.5,208.5
2021-11-07,OH,39049,193.1,188.90000000000003,443.59999999999997,12.9,206.0,206.0
2021-11-14,OH,39049,195.7,189.0,443.8,12.1,207.79999999999998,207.79999999999998
2021-11-21,OH,39049,226.4,221.9,436.90000000000003,9.7,236.1,236.1
2021-11-28,OH,39049,275.9,270.3,435.8,9.6,285.5,285.5
2021-12-05,OH,39049,324.7,319.6,442.0999999999999,15.4,340.3,340.09999999999997
2021-12-12,OH,39049,373.40000000000003,368.6000000000001,441.8,18.7,392.2,392.1
2021-12-19,OH,39049,393.2,388.70000000000005,423.0,22.0,415.49999999999994,415.2
2021-12-26,OH,39049,515.7,510.3,454.4,15.4,531.3,531.1
