collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39055,4.6,4.4,4.9,0.0,4.6,4.6
2020-08-09,OH,39055,11.3,0,4.3,0.0,11.3,11.3
2020-08-16,OH,39055,0,0,4.1,0.0,0,0.0
2020-08-23,OH,39055,6.4,5.6,12.8,0.0,6.4,6.4
2020-08-30,OH,39055,9.399999999999999,0,10.0,0.0,9.399999999999999,9.399999999999999
2020-09-06,OH,39055,7.6,0,7.7,0.0,7.6,7.6
2020-09-13,OH,39055,5.6,0,6.7,0.0,5.6,5.6
2020-09-20,OH,39055,0,0,8.1,0.0,0,0.0
2020-09-27,OH,39055,0,0,9.9,0.0,0,0.0
2020-10-04,OH,39055,6.7,0,14.4,0.0,6.7,6.7
2020-10-11,OH,39055,10.0,4.1,15.4,0.0,10.0,10.0
2020-10-18,OH,39055,6.4,5.7,14.3,0.0,6.4,6.4
2020-10-25,OH,39055,8.6,6.4,10.4,0.0,8.6,8.6
2020-11-01,OH,39055,18.4,16.0,15.399999999999999,0.0,18.7,18.4
2020-11-08,OH,39055,36.6,34.3,11.1,0,37.2,36.6
2020-11-15,OH,39055,31.3,26.200000000000003,16.4,0.0,31.3,31.3
2020-11-22,OH,39055,37.5,32.7,15.7,0.0,37.7,37.5
2020-11-29,OH,39055,42.7,40.599999999999994,16.9,0.0,42.7,42.7
2020-12-06,OH,39055,39.7,36.5,17.6,0.0,39.7,39.7
2020-12-13,OH,39055,28.200000000000003,24.599999999999998,16.8,0.0,28.200000000000003,28.200000000000003
2020-12-20,OH,39055,29.6,26.1,15.9,0.0,29.700000000000003,29.6
2020-12-27,OH,39055,32.4,26.5,16.7,0.0,32.4,32.4
2021-01-03,OH,39055,24.799999999999997,20.6,17.6,0.0,25.0,24.799999999999997
2021-01-10,OH,39055,22.9,18.2,15.5,0.0,23.3,22.9
2021-01-17,OH,39055,24.0,19.4,11.9,0.0,24.1,24.0
2021-01-24,OH,39055,18.3,17.0,10.6,0.0,18.3,18.3
2021-01-31,OH,39055,10.6,9.6,9.3,0.0,10.6,10.6
2021-02-07,OH,39055,8.9,7.9,9.3,0.0,9.0,8.9
2021-02-14,OH,39055,7.7,4.7,15.7,0.0,7.7,7.7
2021-02-21,OH,39055,7.7,5.0,12.1,0.0,7.7,7.7
2021-02-28,OH,39055,10.3,8.3,13.0,0.0,10.3,10.3
2021-03-07,OH,39055,8.3,5.9,8.3,0.0,8.3,8.3
2021-03-14,OH,39055,9.9,6.4,14.5,0.0,9.9,9.9
2021-03-21,OH,39055,7.7,6.7,10.7,0.0,7.7,7.7
2021-03-28,OH,39055,12.100000000000001,5.0,8.9,0.0,12.100000000000001,12.100000000000001
2021-04-04,OH,39055,12.3,4.0,11.3,0.0,12.3,12.3
2021-04-11,OH,39055,11.100000000000001,4.6,14.399999999999999,0.0,11.100000000000001,11.100000000000001
2021-04-18,OH,39055,13.600000000000001,11.3,15.5,0.0,13.600000000000001,13.600000000000001
2021-04-25,OH,39055,15.600000000000001,12.3,11.6,0.0,15.600000000000001,15.600000000000001
2021-05-02,OH,39055,13.7,10.8,10.6,0.0,13.7,13.7
2021-05-09,OH,39055,14.1,12.3,13.6,0.0,14.1,14.1
2021-05-16,OH,39055,13.2,10.8,10.3,0.0,13.2,13.2
2021-05-23,OH,39055,10.7,7.3,11.1,0.0,10.7,10.7
2021-05-30,OH,39055,17.0,7.7,10.9,0.0,17.0,17.0
2021-06-06,OH,39055,9.0,5.7,16.0,0.0,9.0,9.0
2021-06-13,OH,39055,6.1,4.9,10.0,0.0,6.1,6.1
2021-06-20,OH,39055,0,0,10.6,0.0,0,0.0
2021-06-27,OH,39055,0,0.0,9.7,0.0,0,0.0
2021-07-04,OH,39055,7.4,0.0,10.1,0.0,7.4,7.4
2021-07-11,OH,39055,8.3,0.0,8.3,0.0,8.3,8.3
2021-07-18,OH,39055,5.3,0,10.4,0.0,5.3,5.3
2021-07-25,OH,39055,8.9,7.3,11.4,0.0,8.9,8.9
2021-08-01,OH,39055,8.3,4.9,10.9,0.0,8.3,8.3
2021-08-08,OH,39055,7.7,4.0,10.7,0.0,7.7,7.7
2021-08-15,OH,39055,9.0,6.3,14.5,0.0,9.0,9.0
2021-08-22,OH,39055,7.6,5.4,11.3,0.0,7.6,7.6
2021-08-29,OH,39055,18.1,9.7,15.399999999999999,0.0,18.1,18.1
2021-09-05,OH,39055,24.8,18.0,10.6,0.0,24.8,24.8
2021-09-12,OH,39055,28.5,25.0,16.4,0.0,28.5,28.5
2021-09-19,OH,39055,26.1,18.6,16.299999999999997,0.0,26.1,26.1
2021-09-26,OH,39055,21.3,17.4,17.0,0.0,21.4,21.3
2021-10-03,OH,39055,17.0,14.9,11.1,0.0,17.0,17.0
2021-10-10,OH,39055,18.4,15.3,12.0,0.0,18.4,18.4
2021-10-17,OH,39055,20.1,18.7,12.0,0.0,20.1,20.1
2021-10-24,OH,39055,23.9,23.0,12.0,0.0,23.9,23.9
2021-10-31,OH,39055,27.4,24.6,11.7,0.0,27.4,27.4
2021-11-07,OH,39055,33.1,29.6,12.0,0.0,33.1,33.1
2021-11-14,OH,39055,38.3,35.4,12.4,0.0,38.4,38.3
2021-11-21,OH,39055,45.8,42.8,12.7,0.0,45.8,45.8
2021-11-28,OH,39055,41.1,37.4,14.4,0.0,41.1,41.1
2021-12-05,OH,39055,45.4,41.9,14.9,0.0,45.7,45.4
2021-12-12,OH,39055,47.300000000000004,43.7,12.1,0.0,47.300000000000004,47.300000000000004
2021-12-19,OH,39055,35.9,34.1,16.1,0.0,35.9,35.9
2021-12-26,OH,39055,45.6,43.3,17.4,0.0,45.6,45.6
