collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39059,0,0,0,0,0.0,0.0
2020-08-09,OH,39059,0.0,0.0,6.3,0.0,0.0,0.0
2020-08-16,OH,39059,0.0,0.0,5.9,0.0,0.0,0.0
2020-08-23,OH,39059,0.0,0.0,5.4,0.0,0.0,0.0
2020-08-30,OH,39059,0,0,5.6,0.0,0,0.0
2020-09-06,OH,39059,0.0,0.0,5.0,0.0,0.0,0.0
2020-09-13,OH,39059,0,0,5.6,0.0,0,0.0
2020-09-20,OH,39059,0,0,7.6,0.0,0,0.0
2020-09-27,OH,39059,0,0,0,0.0,0,0.0
2020-10-04,OH,39059,0,0,5.7,0.0,0,0.0
2020-10-11,OH,39059,0,0,9.7,0.0,0,0.0
2020-10-18,OH,39059,0,0,7.4,0.0,0,0.0
2020-10-25,OH,39059,5.7,5.7,6.3,0.0,5.7,5.7
2020-11-01,OH,39059,4.7,4.7,5.9,0.0,4.7,4.7
2020-11-08,OH,39059,9.4,9.4,5.9,0.0,9.4,9.4
2020-11-15,OH,39059,13.7,13.3,6.4,0.0,13.7,13.7
2020-11-22,OH,39059,13.1,13.1,6.6,0,13.4,13.1
2020-11-29,OH,39059,14.6,14.6,9.0,0.0,14.6,14.6
2020-12-06,OH,39059,20.0,20.0,8.9,0.0,20.0,20.0
2020-12-13,OH,39059,23.6,23.4,9.0,0.0,23.6,23.6
2020-12-20,OH,39059,18.3,18.3,7.4,0.0,18.3,18.3
2020-12-27,OH,39059,15.0,15.0,8.3,0,15.1,15.0
2021-01-03,OH,39059,13.4,13.4,7.6,0.0,13.4,13.4
2021-01-10,OH,39059,14.3,14.3,7.9,0.0,14.3,14.3
2021-01-17,OH,39059,9.4,9.4,6.9,0.0,9.4,9.4
2021-01-24,OH,39059,8.7,8.1,8.1,0.0,8.7,8.7
2021-01-31,OH,39059,7.7,7.6,7.0,0.0,7.7,7.7
2021-02-07,OH,39059,0,0,6.4,0.0,0,0.0
2021-02-14,OH,39059,0,0,6.4,0,0,0.0
2021-02-21,OH,39059,0,0,6.4,0.0,0,0.0
2021-02-28,OH,39059,0,0,7.7,0.0,0,0.0
2021-03-07,OH,39059,4.0,4.0,10.4,0.0,4.0,4.0
2021-03-14,OH,39059,0,0,7.6,0.0,0,0.0
2021-03-21,OH,39059,0,0,7.4,0.0,0,0.0
2021-03-28,OH,39059,0,0,8.1,0.0,0,0.0
2021-04-04,OH,39059,0,0,7.0,0.0,0,0.0
2021-04-11,OH,39059,0,0,5.7,0.0,0,0.0
2021-04-18,OH,39059,0,0,6.3,0.0,0,0.0
2021-04-25,OH,39059,0,0,7.6,0.0,0,0.0
2021-05-02,OH,39059,0,0,6.7,0.0,0,0.0
2021-05-09,OH,39059,0,0,6.4,0.0,0,0.0
2021-05-16,OH,39059,4.9,4.9,6.4,0.0,4.9,4.9
2021-05-23,OH,39059,0,0,5.7,0.0,0,0.0
2021-05-30,OH,39059,0,0,6.1,0.0,0,0.0
2021-06-06,OH,39059,0,0,5.9,0.0,0,0.0
2021-06-13,OH,39059,0,0,5.1,0.0,0,0.0
2021-06-20,OH,39059,0,0,6.9,0.0,0,0.0
2021-06-27,OH,39059,0,0,6.4,0.0,0,0.0
2021-07-04,OH,39059,0,0,5.0,0.0,0,0.0
2021-07-11,OH,39059,0,0,6.3,0.0,0,0.0
2021-07-18,OH,39059,0.0,0.0,8.7,0.0,0.0,0.0
2021-07-25,OH,39059,0,0,8.0,0.0,0,0.0
2021-08-01,OH,39059,0,0,7.7,0.0,0,0.0
2021-08-08,OH,39059,0,0,7.1,0.0,0,0.0
2021-08-15,OH,39059,0,0,6.9,0.0,0,0.0
2021-08-22,OH,39059,4.9,4.9,6.3,0,5.0,4.9
2021-08-29,OH,39059,13.1,13.1,7.4,0.0,13.1,13.1
2021-09-05,OH,39059,12.3,12.3,8.9,0.0,12.3,12.3
2021-09-12,OH,39059,10.1,10.1,8.1,0.0,10.1,10.1
2021-09-19,OH,39059,13.4,13.4,9.6,0.0,13.4,13.4
2021-09-26,OH,39059,19.1,19.1,10.4,0,20.4,19.1
2021-10-03,OH,39059,18.4,18.4,10.6,0.0,18.4,18.4
2021-10-10,OH,39059,21.9,21.9,9.0,0.0,21.9,21.9
2021-10-17,OH,39059,22.4,22.4,9.7,0.0,22.4,22.4
2021-10-24,OH,39059,10.4,10.4,8.1,0.0,10.4,10.4
2021-10-31,OH,39059,13.7,13.7,9.3,0.0,13.7,13.7
2021-11-07,OH,39059,14.3,14.3,7.7,0.0,14.3,14.3
2021-11-14,OH,39059,13.1,13.1,8.3,0.0,13.1,13.1
2021-11-21,OH,39059,10.3,10.3,9.9,0.0,10.3,10.3
2021-11-28,OH,39059,7.6,7.6,10.6,0.0,7.6,7.6
2021-12-05,OH,39059,16.1,16.1,10.0,0.0,16.1,16.1
2021-12-12,OH,39059,25.9,25.9,10.1,0,26.1,25.9
2021-12-19,OH,39059,24.1,24.1,10.7,0,24.3,24.1
2021-12-26,OH,39059,15.9,15.9,10.4,0.0,15.9,15.9
