collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39061,236.20000000000002,94.49999999999999,270.9,0.0,236.20000000000002,236.20000000000002
2020-08-09,OH,39061,255.29999999999998,116.39999999999999,282.4,0.0,255.29999999999998,255.29999999999998
2020-08-16,OH,39061,243.8,105.10000000000001,275.79999999999995,6.0,251.4,249.8
2020-08-23,OH,39061,190.7,75.30000000000001,288.3,0.0,194.9,190.7
2020-08-30,OH,39061,184.6,69.4,292.7,0.0,184.6,184.6
2020-09-06,OH,39061,193.5,72.0,311.59999999999997,0.0,193.5,193.5
2020-09-13,OH,39061,176.5,63.00000000000001,296.09999999999997,0.0,176.5,176.5
2020-09-20,OH,39061,153.9,56.0,278.20000000000005,0.0,153.9,153.9
2020-09-27,OH,39061,171.6,62.8,299.3,0.0,171.6,171.6
2020-10-04,OH,39061,203.1,77.4,290.6,0.0,203.1,203.1
2020-10-11,OH,39061,252.5,121.69999999999999,281.9,0.0,252.5,252.5
2020-10-18,OH,39061,259.9,145.3,296.3,0.0,263.9,259.9
2020-10-25,OH,39061,255.1,160.4,303.2,8.4,263.5,263.5
2020-11-01,OH,39061,288.9,193.7,304.3,4.4,293.6,293.29999999999995
2020-11-08,OH,39061,360.90000000000003,258.4,313.8,5.3,367.90000000000003,366.20000000000005
2020-11-15,OH,39061,435.9,321.0,308.00000000000006,9.1,446.69999999999993,445.0
2020-11-22,OH,39061,520.8,397.30000000000007,301.29999999999995,9.0,530.9,529.8
2020-11-29,OH,39061,554.8,434.50000000000006,305.2,8.9,564.9,563.6999999999999
2020-12-06,OH,39061,564.0,421.5,318.7,13.0,579.3,577.0
2020-12-13,OH,39061,582.8000000000001,462.79999999999995,316.59999999999997,16.6,600.9000000000001,599.4000000000001
2020-12-20,OH,39061,531.8000000000001,442.4,304.3,13.3,546.3000000000001,545.1
2020-12-27,OH,39061,563.8,449.8999999999999,321.09999999999997,12.6,578.0999999999999,576.4
2021-01-03,OH,39061,555.0000000000001,447.19999999999993,335.49999999999994,15.0,573.9000000000001,570.0000000000001
