collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39093,38.199999999999996,17.1,41.3,0.0,38.199999999999996,38.199999999999996
2020-08-09,OH,39093,30.400000000000002,10.3,42.599999999999994,0.0,30.400000000000002,30.400000000000002
2020-08-16,OH,39093,29.9,9.2,40.3,0.0,29.9,29.9
2020-08-23,OH,39093,17.5,9.399999999999999,29.0,0.0,17.5,17.5
2020-08-30,OH,39093,12.7,0.0,39.4,0.0,12.7,12.7
2020-09-06,OH,39093,4.3,0.0,30.4,0.0,4.3,4.3
2020-09-13,OH,39093,0.0,0.0,34.599999999999994,0.0,0.0,0.0
2020-09-20,OH,39093,0.0,0.0,37.0,0.0,0.0,0.0
2020-09-27,OH,39093,4.3,0.0,37.099999999999994,0.0,4.3,4.3
2020-10-04,OH,39093,8.9,0.0,34.7,0.0,8.9,8.9
2020-10-11,OH,39093,11.7,0.0,35.3,0.0,11.7,11.7
2020-10-18,OH,39093,15.9,10.0,41.099999999999994,0.0,15.9,15.9
2020-10-25,OH,39093,15.4,15.4,40.1,0.0,15.4,15.4
2020-11-01,OH,39093,31.900000000000002,26.0,40.900000000000006,0.0,31.900000000000002,31.900000000000002
2020-11-08,OH,39093,61.8,57.5,44.5,0.0,62.0,61.8
2020-11-15,OH,39093,92.0,87.1,41.8,0.0,92.0,92.0
2020-11-22,OH,39093,119.0,101.9,47.5,0.0,119.0,119.0
2020-11-29,OH,39093,143.7,122.5,47.6,0.0,143.7,143.7
2020-12-06,OH,39093,130.2,104.9,55.3,0.0,130.2,130.2
2020-12-13,OH,39093,129.1,123.0,54.599999999999994,0.0,129.1,129.1
2020-12-20,OH,39093,116.20000000000002,109.7,52.0,0.0,116.20000000000002,116.20000000000002
2020-12-27,OH,39093,106.69999999999999,101.0,44.2,0.0,106.69999999999999,106.69999999999999
2021-01-03,OH,39093,105.0,100.6,47.599999999999994,0.0,105.0,105.0
2021-01-10,OH,39093,98.9,93.8,51.599999999999994,0.0,98.9,98.9
2021-01-17,OH,39093,87.9,83.6,56.1,0.0,89.3,87.9
2021-01-24,OH,39093,79.6,73.1,47.4,0.0,79.6,79.6
2021-01-31,OH,39093,68.1,61.89999999999999,46.900000000000006,0.0,68.1,68.1
2021-02-07,OH,39093,65.6,61.8,46.0,0.0,65.6,65.6
2021-02-14,OH,39093,54.0,51.0,49.2,0.0,54.0,54.0
2021-02-21,OH,39093,42.099999999999994,37.8,41.099999999999994,0.0,42.099999999999994,42.099999999999994
2021-02-28,OH,39093,30.5,26.9,34.7,0.0,30.5,30.5
2021-03-07,OH,39093,23.8,20.4,37.3,0.0,23.8,23.8
2021-03-14,OH,39093,24.2,10.0,37.0,0.0,24.2,24.2
2021-03-21,OH,39093,31.7,19.299999999999997,29.3,0.0,33.2,31.7
2021-03-28,OH,39093,35.2,26.3,39.300000000000004,0.0,35.2,35.2
2021-04-04,OH,39093,39.5,29.6,33.2,0.0,39.5,39.5
2021-04-11,OH,39093,42.7,33.0,42.900000000000006,0.0,42.7,42.7
2021-04-18,OH,39093,46.4,35.2,40.4,0.0,46.4,46.4
2021-04-25,OH,39093,33.5,28.0,34.599999999999994,0.0,33.5,33.5
2021-05-02,OH,39093,27.9,19.1,37.6,0.0,27.9,27.9
2021-05-09,OH,39093,24.799999999999997,15.1,39.900000000000006,0.0,24.799999999999997,24.799999999999997
2021-05-16,OH,39093,28.799999999999997,18.700000000000003,40.400000000000006,0.0,28.799999999999997,28.799999999999997
2021-05-23,OH,39093,21.9,10.3,43.3,0.0,21.9,21.9
2021-05-30,OH,39093,21.0,9.8,39.4,0.0,21.0,21.0
2021-06-06,OH,39093,18.0,7.7,41.800000000000004,0.0,19.0,18.0
2021-06-13,OH,39093,15.4,5.4,38.900000000000006,0.0,15.4,15.4
2021-06-20,OH,39093,12.3,0.0,33.900000000000006,0.0,12.3,12.3
2021-06-27,OH,39093,16.0,4.0,36.599999999999994,0.0,16.0,16.0
2021-07-04,OH,39093,11.7,0.0,31.1,0.0,11.7,11.7
2021-07-11,OH,39093,10.1,0.0,38.8,0.0,10.1,10.1
2021-07-18,OH,39093,10.1,0.0,41.3,0.0,10.1,10.1
2021-07-25,OH,39093,20.1,9.8,45.4,0.0,20.1,20.1
2021-08-01,OH,39093,26.1,19.200000000000003,46.4,0.0,26.1,26.1
2021-08-08,OH,39093,28.700000000000003,22.099999999999998,44.7,0.0,29.6,28.700000000000003
2021-08-15,OH,39093,36.9,29.9,46.0,0.0,36.9,36.9
2021-08-22,OH,39093,40.199999999999996,37.099999999999994,51.8,0.0,40.199999999999996,40.199999999999996
2021-08-29,OH,39093,51.800000000000004,48.4,51.2,0.0,51.800000000000004,51.800000000000004
2021-09-05,OH,39093,67.89999999999999,64.0,53.3,0.0,67.89999999999999,67.89999999999999
2021-09-12,OH,39093,86.4,79.80000000000001,53.7,0.0,86.4,86.4
2021-09-19,OH,39093,108.5,89.5,50.9,0.0,108.5,108.5
