collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39095,149.0,83.8,149.5,0.0,150.29999999999998,149.0
2020-08-09,OH,39095,139.4,82.9,162.6,0.0,140.10000000000002,139.4
2020-08-16,OH,39095,117.19999999999999,71.4,169.3,0.0,118.0,117.19999999999999
2020-08-23,OH,39095,113.6,68.10000000000001,165.0,0.0,113.9,113.6
2020-08-30,OH,39095,109.0,66.69999999999999,175.4,0.0,109.9,109.0
2020-09-06,OH,39095,93.70000000000002,54.4,164.5,0.0,95.9,93.70000000000002
2020-09-13,OH,39095,79.5,51.9,164.5,0.0,80.5,79.5
2020-09-20,OH,39095,69.69999999999999,44.1,171.39999999999998,0.0,70.0,69.69999999999999
2020-09-27,OH,39095,71.7,44.5,159.89999999999998,0.0,71.7,71.7
2020-10-04,OH,39095,83.19999999999999,54.9,155.60000000000002,0.0,83.19999999999999,83.19999999999999
2020-10-11,OH,39095,88.6,55.39999999999999,163.0,0.0,90.9,88.6
2020-10-18,OH,39095,72.0,50.099999999999994,151.8,0.0,72.6,72.0
2020-10-25,OH,39095,96.2,82.1,180.60000000000002,0.0,97.4,96.2
2020-11-01,OH,39095,161.7,140.9,189.89999999999998,4.1,166.2,165.79999999999998
2020-11-08,OH,39095,219.9,196.6,200.5,0.0,223.89999999999998,219.9
2020-11-15,OH,39095,294.5,276.4,221.0,0.0,301.0,294.5
2020-11-22,OH,39095,364.9,343.8,237.2,4.4,372.79999999999995,369.29999999999995
2020-11-29,OH,39095,438.40000000000003,415.20000000000005,242.10000000000002,0.0,444.8,438.40000000000003
2020-12-06,OH,39095,434.20000000000005,409.4,268.4,0.0,439.3,434.20000000000005
2020-12-13,OH,39095,396.9,377.5,262.2,5.1,406.09999999999997,402.0
2020-12-20,OH,39095,356.29999999999995,340.8,244.70000000000002,0.0,362.69999999999993,356.29999999999995
2020-12-27,OH,39095,356.2,336.40000000000003,245.2,0.0,358.4,356.2
2021-01-03,OH,39095,336.6,321.20000000000005,248.10000000000002,0.0,341.00000000000006,336.6
2021-01-10,OH,39095,298.0,285.09999999999997,239.9,0.0,303.09999999999997,298.0
2021-01-17,OH,39095,291.8,276.2,237.3,0.0,296.59999999999997,291.8
2021-01-24,OH,39095,248.6,235.1,222.4,0.0,251.99999999999997,248.6
2021-01-31,OH,39095,201.5,188.5,198.9,0.0,205.9,201.5
2021-02-07,OH,39095,147.9,136.3,199.39999999999998,0.0,151.6,147.9
2021-02-14,OH,39095,129.0,118.0,194.0,0.0,131.4,129.0
2021-02-21,OH,39095,108.8,98.9,191.8,0.0,109.69999999999999,108.8
2021-02-28,OH,39095,102.6,86.4,184.5,0.0,106.5,102.6
2021-03-07,OH,39095,92.4,81.19999999999999,169.2,0.0,94.6,92.4
2021-03-14,OH,39095,86.0,79.6,184.0,0.0,89.19999999999999,86.0
2021-03-21,OH,39095,94.9,88.1,186.0,0.0,97.2,94.9
2021-03-28,OH,39095,116.39999999999999,109.7,186.2,0.0,120.0,116.39999999999999
2021-04-04,OH,39095,134.1,124.7,193.7,0.0,135.1,134.1
2021-04-11,OH,39095,169.79999999999998,159.3,202.9,0.0,173.7,169.79999999999998
2021-04-18,OH,39095,155.4,149.3,214.6,0.0,158.5,155.4
