collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39099,67.3,33.1,45.1,0.0,67.3,67.3
2020-08-09,OH,39099,46.699999999999996,19.8,46.0,0.0,46.699999999999996,46.699999999999996
2020-08-16,OH,39099,44.1,15.399999999999999,45.0,0.0,44.1,44.1
2020-08-23,OH,39099,48.7,19.0,45.7,0.0,48.7,48.7
2020-08-30,OH,39099,42.3,17.6,46.0,0.0,42.3,42.3
2020-09-06,OH,39099,29.200000000000003,6.4,45.1,0.0,29.200000000000003,29.200000000000003
2020-09-13,OH,39099,63.4,28.0,41.9,0.0,63.4,63.4
2020-09-20,OH,39099,54.9,25.7,47.5,0.0,54.9,54.9
2020-09-27,OH,39099,76.7,37.3,50.5,0.0,76.7,76.7
2020-10-04,OH,39099,103.69999999999999,50.5,49.4,0.0,103.69999999999999,103.69999999999999
2020-10-11,OH,39099,89.7,43.7,46.7,0.0,89.7,89.7
2020-10-18,OH,39099,81.6,51.5,48.2,0.0,81.6,81.6
2020-10-25,OH,39099,44.4,39.5,44.800000000000004,0.0,44.4,44.4
2020-11-01,OH,39099,54.0,48.0,49.599999999999994,0.0,54.0,54.0
2020-11-08,OH,39099,78.1,67.5,49.699999999999996,0.0,78.1,78.1
2020-11-15,OH,39099,110.6,97.5,51.9,0.0,110.6,110.6
2020-11-22,OH,39099,154.2,144.9,53.2,0.0,154.2,154.2
2020-11-29,OH,39099,192.7,185.5,52.9,0.0,193.0,192.7
2020-12-06,OH,39099,176.7,172.5,60.4,0.0,176.7,176.7
2020-12-13,OH,39099,169.60000000000002,164.6,64.0,0.0,169.60000000000002,169.60000000000002
2020-12-20,OH,39099,154.9,152.0,62.599999999999994,0.0,154.9,154.9
2020-12-27,OH,39099,161.5,154.8,58.300000000000004,0.0,161.5,161.5
2021-01-03,OH,39099,160.0,157.2,59.599999999999994,0.0,160.0,160.0
2021-01-10,OH,39099,158.5,153.2,58.400000000000006,0.0,158.5,158.5
2021-01-17,OH,39099,140.0,135.5,57.0,0.0,140.0,140.0
2021-01-24,OH,39099,117.7,115.8,59.1,0.0,117.7,117.7
2021-01-31,OH,39099,93.80000000000001,90.4,53.4,0.0,93.80000000000001,93.80000000000001
2021-02-07,OH,39099,69.19999999999999,64.7,54.4,0.0,69.19999999999999,69.19999999999999
2021-02-14,OH,39099,40.4,37.6,55.7,0.0,40.4,40.4
2021-02-21,OH,39099,35.9,34.4,55.0,0.0,35.9,35.9
2021-02-28,OH,39099,29.700000000000003,28.0,55.0,0.0,29.700000000000003,29.700000000000003
2021-03-07,OH,39099,18.7,16.700000000000003,54.1,0.0,18.7,18.7
2021-03-14,OH,39099,18.7,14.7,56.3,0.0,18.7,18.7
2021-03-21,OH,39099,24.0,20.200000000000003,53.9,0.0,24.0,24.0
2021-03-28,OH,39099,21.0,19.700000000000003,48.4,0.0,21.0,21.0
2021-04-04,OH,39099,26.3,23.799999999999997,54.0,0.0,26.3,26.3
2021-04-11,OH,39099,28.1,25.1,55.0,0.0,28.1,28.1
2021-04-18,OH,39099,26.2,23.799999999999997,52.9,0.0,26.2,26.2
2021-04-25,OH,39099,22.7,20.6,50.199999999999996,0.0,22.7,22.7
2021-05-02,OH,39099,33.7,31.5,53.7,0.0,33.7,33.7
