collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39103,15.9,6.9,7.9,0.0,15.9,15.9
2020-08-09,OH,39103,8.6,0.0,8.6,0.0,9.1,8.6
2020-08-16,OH,39103,0,0,8.1,0.0,0,0.0
2020-08-23,OH,39103,4.6,0.0,7.3,0.0,4.6,4.6
2020-08-30,OH,39103,5.1,4.6,10.3,0.0,5.1,5.1
2020-09-06,OH,39103,0,0.0,8.3,0.0,0,0.0
2020-09-13,OH,39103,5.0,4.3,7.1,0.0,5.0,5.0
2020-09-20,OH,39103,5.3,4.6,6.6,0.0,5.3,5.3
2020-09-27,OH,39103,8.1,7.6,7.3,0.0,8.1,8.1
2020-10-04,OH,39103,9.4,8.6,9.1,0.0,9.4,9.4
2020-10-11,OH,39103,11.7,9.4,8.1,0.0,11.7,11.7
2020-10-18,OH,39103,12.3,11.9,9.4,0.0,12.3,12.3
2020-10-25,OH,39103,16.4,15.7,9.4,0.0,16.4,16.4
2020-11-01,OH,39103,18.6,17.4,10.1,0.0,18.6,18.6
2020-11-08,OH,39103,26.0,25.0,10.3,0.0,26.0,26.0
2020-11-15,OH,39103,28.6,28.3,10.7,0.0,28.6,28.6
2020-11-22,OH,39103,39.7,38.3,10.6,0.0,39.7,39.7
2020-11-29,OH,39103,36.6,35.0,10.4,0.0,36.6,36.6
2020-12-06,OH,39103,50.3,48.6,10.3,0.0,50.3,50.3
2020-12-13,OH,39103,42.6,41.0,10.9,0.0,42.6,42.6
2020-12-20,OH,39103,51.9,50.7,11.9,0.0,51.9,51.9
2020-12-27,OH,39103,46.6,46.4,10.1,0.0,46.6,46.6
2021-01-03,OH,39103,37.1,36.3,15.3,0.0,37.1,37.1
2021-01-10,OH,39103,39.9,37.9,15.9,0.0,39.9,39.9
2021-01-17,OH,39103,39.9,35.3,14.9,0.0,39.9,39.9
2021-01-24,OH,39103,32.7,29.6,19.0,0.0,32.7,32.7
2021-01-31,OH,39103,21.6,20.6,16.4,0.0,21.6,21.6
2021-02-07,OH,39103,20.7,19.7,16.3,0.0,20.7,20.7
2021-02-14,OH,39103,17.0,16.4,15.3,0.0,17.0,17.0
2021-02-21,OH,39103,15.3,12.6,16.3,0.0,15.3,15.3
2021-02-28,OH,39103,12.7,12.0,14.7,0.0,12.7,12.7
2021-03-07,OH,39103,9.4,8.3,15.0,0.0,9.4,9.4
2021-03-14,OH,39103,17.4,10.1,12.4,0.0,17.4,17.4
2021-03-21,OH,39103,20.0,7.7,10.9,0.0,20.0,20.0
2021-03-28,OH,39103,18.6,11.0,13.6,0.0,18.6,18.6
2021-04-04,OH,39103,14.4,7.1,11.7,0.0,14.4,14.4
2021-04-11,OH,39103,24.1,12.6,13.1,0.0,24.1,24.1
2021-04-18,OH,39103,18.4,12.0,13.1,0.0,18.4,18.4
2021-04-25,OH,39103,13.4,10.7,13.7,0.0,13.4,13.4
2021-05-02,OH,39103,12.1,5.9,11.9,0.0,12.1,12.1
2021-05-09,OH,39103,13.6,6.4,12.1,0.0,13.6,13.6
2021-05-16,OH,39103,12.4,5.7,11.1,0.0,12.4,12.4
2021-05-23,OH,39103,12.3,5.6,13.3,0.0,12.3,12.3
2021-05-30,OH,39103,6.0,0.0,8.9,0.0,6.0,6.0
2021-06-06,OH,39103,11.9,4.3,8.9,0.0,11.9,11.9
2021-06-13,OH,39103,9.3,0.0,10.7,0.0,9.3,9.3
2021-06-20,OH,39103,9.9,4.4,4.3,0.0,9.9,9.9
2021-06-27,OH,39103,9.6,0.0,9.6,0.0,9.6,9.6
2021-07-04,OH,39103,9.1,4.3,10.4,0.0,9.1,9.1
2021-07-11,OH,39103,9.7,5.4,9.3,0.0,11.6,9.7
2021-07-18,OH,39103,13.4,6.3,9.9,0.0,13.4,13.4
2021-07-25,OH,39103,11.9,7.6,8.6,0.0,11.9,11.9
2021-08-01,OH,39103,15.0,10.6,9.3,0.0,15.0,15.0
2021-08-08,OH,39103,18.3,13.3,11.0,0.0,18.3,18.3
2021-08-15,OH,39103,22.1,17.4,10.7,0.0,22.1,22.1
2021-08-22,OH,39103,24.9,24.3,11.6,0.0,24.9,24.9
2021-08-29,OH,39103,29.7,29.1,10.3,0.0,29.7,29.7
2021-09-05,OH,39103,36.6,35.9,12.6,0.0,36.6,36.6
2021-09-12,OH,39103,37.6,35.9,11.4,0.0,37.6,37.6
2021-09-19,OH,39103,37.7,37.2,11.0,0.0,37.7,37.7
2021-09-26,OH,39103,42.6,42.3,12.6,0.0,42.6,42.6
2021-10-03,OH,39103,34.7,34.6,10.9,0.0,34.7,34.7
2021-10-10,OH,39103,37.5,37.2,12.1,0.0,37.5,37.5
2021-10-17,OH,39103,32.0,32.0,11.1,0.0,32.0,32.0
2021-10-24,OH,39103,28.0,27.9,10.9,0.0,28.0,28.0
2021-10-31,OH,39103,27.3,27.1,10.9,0.0,27.3,27.3
2021-11-07,OH,39103,27.7,27.4,12.7,0.0,27.7,27.7
2021-11-14,OH,39103,37.1,37.0,11.4,0.0,37.1,37.1
2021-11-21,OH,39103,35.6,35.6,11.4,0.0,35.6,35.6
2021-11-28,OH,39103,40.3,40.3,11.3,0.0,40.3,40.3
2021-12-05,OH,39103,50.3,50.1,11.4,0.0,50.3,50.3
2021-12-12,OH,39103,60.0,59.7,11.7,0.0,60.0,60.0
2021-12-19,OH,39103,51.3,51.3,11.1,0.0,51.3,51.3
2021-12-26,OH,39103,53.4,53.4,11.7,0.0,53.4,53.4
