collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39139,9.9,7.3,25.299999999999997,0.0,9.9,9.9
2020-08-09,OH,39139,11.1,8.7,20.5,0.0,11.1,11.1
2020-08-16,OH,39139,11.1,8.0,26.200000000000003,0.0,11.1,11.1
2020-08-23,OH,39139,6.4,5.4,21.4,0.0,6.4,6.4
2020-08-30,OH,39139,6.4,5.4,23.799999999999997,0.0,6.4,6.4
2020-09-06,OH,39139,0.0,0.0,21.700000000000003,0.0,0.0,0.0
2020-09-13,OH,39139,4.0,0.0,18.4,0.0,4.0,4.0
2020-09-20,OH,39139,0.0,0.0,16.3,0.0,0.0,0.0
2020-09-27,OH,39139,8.1,8.0,23.0,0.0,8.1,8.1
2020-10-04,OH,39139,11.7,11.7,22.3,0.0,11.7,11.7
2020-10-11,OH,39139,9.0,8.4,22.799999999999997,0.0,9.0,9.0
2020-10-18,OH,39139,8.7,8.7,23.9,0.0,8.7,8.7
2020-10-25,OH,39139,21.9,21.9,26.1,0.0,21.9,21.9
2020-11-01,OH,39139,30.0,30.0,30.0,0.0,30.0,30.0
2020-11-08,OH,39139,34.7,34.6,26.3,0.0,34.9,34.7
2020-11-15,OH,39139,45.1,43.800000000000004,25.7,0.0,45.1,45.1
2020-11-22,OH,39139,56.9,56.0,26.0,0.0,56.9,56.9
2020-11-29,OH,39139,67.0,66.7,27.5,0.0,67.0,67.0
2020-12-06,OH,39139,72.7,72.0,32.8,0.0,72.7,72.7
2020-12-13,OH,39139,73.5,73.10000000000001,30.799999999999997,0.0,73.5,73.5
2020-12-20,OH,39139,64.3,64.0,27.9,0.0,64.3,64.3
2020-12-27,OH,39139,54.0,53.7,22.7,0.0,54.0,54.0
2021-01-03,OH,39139,53.8,53.5,21.799999999999997,0.0,53.8,53.8
2021-01-10,OH,39139,48.0,47.6,26.700000000000003,0.0,48.0,48.0
2021-01-17,OH,39139,44.8,43.8,26.1,0.0,44.9,44.8
2021-01-24,OH,39139,28.9,28.5,23.6,0.0,28.9,28.9
2021-01-31,OH,39139,24.799999999999997,24.799999999999997,25.6,0.0,24.799999999999997,24.799999999999997
2021-02-07,OH,39139,15.4,15.3,22.3,0.0,15.4,15.4
2021-02-14,OH,39139,6.1,6.1,20.6,0.0,6.1,6.1
2021-02-21,OH,39139,7.1,7.1,15.7,0.0,7.1,7.1
2021-02-28,OH,39139,4.1,4.4,21.3,0.0,4.1,4.1
2021-03-07,OH,39139,0.0,0.0,21.400000000000002,0.0,0.0,0.0
2021-03-14,OH,39139,6.0,5.9,25.9,0.0,6.0,6.0
2021-03-21,OH,39139,7.0,6.9,26.4,0.0,7.0,7.0
2021-03-28,OH,39139,7.4,6.4,20.4,0.0,7.4,7.4
2021-04-04,OH,39139,10.6,10.4,15.1,0.0,10.6,10.6
2021-04-11,OH,39139,11.3,11.1,24.7,0.0,11.3,11.3
2021-04-18,OH,39139,9.3,8.9,24.6,0.0,9.3,9.3
2021-04-25,OH,39139,11.0,11.0,23.2,0.0,11.0,11.0
2021-05-02,OH,39139,10.0,10.0,24.7,0.0,10.0,10.0
2021-05-09,OH,39139,8.4,8.3,24.9,0.0,8.4,8.4
2021-05-16,OH,39139,7.0,7.0,19.9,0.0,7.0,7.0
2021-05-23,OH,39139,5.6,5.4,19.7,0.0,5.6,5.6
2021-05-30,OH,39139,7.7,7.6,17.0,0.0,7.7,7.7
2021-06-06,OH,39139,6.6,6.6,17.1,0.0,6.6,6.6
2021-06-13,OH,39139,0.0,0.0,19.3,0.0,0.0,0.0
2021-06-20,OH,39139,0.0,0.0,22.4,0.0,0.0,0.0
2021-06-27,OH,39139,0.0,0.0,24.7,0.0,0.0,0.0
2021-07-04,OH,39139,0.0,0.0,22.9,0.0,0.0,0.0
2021-07-11,OH,39139,0.0,0.0,19.9,0.0,0.0,0.0
2021-07-18,OH,39139,6.7,6.7,21.4,0.0,6.7,6.7
2021-07-25,OH,39139,9.3,9.3,25.799999999999997,0.0,9.3,9.3
2021-08-01,OH,39139,13.7,13.6,24.0,0.0,13.7,13.7
2021-08-08,OH,39139,24.9,24.9,25.4,0.0,24.9,24.9
2021-08-15,OH,39139,34.1,33.7,28.200000000000003,0.0,34.1,34.1
2021-08-22,OH,39139,41.0,41.0,28.700000000000003,0.0,41.0,41.0
2021-08-29,OH,39139,47.599999999999994,47.3,29.200000000000003,0.0,47.699999999999996,47.599999999999994
2021-09-05,OH,39139,51.0,50.900000000000006,27.099999999999998,0.0,51.0,51.0
2021-09-12,OH,39139,57.4,57.2,31.700000000000003,0.0,57.4,57.4
2021-09-19,OH,39139,63.0,62.599999999999994,31.5,0.0,63.0,63.0
2021-09-26,OH,39139,62.900000000000006,62.400000000000006,31.1,0.0,62.900000000000006,62.900000000000006
2021-10-03,OH,39139,58.2,58.1,29.9,0.0,58.2,58.2
2021-10-10,OH,39139,51.7,51.7,33.300000000000004,0.0,51.7,51.7
2021-10-17,OH,39139,42.2,42.2,31.5,0.0,42.2,42.2
2021-10-24,OH,39139,35.4,35.4,29.0,0.0,35.4,35.4
2021-10-31,OH,39139,22.799999999999997,22.0,26.799999999999997,0.0,22.799999999999997,22.799999999999997
2021-11-07,OH,39139,31.200000000000003,30.6,30.099999999999998,0.0,31.200000000000003,31.200000000000003
2021-11-14,OH,39139,49.4,48.6,32.1,0.0,49.4,49.4
2021-11-21,OH,39139,48.5,48.300000000000004,31.799999999999997,0.0,48.5,48.5
2021-11-28,OH,39139,63.1,62.4,34.1,0.0,63.1,63.1
2021-12-05,OH,39139,70.5,70.0,32.6,0.0,70.6,70.5
2021-12-12,OH,39139,67.1,66.5,33.8,0.0,67.1,67.1
2021-12-19,OH,39139,64.7,63.0,32.6,0.0,64.7,64.7
2021-12-26,OH,39139,64.9,64.3,32.9,0.0,64.9,64.9
