collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OK,40047,11.5,10.2,4.8,0.0,11.7,11.5
2020-08-09,OK,40047,5.9,5.9,8.3,0.0,5.9,5.9
2020-08-16,OK,40047,15.899999999999999,14.2,6.9,0.0,15.899999999999999,15.899999999999999
2020-08-23,OK,40047,20.1,18.7,12.3,0.0,20.1,20.1
2020-08-30,OK,40047,21.6,20.200000000000003,13.1,0.0,21.700000000000003,21.6
2020-09-06,OK,40047,21.7,20.799999999999997,12.5,0.0,21.7,21.7
2020-09-13,OK,40047,21.0,19.4,12.7,0.0,21.0,21.0
2020-09-20,OK,40047,16.7,14.8,12.1,0.0,16.7,16.7
2020-09-27,OK,40047,19.4,16.6,13.3,0.0,19.700000000000003,19.4
2020-10-04,OK,40047,20.7,18.9,11.7,0.0,20.9,20.7
2020-10-11,OK,40047,27.4,25.4,13.9,0.0,27.9,27.4
2020-10-18,OK,40047,22.7,21.0,10.5,0.0,23.3,22.7
2020-10-25,OK,40047,24.4,20.6,13.0,0.0,25.200000000000003,24.4
2020-11-01,OK,40047,32.8,30.200000000000003,14.1,0.0,33.5,32.8
2020-11-08,OK,40047,36.9,36.4,14.9,0.0,36.9,36.9
2020-11-15,OK,40047,36.5,35.599999999999994,15.5,0.0,36.5,36.5
2020-11-22,OK,40047,36.4,35.4,15.7,0.0,36.4,36.4
2020-11-29,OK,40047,36.900000000000006,36.400000000000006,16.7,0.0,36.900000000000006,36.900000000000006
2020-12-06,OK,40047,30.200000000000003,29.900000000000002,16.9,0.0,30.200000000000003,30.200000000000003
2020-12-13,OK,40047,30.0,29.0,16.9,0.0,30.0,30.0
2020-12-20,OK,40047,32.0,31.7,17.0,0.0,32.0,32.0
2020-12-27,OK,40047,32.4,32.3,16.6,0.0,32.4,32.4
2021-01-03,OK,40047,28.799999999999997,28.1,17.4,0.0,28.799999999999997,28.799999999999997
2021-01-10,OK,40047,29.3,29.3,16.9,0.0,29.3,29.3
2021-01-17,OK,40047,25.6,25.6,16.0,0.0,25.6,25.6
2021-01-24,OK,40047,29.2,28.9,16.1,0.0,29.2,29.2
2021-01-31,OK,40047,21.9,21.6,12.6,0.0,21.9,21.9
2021-02-07,OK,40047,17.700000000000003,17.700000000000003,11.600000000000001,0.0,17.700000000000003,17.700000000000003
2021-02-14,OK,40047,10.600000000000001,10.600000000000001,9.6,0.0,10.600000000000001,10.600000000000001
2021-02-21,OK,40047,4.9,4.9,5.7,0.0,4.9,4.9
2021-02-28,OK,40047,0,0,11.5,0.0,0,0.0
2021-03-07,OK,40047,0,0,9.6,0.0,0,0.0
2021-03-14,OK,40047,0,0,5.0,0.0,0,0.0
2021-03-21,OK,40047,0,0,10.3,0.0,0,0.0
2021-03-28,OK,40047,0,0,10.5,0.0,0,0.0
2021-04-04,OK,40047,0,0,10.5,0.0,0,0.0
2021-04-11,OK,40047,4.4,4.1,12.2,0.0,4.4,4.4
2021-04-18,OK,40047,0,0,12.2,0.0,0,0.0
2021-04-25,OK,40047,0.0,0.0,9.8,0.0,0.0,0.0
2021-05-02,OK,40047,0,0,5.9,0.0,0,0.0
2021-05-09,OK,40047,0.0,0.0,4.7,0.0,0.0,0.0
2021-05-16,OK,40047,0.0,0.0,5.7,0.0,0.0,0.0
2021-05-23,OK,40047,0.0,0.0,6.0,0.0,0.0,0.0
2021-05-30,OK,40047,0.0,0.0,4.1,0.0,0.0,0.0
2021-06-06,OK,40047,0.0,0.0,5.0,0.0,0.0,0.0
2021-06-13,OK,40047,0.0,0.0,10.0,0.0,0.0,0.0
