collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OK,40109,158.7,137.79999999999998,176.7,0.0,161.9,158.7
2020-08-09,OK,40109,138.1,121.80000000000001,186.20000000000002,0.0,140.9,138.1
2020-08-16,OK,40109,155.10000000000002,139.2,187.4,4.0,158.3,159.10000000000002
2020-08-23,OK,40109,153.3,143.6,237.6,5.1,161.2,158.4
2020-08-30,OK,40109,149.2,132.39999999999998,229.59999999999997,13.4,167.0,162.6
2020-09-06,OK,40109,133.2,119.10000000000001,196.6,5.3,142.3,138.5
2020-09-13,OK,40109,125.3,116.2,189.0,0.0,129.2,125.3
2020-09-20,OK,40109,156.6,140.8,209.4,0.0,160.9,156.6
2020-09-27,OK,40109,166.9,146.20000000000002,230.29999999999998,0.0,170.5,166.9
2020-10-04,OK,40109,179.90000000000003,156.7,291.70000000000005,0.0,182.0,179.90000000000003
2020-10-11,OK,40109,202.1,178.09999999999997,316.19999999999993,5.6,208.3,207.7
2020-10-18,OK,40109,238.9,209.89999999999998,274.49999999999994,4.0,243.2,242.9
2020-10-25,OK,40109,228.8,211.2,257.2,5.1,234.8,233.9
2020-11-01,OK,40109,285.2,266.1,291.1,5.7,293.4,290.9
2020-11-08,OK,40109,326.3,307.6,300.8,0.0,331.1,326.3
2020-11-15,OK,40109,364.7,346.5,307.4,9.0,374.3,373.7
2020-11-22,OK,40109,413.70000000000005,394.1,307.5,10.7,426.00000000000006,424.40000000000003
2020-11-29,OK,40109,458.4,439.1,328.4,9.1,468.9,467.5
2020-12-06,OK,40109,456.49999999999994,441.09999999999997,372.70000000000005,4.6,463.0999999999999,461.09999999999997
2020-12-13,OK,40109,510.79999999999995,493.1,371.80000000000007,17.3,529.7,528.0999999999999
2020-12-20,OK,40109,566.8000000000001,545.5,338.2,37.0,605.3000000000001,603.8000000000001
2020-12-27,OK,40109,583.3,560.7,337.4,34.0,618.7,617.3
2021-01-03,OK,40109,584.1,561.3,345.9,36.4,620.8000000000001,620.5
2021-01-10,OK,40109,546.1,524.6,342.9,35.9,583.5,582.0
2021-01-17,OK,40109,475.7,451.9,321.2,41.0,517.0,516.7
2021-01-24,OK,40109,431.1,402.99999999999994,339.0,40.1,471.8,471.20000000000005
2021-01-31,OK,40109,373.5,348.5,328.4,38.0,411.9,411.5
2021-02-07,OK,40109,326.3,301.2,319.4,36.2,362.9,362.5
2021-02-14,OK,40109,280.2,254.2,306.4,38.5,318.8,318.7
2021-02-21,OK,40109,230.9,203.7,304.00000000000006,34.7,266.6,265.6
