collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OK,40113,15.9,13.3,14.4,0.0,15.9,15.9
2020-08-09,OK,40113,16.4,13.3,15.7,0.0,16.4,16.4
2020-08-16,OK,40113,14.3,12.0,16.0,0.0,14.3,14.3
2020-08-23,OK,40113,15.4,13.9,15.3,0.0,15.4,15.4
2020-08-30,OK,40113,18.9,17.3,16.3,0.0,18.9,18.9
2020-09-06,OK,40113,19.4,16.6,16.4,0.0,19.4,19.4
2020-09-13,OK,40113,19.9,16.9,21.0,0.0,19.9,19.9
2020-09-20,OK,40113,17.3,14.1,19.7,0.0,17.3,17.3
2020-09-27,OK,40113,19.3,17.7,19.7,0.0,19.3,19.3
2020-10-04,OK,40113,29.3,24.7,28.7,0.0,29.3,29.3
2020-10-11,OK,40113,25.6,20.9,27.0,0.0,25.6,25.6
2020-10-18,OK,40113,26.0,23.4,15.3,0.0,26.0,26.0
2020-10-25,OK,40113,31.9,29.6,24.1,0.0,31.9,31.9
2020-11-01,OK,40113,38.8,36.5,19.0,0.0,38.8,38.8
2020-11-08,OK,40113,40.1,40.0,21.0,0.0,40.1,40.1
2020-11-15,OK,40113,40.0,39.3,21.1,0.0,40.0,40.0
2020-11-22,OK,40113,39.3,38.9,20.3,0.0,39.3,39.3
2020-11-29,OK,40113,36.9,36.3,21.9,0.0,36.9,36.9
2020-12-06,OK,40113,42.0,40.7,22.9,0.0,42.0,42.0
2020-12-13,OK,40113,40.2,38.9,21.9,0.0,40.2,40.2
2020-12-20,OK,40113,38.1,37.7,22.0,0.0,38.1,38.1
2020-12-27,OK,40113,37.1,36.9,22.9,0.0,37.1,37.1
2021-01-03,OK,40113,37.1,36.7,24.1,0.0,37.1,37.1
2021-01-10,OK,40113,38.4,38.4,24.1,0.0,38.4,38.4
2021-01-17,OK,40113,34.7,34.6,24.7,0.0,34.7,34.7
2021-01-24,OK,40113,32.6,32.6,25.1,0.0,32.6,32.6
2021-01-31,OK,40113,29.7,29.6,23.7,0.0,29.7,29.7
2021-02-07,OK,40113,24.9,24.9,20.3,0.0,24.9,24.9
2021-02-14,OK,40113,13.4,13.4,21.4,0.0,13.4,13.4
2021-02-21,OK,40113,11.7,11.4,25.3,0.0,11.7,11.7
2021-02-28,OK,40113,14.3,14.1,23.7,0.0,14.3,14.3
2021-03-07,OK,40113,9.1,9.1,21.4,0.0,9.1,9.1
2021-03-14,OK,40113,7.0,6.7,20.7,0.0,7.0,7.0
2021-03-21,OK,40113,0.0,0.0,17.1,0.0,0.0,0.0
2021-03-28,OK,40113,0.0,0.0,11.9,0.0,0.0,0.0
2021-04-04,OK,40113,0.0,0.0,12.0,0.0,0.0,0.0
2021-04-11,OK,40113,0.0,0.0,14.7,0.0,0.0,0.0
2021-04-18,OK,40113,0.0,0.0,14.7,0.0,0.0,0.0
2021-04-25,OK,40113,0.0,0.0,17.9,0.0,0.0,0.0
2021-05-02,OK,40113,5.6,5.6,16.4,0.0,5.6,5.6
2021-05-09,OK,40113,0.0,0.0,15.9,0.0,0.0,0.0
2021-05-16,OK,40113,0.0,0.0,12.4,0.0,0.0,0.0
2021-05-23,OK,40113,0.0,0.0,12.6,0.0,0.0,0.0
2021-05-30,OK,40113,0.0,0.0,16.3,0.0,0.0,0.0
2021-06-06,OK,40113,0.0,0.0,16.7,0.0,0.0,0.0
2021-06-13,OK,40113,4.4,4.3,17.6,0.0,4.4,4.4
2021-06-20,OK,40113,0.0,0.0,15.1,0.0,0.0,0.0
2021-06-27,OK,40113,0.0,0.0,17.0,0.0,0.0,0.0
2021-07-04,OK,40113,0.0,0.0,15.9,0.0,0.0,0.0
2021-07-11,OK,40113,6.3,6.3,15.3,0.0,6.3,6.3
2021-07-18,OK,40113,9.7,9.7,13.7,0.0,9.7,9.7
2021-07-25,OK,40113,17.3,17.0,15.9,0.0,17.3,17.3
2021-08-01,OK,40113,21.9,21.7,16.6,0.0,21.9,21.9
2021-08-08,OK,40113,23.4,23.4,19.7,0.0,23.4,23.4
2021-08-15,OK,40113,30.6,30.6,21.3,0.0,30.6,30.6
2021-08-22,OK,40113,34.1,34.0,23.7,0.0,34.1,34.1
2021-08-29,OK,40113,28.6,28.6,24.3,0.0,28.6,28.6
2021-09-05,OK,40113,28.6,28.6,26.3,0.0,28.6,28.6
2021-09-12,OK,40113,24.7,24.7,24.1,0.0,24.7,24.7
2021-09-19,OK,40113,22.1,22.1,23.1,0.0,22.1,22.1
2021-09-26,OK,40113,19.4,19.4,22.6,0.0,19.4,19.4
2021-10-03,OK,40113,14.9,14.9,20.3,0.0,14.9,14.9
2021-10-10,OK,40113,11.0,11.0,19.7,0.0,11.0,11.0
2021-10-17,OK,40113,12.0,12.0,20.9,0.0,12.0,12.0
2021-10-24,OK,40113,7.0,6.9,15.9,0.0,7.0,7.0
2021-10-31,OK,40113,7.6,7.6,16.1,0.0,7.6,7.6
2021-11-07,OK,40113,9.3,9.1,18.3,0.0,9.3,9.3
2021-11-14,OK,40113,13.0,12.9,18.6,0.0,13.0,13.0
2021-11-21,OK,40113,12.7,12.6,20.1,0.0,12.7,12.7
2021-11-28,OK,40113,17.9,17.9,20.6,0.0,17.9,17.9
2021-12-05,OK,40113,18.3,18.3,21.6,0.0,18.3,18.3
2021-12-12,OK,40113,17.6,17.6,21.9,0.0,17.6,17.6
2021-12-19,OK,40113,20.3,20.3,22.7,0.0,20.3,20.3
2021-12-26,OK,40113,16.3,16.3,23.4,0.0,16.3,16.3
