collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OK,40137,0,0,0,0.0,0,0.0
2020-08-09,OK,40137,0,0,0,0,0,0.0
2020-08-16,OK,40137,0,0,4.1,0.0,0,0.0
2020-08-23,OK,40137,0,0,0,0.0,0,0.0
2020-08-30,OK,40137,0,0,0,0.0,0,0.0
2020-09-06,OK,40137,0,0,0,0,0,0.0
2020-09-13,OK,40137,4.7,0,0,0.0,4.7,4.7
2020-09-20,OK,40137,5.0,4.9,0,0.0,5.0,5.0
2020-09-27,OK,40137,5.9,5.4,0,0.0,5.9,5.9
2020-10-04,OK,40137,7.4,6.1,5.0,0.0,7.4,7.4
2020-10-11,OK,40137,7.3,6.9,6.1,0.0,7.3,7.3
2020-10-18,OK,40137,10.0,9.3,7.1,0.0,10.0,10.0
2020-10-25,OK,40137,16.6,14.6,7.6,0.0,16.6,16.6
2020-11-01,OK,40137,19.4,18.0,5.4,0.0,19.4,19.4
2020-11-08,OK,40137,14.7,14.4,7.3,0.0,14.7,14.7
2020-11-15,OK,40137,19.7,18.1,6.3,0,20.0,19.7
2020-11-22,OK,40137,27.4,26.1,6.9,0.0,27.4,27.4
2020-11-29,OK,40137,32.0,28.3,7.9,0.0,32.0,32.0
2020-12-06,OK,40137,29.9,28.6,7.7,0.0,29.9,29.9
2020-12-13,OK,40137,30.3,29.4,7.7,0,30.7,30.3
2020-12-20,OK,40137,28.9,28.7,8.6,0.0,28.9,28.9
2020-12-27,OK,40137,36.3,36.0,8.1,0,36.4,36.3
2021-01-03,OK,40137,42.7,41.0,9.6,0.0,42.7,42.7
2021-01-10,OK,40137,37.3,36.0,9.7,0,37.7,37.3
2021-01-17,OK,40137,28.1,28.1,8.1,0.0,28.1,28.1
2021-01-24,OK,40137,17.7,17.1,8.1,0.0,17.7,17.7
2021-01-31,OK,40137,8.0,7.9,6.1,0.0,8.0,8.0
2021-02-07,OK,40137,8.3,8.1,8.3,0.0,8.3,8.3
2021-02-14,OK,40137,7.9,7.7,6.4,0.0,7.9,7.9
2021-02-21,OK,40137,4.6,4.4,6.1,0.0,4.6,4.6
2021-02-28,OK,40137,0,0,6.0,0.0,0,0.0
2021-03-07,OK,40137,0,0,5.0,0.0,0,0.0
2021-03-14,OK,40137,0,0,0,0.0,0,0.0
2021-03-21,OK,40137,0,0,4.0,0.0,0,0.0
2021-03-28,OK,40137,0,0,7.0,0.0,0,0.0
2021-04-04,OK,40137,0,0,7.1,0.0,0,0.0
2021-04-11,OK,40137,0,0,6.0,0.0,0,0.0
2021-04-18,OK,40137,0.0,0.0,5.4,0.0,0.0,0.0
2021-04-25,OK,40137,0,0,0,0.0,0,0.0
2021-05-02,OK,40137,0,0,0,0.0,0,0.0
2021-05-09,OK,40137,0,0,6.1,0.0,0,0.0
2021-05-16,OK,40137,0,0,5.9,0.0,0,0.0
2021-05-23,OK,40137,0,0,4.4,0.0,0,0.0
2021-05-30,OK,40137,0.0,0.0,4.0,0.0,0.0,0.0
2021-06-06,OK,40137,0,0,0,0.0,0,0.0
2021-06-13,OK,40137,0,0,4.6,0.0,0,0.0
2021-06-20,OK,40137,0,0,0,0.0,0,0.0
2021-06-27,OK,40137,0,0,4.4,0.0,0,0.0
2021-07-04,OK,40137,0,0,4.3,0.0,0,0.0
2021-07-11,OK,40137,5.4,5.4,4.3,0.0,5.4,5.4
2021-07-18,OK,40137,6.3,6.3,5.0,0.0,6.3,6.3
2021-07-25,OK,40137,7.9,7.9,6.6,0.0,7.9,7.9
2021-08-01,OK,40137,12.4,12.3,6.1,0.0,12.4,12.4
2021-08-08,OK,40137,18.1,18.1,8.9,0.0,18.1,18.1
2021-08-15,OK,40137,22.1,22.0,6.9,0,22.4,22.1
2021-08-22,OK,40137,22.9,22.7,7.0,0,23.1,22.9
2021-08-29,OK,40137,29.1,29.1,8.6,0,29.6,29.1
2021-09-05,OK,40137,33.4,33.1,6.9,0.0,33.4,33.4
2021-09-12,OK,40137,29.7,29.7,7.7,0,29.9,29.7
2021-09-19,OK,40137,24.3,23.7,8.9,0,25.1,24.3
2021-09-26,OK,40137,19.7,19.0,9.3,0,20.1,19.7
2021-10-03,OK,40137,13.0,13.0,5.9,0.0,13.0,13.0
2021-10-10,OK,40137,12.4,12.4,5.4,0.0,12.4,12.4
2021-10-17,OK,40137,13.9,13.9,6.7,0.0,13.9,13.9
2021-10-24,OK,40137,9.4,9.4,5.9,0,9.7,9.4
2021-10-31,OK,40137,8.4,8.4,6.1,0.0,8.4,8.4
2021-11-07,OK,40137,12.4,11.1,6.7,0.0,12.4,12.4
2021-11-14,OK,40137,14.3,14.0,7.6,0.0,14.3,14.3
2021-11-21,OK,40137,16.3,16.3,7.6,0.0,16.3,16.3
2021-11-28,OK,40137,14.0,13.9,5.9,0.0,14.0,14.0
2021-12-05,OK,40137,20.4,20.1,5.0,0.0,20.4,20.4
2021-12-12,OK,40137,22.0,21.9,7.7,0.0,22.0,22.0
2021-12-19,OK,40137,20.9,20.9,6.7,0.0,20.9,20.9
2021-12-26,OK,40137,28.1,28.1,7.1,0.0,28.1,28.1
