collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OK,40147,0,0.0,5.5,0.0,0,0.0
2020-08-09,OK,40147,0,0.0,6.1,0.0,0,0.0
2020-08-16,OK,40147,0,0.0,7.1,0.0,0,0.0
2020-08-23,OK,40147,0,0,7.0,0.0,0,0.0
2020-08-30,OK,40147,0,0,6.4,0.0,0,0.0
2020-09-06,OK,40147,0,0.0,6.1,0.0,0,0.0
2020-09-13,OK,40147,0,0.0,7.6,0,0,0.0
2020-09-20,OK,40147,0,0,6.7,0.0,0,0.0
2020-09-27,OK,40147,0,0.0,6.0,0.0,0,0.0
2020-10-04,OK,40147,0,0,5.6,0.0,0,0.0
2020-10-11,OK,40147,0,0,7.0,0.0,0,0.0
2020-10-18,OK,40147,5.6,0,7.1,0.0,5.6,5.6
2020-10-25,OK,40147,6.4,0,6.3,0.0,6.4,6.4
2020-11-01,OK,40147,9.7,6.7,7.7,0.0,9.7,9.7
2020-11-08,OK,40147,13.8,13.4,8.0,0.0,13.8,13.8
2020-11-15,OK,40147,23.2,21.8,8.0,0.0,23.2,23.2
2020-11-22,OK,40147,29.1,26.1,7.9,0.0,29.1,29.1
2020-11-29,OK,40147,33.6,30.7,8.0,0.0,33.6,33.6
2020-12-06,OK,40147,33.4,31.0,8.0,0.0,33.4,33.4
2020-12-13,OK,40147,33.4,31.7,8.0,0.0,33.4,33.4
2020-12-20,OK,40147,34.1,32.7,8.0,0.0,34.1,34.1
2020-12-27,OK,40147,33.9,32.0,8.0,0,34.0,33.9
2021-01-03,OK,40147,31.0,29.9,8.0,0.0,31.0,31.0
2021-01-10,OK,40147,29.3,27.7,8.0,0.0,29.3,29.3
2021-01-17,OK,40147,28.9,27.4,8.0,0.0,28.9,28.9
2021-01-24,OK,40147,17.9,17.4,8.0,0.0,17.9,17.9
2021-01-31,OK,40147,14.0,13.0,7.3,0.0,14.0,14.0
2021-02-07,OK,40147,5.3,5.0,7.3,0.0,5.3,5.3
2021-02-14,OK,40147,8.4,7.6,7.7,0.0,8.4,8.4
2021-02-21,OK,40147,7.4,7.3,7.9,0.0,7.4,7.4
2021-02-28,OK,40147,0,0,6.4,0.0,0,0.0
2021-03-07,OK,40147,0,0,8.0,0.0,0,0.0
2021-03-14,OK,40147,0,0,7.4,0.0,0,0.0
2021-03-21,OK,40147,0,0,6.4,0.0,0,0.0
2021-03-28,OK,40147,0.0,0.0,7.3,0.0,0.0,0.0
2021-04-04,OK,40147,0.0,0.0,6.4,0.0,0.0,0.0
2021-04-11,OK,40147,0,0,6.9,0.0,0,0.0
2021-04-18,OK,40147,4.3,0,6.3,0.0,4.3,4.3
2021-04-25,OK,40147,0,0,5.3,0.0,0,0.0
2021-05-02,OK,40147,0,0,6.7,0.0,0,0.0
2021-05-09,OK,40147,0,0,5.7,0.0,0,0.0
2021-05-16,OK,40147,0,0,5.3,0.0,0,0.0
2021-05-23,OK,40147,0,0,4.9,0.0,0,0.0
2021-05-30,OK,40147,0,0,5.7,0.0,0,0.0
2021-06-06,OK,40147,0,0,7.1,0.0,0,0.0
2021-06-13,OK,40147,4.1,0,7.7,0.0,4.1,4.1
2021-06-20,OK,40147,4.1,4.1,7.7,0.0,4.1,4.1
2021-06-27,OK,40147,0,0,7.0,0.0,0,0.0
2021-07-04,OK,40147,5.4,4.9,6.6,0.0,5.4,5.4
2021-07-11,OK,40147,4.4,0,7.6,0.0,4.4,4.4
2021-07-18,OK,40147,14.9,13.3,7.3,0,15.0,14.9
2021-07-25,OK,40147,20.7,19.9,7.7,0.0,20.7,20.7
2021-08-01,OK,40147,28.3,27.7,8.0,0.0,28.3,28.3
2021-08-08,OK,40147,39.0,37.7,8.0,0.0,39.0,39.0
2021-08-15,OK,40147,40.9,40.6,8.0,0,41.0,40.9
2021-08-22,OK,40147,43.7,43.7,8.0,0.0,43.7,43.7
2021-08-29,OK,40147,44.0,43.1,8.1,0.0,44.0,44.0
2021-09-05,OK,40147,35.9,33.4,8.0,0,36.0,35.9
2021-09-12,OK,40147,29.1,27.9,8.0,0.0,29.1,29.1
2021-09-19,OK,40147,19.4,18.7,7.7,0.0,19.4,19.4
2021-09-26,OK,40147,19.1,18.9,7.7,0.0,19.1,19.1
2021-10-03,OK,40147,14.9,14.7,8.0,0.0,14.9,14.9
2021-10-10,OK,40147,17.3,17.3,7.9,0.0,17.3,17.3
2021-10-17,OK,40147,13.3,13.0,7.6,0.0,13.3,13.3
2021-10-24,OK,40147,5.3,5.3,7.7,0.0,5.3,5.3
2021-10-31,OK,40147,0,0,8.0,0.0,0,0.0
2021-11-07,OK,40147,4.3,4.3,7.9,0.0,4.3,4.3
2021-11-14,OK,40147,5.1,4.6,7.3,0.0,5.1,5.1
2021-11-21,OK,40147,5.7,5.3,7.9,0.0,5.7,5.7
2021-11-28,OK,40147,9.7,9.3,8.0,0.0,9.7,9.7
2021-12-05,OK,40147,9.9,9.7,7.9,0.0,9.9,9.9
2021-12-12,OK,40147,5.9,5.7,7.9,0.0,5.9,5.9
2021-12-19,OK,40147,5.1,4.7,7.9,0.0,5.1,5.1
2021-12-26,OK,40147,6.1,5.9,8.0,0.0,6.1,6.1
