collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OR,41003,4.3,0,9.1,0.0,4.3,4.3
2020-08-09,OR,41003,0,0,9.3,0.0,0,0.0
2020-08-16,OR,41003,5.1,0,8.0,0.0,5.1,5.1
2020-08-23,OR,41003,0,0,5.9,0.0,0,0.0
2020-08-30,OR,41003,0,0,7.7,0,0,0.0
2020-09-06,OR,41003,0,0,7.3,0.0,0,0.0
2020-09-13,OR,41003,0,0,8.4,0.0,0,0.0
2020-09-20,OR,41003,5.3,0,8.6,0.0,5.3,5.3
2020-09-27,OR,41003,7.4,4.4,10.1,0.0,7.4,7.4
2020-10-04,OR,41003,4.9,0,9.1,0.0,4.9,4.9
2020-10-11,OR,41003,0,0,8.0,0.0,0,0.0
2020-10-18,OR,41003,5.1,0,9.1,0,5.3,5.1
2020-10-25,OR,41003,7.6,0,9.3,0,7.7,7.6
2020-11-01,OR,41003,0,0,10.4,0.0,0,0.0
2020-11-08,OR,41003,7.3,5.1,9.1,0.0,7.3,7.3
2020-11-15,OR,41003,11.4,7.7,9.7,0.0,11.4,11.4
2020-11-22,OR,41003,7.7,5.9,9.9,0.0,7.7,7.7
2020-11-29,OR,41003,12.4,9.1,8.6,0.0,12.4,12.4
2020-12-06,OR,41003,12.4,9.7,9.1,0.0,12.4,12.4
2020-12-13,OR,41003,13.6,9.4,10.0,0.0,13.6,13.6
2020-12-20,OR,41003,13.1,10.4,7.3,0.0,13.1,13.1
2020-12-27,OR,41003,14.3,8.6,8.9,0.0,14.3,14.3
2021-01-03,OR,41003,12.1,5.7,9.3,0.0,12.1,12.1
2021-01-10,OR,41003,11.9,7.7,8.1,0.0,11.9,11.9
2021-01-17,OR,41003,9.4,6.9,8.7,0.0,9.4,9.4
2021-01-24,OR,41003,5.9,0,9.0,0.0,5.9,5.9
2021-01-31,OR,41003,4.9,0,8.1,0.0,4.9,4.9
2021-02-07,OR,41003,7.0,0,8.9,0.0,7.0,7.0
2021-02-14,OR,41003,6.9,0,8.4,0.0,6.9,6.9
2021-02-21,OR,41003,6.0,0,8.6,0.0,6.0,6.0
2021-02-28,OR,41003,4.0,0,7.7,0.0,4.0,4.0
2021-03-07,OR,41003,0,0,9.0,0.0,0,0.0
2021-03-14,OR,41003,4.9,0,8.7,0.0,4.9,4.9
2021-03-21,OR,41003,6.0,0,5.9,0.0,6.0,6.0
2021-03-28,OR,41003,4.7,0,8.0,0.0,4.7,4.7
2021-04-04,OR,41003,4.4,0,8.9,0.0,4.4,4.4
2021-04-11,OR,41003,4.9,0,7.1,0.0,4.9,4.9
2021-04-18,OR,41003,11.6,5.9,8.4,0.0,11.6,11.6
2021-04-25,OR,41003,12.0,7.7,9.3,0.0,12.0,12.0
2021-05-02,OR,41003,14.4,11.4,10.0,0.0,14.4,14.4
2021-05-09,OR,41003,18.6,13.7,9.7,0.0,18.6,18.6
2021-05-16,OR,41003,15.0,12.1,9.4,0.0,15.0,15.0
2021-05-23,OR,41003,13.0,10.7,10.1,0.0,13.0,13.0
2021-05-30,OR,41003,10.7,7.6,8.7,0.0,10.7,10.7
2021-06-06,OR,41003,10.3,8.6,9.0,0.0,10.3,10.3
2021-06-13,OR,41003,10.9,7.6,9.6,0.0,10.9,10.9
2021-06-20,OR,41003,9.1,6.6,8.7,0.0,9.1,9.1
2021-06-27,OR,41003,6.3,4.7,8.7,0.0,6.3,6.3
2021-07-04,OR,41003,4.1,0,8.3,0.0,4.1,4.1
2021-07-11,OR,41003,0,0,6.9,0.0,0,0.0
2021-07-18,OR,41003,8.3,6.3,9.1,0.0,8.3,8.3
2021-07-25,OR,41003,12.0,9.7,10.0,0.0,12.0,12.0
2021-08-01,OR,41003,14.4,11.6,8.6,0.0,14.4,14.4
2021-08-08,OR,41003,13.9,11.1,8.6,0.0,13.9,13.9
2021-08-15,OR,41003,23.7,21.4,8.7,0.0,23.7,23.7
2021-08-22,OR,41003,23.7,19.9,7.3,0.0,23.7,23.7
2021-08-29,OR,41003,25.0,21.0,8.4,0.0,25.0,25.0
2021-09-05,OR,41003,22.4,19.6,7.7,0.0,22.4,22.4
2021-09-12,OR,41003,26.7,23.7,8.0,0.0,26.7,26.7
2021-09-19,OR,41003,25.9,23.9,8.3,0.0,25.9,25.9
2021-09-26,OR,41003,26.7,21.9,8.6,0.0,26.7,26.7
2021-10-03,OR,41003,23.3,19.6,7.3,0.0,23.3,23.3
2021-10-10,OR,41003,21.3,18.3,9.0,0.0,21.3,21.3
2021-10-17,OR,41003,13.9,10.3,8.3,0.0,13.9,13.9
2021-10-24,OR,41003,17.1,12.7,7.7,0.0,17.1,17.1
2021-10-31,OR,41003,16.4,13.3,9.9,0.0,16.4,16.4
2021-11-07,OR,41003,17.6,14.4,8.4,0.0,17.6,17.6
2021-11-14,OR,41003,14.0,11.0,7.9,0.0,14.0,14.0
2021-11-21,OR,41003,15.0,12.1,10.7,0.0,15.0,15.0
2021-11-28,OR,41003,18.6,15.4,7.3,0.0,18.6,18.6
2021-12-05,OR,41003,16.0,14.3,8.0,0.0,16.0,16.0
2021-12-12,OR,41003,20.0,16.7,9.3,0.0,20.0,20.0
2021-12-19,OR,41003,15.1,11.7,8.4,0.0,15.1,15.1
2021-12-26,OR,41003,15.0,12.9,8.6,0.0,15.0,15.0
