collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OR,41051,81.10000000000001,55.3,98.19999999999999,0.0,83.10000000000001,81.10000000000001
2020-08-09,OR,41051,87.1,55.900000000000006,90.6,4.3,91.39999999999999,91.39999999999999
2020-08-16,OR,41051,55.599999999999994,31.8,72.89999999999999,0.0,61.8,55.599999999999994
2020-08-23,OR,41051,62.800000000000004,43.4,165.8,0.0,67.5,62.800000000000004
2020-08-30,OR,41051,58.0,38.0,155.10000000000002,0.0,61.400000000000006,58.0
2020-09-06,OR,41051,63.5,36.8,156.7,0.0,65.9,63.5
2020-09-13,OR,41051,60.7,32.4,163.40000000000003,0.0,64.5,60.7
2020-09-20,OR,41051,63.900000000000006,40.8,162.39999999999998,0.0,68.9,63.900000000000006
2020-09-27,OR,41051,69.9,48.2,163.79999999999998,0.0,73.3,69.9
2020-10-04,OR,41051,80.2,48.900000000000006,171.80000000000004,0.0,85.30000000000001,80.2
2020-10-11,OR,41051,79.19999999999999,50.6,169.0,4.0,85.20000000000002,83.19999999999999
2020-10-18,OR,41051,68.2,33.199999999999996,168.20000000000002,0.0,74.3,68.2
2020-10-25,OR,41051,84.40000000000002,42.4,165.8,0.0,89.2,84.40000000000002
2020-11-01,OR,41051,87.80000000000001,52.5,173.1,5.3,96.4,93.10000000000001
2020-11-08,OR,41051,109.5,79.19999999999999,178.39999999999998,7.6,119.1,117.1
2020-11-15,OR,41051,139.20000000000002,106.3,173.5,0.0,145.3,139.20000000000002
2020-11-22,OR,41051,176.8,146.2,163.3,4.9,184.00000000000003,181.70000000000002
2020-11-29,OR,41051,193.3,163.4,163.0,5.3,201.9,198.60000000000002
2020-12-06,OR,41051,173.9,139.0,164.9,5.7,180.89999999999998,179.6
2020-12-13,OR,41051,164.20000000000002,128.9,169.2,4.3,169.5,168.50000000000003
2020-12-20,OR,41051,144.1,121.10000000000001,160.8,4.4,148.70000000000002,148.5
2020-12-27,OR,41051,144.99999999999997,114.4,162.3,4.1,150.6,149.09999999999997
2021-01-03,OR,41051,119.89999999999999,97.39999999999999,167.9,4.7,131.5,124.6
2021-01-10,OR,41051,118.8,96.9,165.5,4.4,123.9,123.2
2021-01-17,OR,41051,134.2,109.39999999999998,162.1,4.4,140.6,138.6
2021-01-24,OR,41051,123.49999999999999,96.10000000000001,164.3,0.0,128.1,123.49999999999999
2021-01-31,OR,41051,116.79999999999998,90.1,163.9,5.1,123.3,121.89999999999998
2021-02-07,OR,41051,100.5,77.69999999999999,164.20000000000002,5.6,107.19999999999999,106.1
2021-02-14,OR,41051,79.30000000000001,57.9,170.8,5.0,86.4,84.30000000000001
2021-02-21,OR,41051,54.5,31.8,167.5,0.0,60.9,54.5
2021-02-28,OR,41051,46.3,26.4,167.5,5.7,54.8,52.0
