collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42009,0,0,0,0.0,0,0.0
2020-08-09,PA,42009,0,0,0,0.0,0,0.0
2020-08-16,PA,42009,0,0,0,0.0,0,0.0
2020-08-23,PA,42009,0.0,0.0,0,0.0,0.0,0.0
2020-08-30,PA,42009,0.0,0.0,0,0.0,0.0,0.0
2020-09-06,PA,42009,0,0,0,0.0,0,0.0
2020-09-13,PA,42009,0,0,0,0.0,0,0.0
2020-09-20,PA,42009,0.0,0.0,0,0,0,0.0
2020-09-27,PA,42009,0,0,0,0.0,0,0.0
2020-10-04,PA,42009,0,0,0.0,0.0,0,0.0
2020-10-11,PA,42009,0,0,0.0,0.0,0,0.0
2020-10-18,PA,42009,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,PA,42009,0,0,0.0,0.0,0,0.0
2020-11-01,PA,42009,0,0,0.0,0.0,0,0.0
2020-11-08,PA,42009,5.1,5.1,0.0,0.0,5.1,5.1
2020-11-15,PA,42009,7.7,6.9,0.0,0.0,7.7,7.7
2020-11-22,PA,42009,10.4,9.6,0.0,0.0,10.4,10.4
2020-11-29,PA,42009,14.9,14.1,0.0,0.0,14.9,14.9
2020-12-06,PA,42009,15.0,13.9,0.0,0.0,15.0,15.0
2020-12-13,PA,42009,10.7,9.9,0.0,0.0,10.7,10.7
2020-12-20,PA,42009,8.9,8.7,0.0,0.0,8.9,8.9
2020-12-27,PA,42009,7.3,6.4,0.0,0.0,7.3,7.3
2021-01-03,PA,42009,9.0,8.3,0.0,0.0,9.0,9.0
2021-01-10,PA,42009,8.4,7.7,0.0,0.0,8.4,8.4
2021-01-17,PA,42009,6.1,5.3,0.0,0.0,6.1,6.1
2021-01-24,PA,42009,0,0,0.0,0.0,0,0.0
2021-01-31,PA,42009,0,0.0,0.0,0.0,0,0.0
2021-02-07,PA,42009,0,0.0,0.0,0.0,0,0.0
2021-02-14,PA,42009,0,0.0,0.0,0.0,0,0.0
2021-02-21,PA,42009,0,0,0.0,0.0,0,0.0
2021-02-28,PA,42009,0,0,0.0,0.0,0,0.0
2021-03-07,PA,42009,0,0,0.0,0.0,0,0.0
2021-03-14,PA,42009,0,0,0.0,0.0,0,0.0
2021-03-21,PA,42009,0,0,0.0,0.0,0,0.0
2021-03-28,PA,42009,0,0,0.0,0.0,0,0.0
2021-04-04,PA,42009,0,0,0.0,0.0,0,0.0
2021-04-11,PA,42009,0,0,0.0,0.0,0,0.0
2021-04-18,PA,42009,4.3,4.3,0.0,0.0,4.3,4.3
2021-04-25,PA,42009,0,0,0.0,0.0,0,0.0
2021-05-02,PA,42009,0,0,0.0,0.0,0,0.0
2021-05-09,PA,42009,0,0,0.0,0.0,0,0.0
2021-05-16,PA,42009,0,0,0.0,0.0,0,0.0
2021-05-23,PA,42009,4.1,0,0.0,0,4.4,4.1
2021-05-30,PA,42009,0,0,0.0,0.0,0,0.0
2021-06-06,PA,42009,0,0,0.0,0.0,0,0.0
2021-06-13,PA,42009,0,0,0.0,0.0,0,0.0
2021-06-20,PA,42009,0,0,0.0,0.0,0,0.0
2021-06-27,PA,42009,0,0,0.0,0.0,0,0.0
2021-07-04,PA,42009,0,0,0.0,0.0,0,0.0
2021-07-11,PA,42009,0,0,0.0,0.0,0,0.0
2021-07-18,PA,42009,0,0,0.0,0.0,0,0.0
2021-07-25,PA,42009,0,0,0.0,0.0,0,0.0
2021-08-01,PA,42009,0,0,0.0,0.0,0,0.0
2021-08-08,PA,42009,0,0,0.0,0.0,0,0.0
2021-08-15,PA,42009,0,0,0.0,0.0,0,0.0
2021-08-22,PA,42009,4.7,0,0.0,0.0,4.7,4.7
2021-08-29,PA,42009,0,0,0.0,0.0,0,0.0
2021-09-05,PA,42009,5.1,5.1,0.0,0.0,5.1,5.1
2021-09-12,PA,42009,7.0,7.0,0.0,0.0,7.0,7.0
2021-09-19,PA,42009,11.6,11.1,0.0,0.0,11.6,11.6
2021-09-26,PA,42009,11.1,11.1,0.0,0.0,11.1,11.1
2021-10-03,PA,42009,12.4,12.3,0.0,0.0,12.4,12.4
2021-10-10,PA,42009,12.9,12.9,0.0,0.0,12.9,12.9
2021-10-17,PA,42009,8.4,8.4,0.0,0.0,8.4,8.4
2021-10-24,PA,42009,9.1,9.1,0.0,0.0,9.1,9.1
2021-10-31,PA,42009,10.3,10.3,0.0,0.0,10.3,10.3
2021-11-07,PA,42009,11.9,11.6,0.0,0.0,11.9,11.9
2021-11-14,PA,42009,13.6,13.6,0.0,0.0,13.6,13.6
2021-11-21,PA,42009,13.6,13.6,0.0,0.0,13.6,13.6
2021-11-28,PA,42009,12.6,12.6,0.0,0.0,12.6,12.6
2021-12-05,PA,42009,15.1,15.1,0.0,0.0,15.1,15.1
2021-12-12,PA,42009,18.0,18.0,0,0.0,18.0,18.0
2021-12-19,PA,42009,14.0,14.0,0,0.0,14.0,14.0
2021-12-26,PA,42009,7.7,7.7,0,0.0,7.7,7.7
