collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42011,76.30000000000001,22.5,39.9,11.4,87.7,87.70000000000002
2020-08-09,PA,42011,87.19999999999999,22.700000000000003,42.0,0.0,89.6,87.19999999999999
2020-08-16,PA,42011,84.6,28.5,37.4,0.0,86.2,84.6
2020-08-23,PA,42011,101.2,29.200000000000003,39.7,0.0,103.0,101.2
2020-08-30,PA,42011,101.7,32.1,41.4,0.0,102.2,101.7
2020-09-06,PA,42011,85.2,28.1,44.6,0.0,91.89999999999999,85.2
2020-09-13,PA,42011,97.19999999999999,27.3,44.4,0.0,99.5,97.19999999999999
2020-09-20,PA,42011,95.7,27.2,39.699999999999996,0.0,98.4,95.7
2020-09-27,PA,42011,111.39999999999999,32.0,37.8,0.0,113.19999999999999,111.39999999999999
2020-10-04,PA,42011,121.5,38.9,41.5,0.0,123.0,121.5
2020-10-11,PA,42011,131.8,50.3,42.800000000000004,0.0,134.1,131.8
2020-10-18,PA,42011,86.80000000000001,67.8,43.9,0.0,88.30000000000001,86.80000000000001
2020-10-25,PA,42011,74.1,71.4,44.6,0.0,74.4,74.1
2020-11-01,PA,42011,79.4,77.9,45.7,0.0,79.4,79.4
2020-11-08,PA,42011,104.89999999999999,81.7,47.699999999999996,0.0,106.6,104.89999999999999
2020-11-15,PA,42011,178.4,101.3,52.300000000000004,0.0,182.1,178.4
2020-11-22,PA,42011,202.3,128.6,49.6,4.0,206.3,206.3
2020-11-29,PA,42011,242.5,158.5,55.699999999999996,4.7,247.2,247.2
2020-12-06,PA,42011,255.5,163.7,57.0,0.0,259.3,255.5
2020-12-13,PA,42011,259.1,191.0,60.0,0.0,262.6,259.1
2020-12-20,PA,42011,300.3,223.7,57.7,0.0,302.6,300.3
2020-12-27,PA,42011,310.70000000000005,225.4,54.6,5.6,317.0,316.30000000000007
2021-01-03,PA,42011,347.6,238.8,57.5,6.0,354.0,353.6
2021-01-10,PA,42011,334.5,222.29999999999998,57.5,4.0,338.5,338.5
2021-01-17,PA,42011,328.6,203.3,57.3,0.0,330.7,328.6
2021-01-24,PA,42011,300.5,160.1,56.0,0.0,303.29999999999995,300.5
2021-01-31,PA,42011,255.70000000000002,125.7,48.6,0.0,257.7,255.70000000000002
2021-02-07,PA,42011,244.0,108.1,44.699999999999996,0.0,246.0,244.0
2021-02-14,PA,42011,197.5,79.7,43.8,0.0,199.2,197.5
2021-02-21,PA,42011,180.29999999999998,60.599999999999994,47.6,4.0,184.29999999999998,184.29999999999998
2021-02-28,PA,42011,150.9,51.199999999999996,46.8,0.0,152.8,150.9
2021-03-07,PA,42011,131.3,46.900000000000006,47.2,0.0,134.0,131.3
2021-03-14,PA,42011,133.2,52.5,50.6,0.0,134.5,133.2
2021-03-21,PA,42011,132.9,62.1,49.900000000000006,5.1,138.0,138.0
2021-03-28,PA,42011,165.39999999999998,83.8,52.8,4.3,169.7,169.7
2021-04-04,PA,42011,160.9,81.0,44.199999999999996,4.7,165.60000000000002,165.6
2021-04-11,PA,42011,171.0,91.69999999999999,45.5,0.0,174.7,171.0
2021-04-18,PA,42011,192.7,104.4,45.099999999999994,5.0,197.7,197.7
2021-04-25,PA,42011,180.2,81.5,44.900000000000006,0.0,183.5,180.2
2021-05-02,PA,42011,155.6,68.9,49.8,5.3,161.0,160.9
2021-05-09,PA,42011,143.1,55.099999999999994,42.7,0.0,145.79999999999998,143.1
2021-05-16,PA,42011,112.89999999999999,39.0,41.9,0.0,116.39999999999999,112.89999999999999
2021-05-23,PA,42011,107.7,34.1,47.6,0.0,110.6,107.7
2021-05-30,PA,42011,93.7,23.6,39.3,0.0,95.8,93.7
2021-06-06,PA,42011,76.4,11.7,37.3,0.0,79.1,76.4
2021-06-13,PA,42011,43.6,5.4,31.7,0.0,45.9,43.6
2021-06-20,PA,42011,44.7,5.0,35.8,0.0,46.1,44.7
2021-06-27,PA,42011,34.9,4.9,37.0,0.0,37.6,34.9
2021-07-04,PA,42011,31.7,0.0,35.6,0.0,35.4,31.7
2021-07-11,PA,42011,34.9,0.0,36.3,0.0,37.1,34.9
2021-07-18,PA,42011,35.4,5.4,38.6,0.0,37.6,35.4
2021-07-25,PA,42011,39.4,6.6,39.7,0.0,42.3,39.4
2021-08-01,PA,42011,40.4,8.9,40.6,0.0,42.9,40.4
2021-08-08,PA,42011,52.7,17.1,36.099999999999994,0.0,56.3,52.7
2021-08-15,PA,42011,66.39999999999999,27.5,47.699999999999996,0.0,70.0,66.39999999999999
2021-08-22,PA,42011,77.8,37.599999999999994,45.0,0.0,79.7,77.8
2021-08-29,PA,42011,83.60000000000001,43.4,49.400000000000006,4.6,88.10000000000001,88.2
2021-09-05,PA,42011,131.1,55.8,46.4,0.0,135.0,131.1
2021-09-12,PA,42011,154.0,60.0,53.1,7.4,161.5,161.4
2021-09-19,PA,42011,159.79999999999998,58.7,48.800000000000004,5.3,165.3,165.1
2021-09-26,PA,42011,192.7,73.9,56.2,7.6,200.29999999999998,200.29999999999998
2021-10-03,PA,42011,217.0,72.5,57.2,5.1,222.2,222.1
2021-10-10,PA,42011,231.0,59.199999999999996,50.4,0.0,233.9,231.0
2021-10-17,PA,42011,239.3,68.0,46.6,0.0,242.70000000000002,239.3
2021-10-24,PA,42011,238.3,65.3,46.800000000000004,0.0,242.1,238.3
2021-10-31,PA,42011,229.1,58.1,48.7,5.1,234.3,234.2
2021-11-07,PA,42011,213.2,62.5,49.3,5.7,218.9,218.89999999999998
2021-11-14,PA,42011,213.6,71.6,55.3,4.7,218.4,218.29999999999998
2021-11-21,PA,42011,232.39999999999998,102.3,53.2,5.0,237.39999999999998,237.39999999999998
2021-11-28,PA,42011,235.0,121.4,52.9,4.0,239.0,239.0
2021-12-05,PA,42011,243.9,146.3,56.9,5.1,249.0,249.0
2021-12-12,PA,42011,237.0,139.60000000000002,55.0,5.7,242.9,242.7
2021-12-19,PA,42011,217.5,157.0,55.4,6.0,223.5,223.5
2021-12-26,PA,42011,227.1,152.3,53.4,8.3,235.4,235.4
