collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42019,0,0,18.3,0.0,0,0.0
2020-08-09,PA,42019,0,0,12.4,0.0,0,0.0
2020-08-16,PA,42019,0,0,12.3,0.0,0,0.0
2020-08-23,PA,42019,4.3,0,10.7,0.0,4.3,4.3
2020-08-30,PA,42019,0,0,19.3,0.0,0,0.0
2020-09-06,PA,42019,8.6,4.4,16.7,0.0,8.6,8.6
2020-09-13,PA,42019,8.4,4.9,14.9,0.0,8.4,8.4
2020-09-20,PA,42019,0,0,17.7,0.0,0,0.0
2020-09-27,PA,42019,0,0,19.7,0.0,0,0.0
2020-10-04,PA,42019,0,0,18.7,0.0,0,0.0
2020-10-11,PA,42019,0,0,16.1,0.0,0,0.0
2020-10-18,PA,42019,0,0,19.0,0,0,0.0
2020-10-25,PA,42019,6.7,0,19.7,0.0,6.7,6.7
2020-11-01,PA,42019,18.1,17.1,20.0,0.0,18.1,18.1
2020-11-08,PA,42019,26.6,24.0,24.9,0.0,26.6,26.6
2020-11-15,PA,42019,30.1,29.3,25.1,0.0,30.1,30.1
2020-11-22,PA,42019,30.9,29.9,18.6,0.0,30.9,30.9
2020-11-29,PA,42019,40.3,38.7,28.4,0.0,40.3,40.3
2020-12-06,PA,42019,50.3,48.9,27.3,0.0,50.3,50.3
2020-12-13,PA,42019,50.7,49.6,27.4,0.0,50.7,50.7
2020-12-20,PA,42019,53.7,52.6,21.9,0.0,53.7,53.7
2020-12-27,PA,42019,62.1,60.9,25.9,0.0,62.1,62.1
2021-01-03,PA,42019,55.7,46.9,24.3,0.0,55.7,55.7
2021-01-10,PA,42019,35.7,34.7,17.7,0.0,35.7,35.7
2021-01-17,PA,42019,33.3,31.7,25.7,0.0,33.3,33.3
2021-01-24,PA,42019,32.6,30.1,19.6,0.0,32.6,32.6
2021-01-31,PA,42019,31.9,28.4,20.3,0.0,31.9,31.9
2021-02-07,PA,42019,19.9,18.3,23.7,0.0,19.9,19.9
2021-02-14,PA,42019,13.6,11.9,18.3,0.0,13.6,13.6
2021-02-21,PA,42019,14.7,12.6,22.1,0.0,14.7,14.7
2021-02-28,PA,42019,6.7,6.1,21.4,0.0,6.7,6.7
2021-03-07,PA,42019,8.9,7.7,20.6,0.0,8.9,8.9
2021-03-14,PA,42019,10.9,9.7,20.3,0.0,10.9,10.9
2021-03-21,PA,42019,13.6,11.4,21.7,0.0,13.6,13.6
2021-03-28,PA,42019,16.6,15.6,22.1,0.0,16.6,16.6
2021-04-04,PA,42019,19.7,18.4,19.6,0.0,19.7,19.7
2021-04-11,PA,42019,20.9,18.3,21.6,0.0,20.9,20.9
2021-04-18,PA,42019,16.9,15.4,19.1,0.0,16.9,16.9
2021-04-25,PA,42019,12.9,11.4,13.1,0.0,12.9,12.9
2021-05-02,PA,42019,11.9,11.3,19.6,0.0,11.9,11.9
2021-05-09,PA,42019,8.7,8.3,24.4,0.0,8.7,8.7
2021-05-16,PA,42019,6.0,5.7,16.4,0.0,6.0,6.0
2021-05-23,PA,42019,10.7,9.6,16.3,0.0,10.7,10.7
2021-05-30,PA,42019,6.9,6.6,18.0,0.0,6.9,6.9
2021-06-06,PA,42019,6.1,5.1,18.3,0.0,6.1,6.1
2021-06-13,PA,42019,4.1,4.1,11.4,0,4.3,4.1
2021-06-20,PA,42019,0,0,12.1,0.0,0,0.0
2021-06-27,PA,42019,0,0,18.3,0.0,0,0.0
2021-07-04,PA,42019,0,0,18.7,0.0,0,0.0
2021-07-11,PA,42019,0,0,18.6,0.0,0,0.0
2021-07-18,PA,42019,0,0,17.7,0.0,0,0.0
2021-07-25,PA,42019,5.6,5.0,21.6,0.0,5.6,5.6
2021-08-01,PA,42019,6.4,6.3,26.9,0.0,6.4,6.4
2021-08-08,PA,42019,11.4,11.3,27.4,0.0,11.4,11.4
2021-08-15,PA,42019,11.7,10.3,24.3,0,11.9,11.7
2021-08-22,PA,42019,21.1,21.1,27.3,0.0,21.1,21.1
2021-08-29,PA,42019,24.9,24.9,28.1,0.0,24.9,24.9
2021-09-05,PA,42019,31.3,31.3,28.0,0.0,31.3,31.3
2021-09-12,PA,42019,41.7,41.7,33.1,0.0,41.7,41.7
2021-09-19,PA,42019,46.4,46.0,24.4,0.0,46.4,46.4
2021-09-26,PA,42019,45.6,45.3,19.3,0.0,45.6,45.6
2021-10-03,PA,42019,53.9,53.6,21.9,0.0,53.9,53.9
2021-10-10,PA,42019,46.6,46.6,22.0,0.0,46.6,46.6
2021-10-17,PA,42019,47.1,47.1,20.9,0.0,47.1,47.1
2021-10-24,PA,42019,42.6,42.4,17.7,0.0,42.6,42.6
2021-10-31,PA,42019,36.4,36.4,18.0,0.0,36.4,36.4
2021-11-07,PA,42019,37.0,36.1,15.6,0.0,37.0,37.0
2021-11-14,PA,42019,33.6,33.6,17.4,0.0,33.6,33.6
2021-11-21,PA,42019,46.3,45.7,22.0,0.0,46.3,46.3
2021-11-28,PA,42019,61.7,61.7,22.6,0.0,61.7,61.7
2021-12-05,PA,42019,50.9,50.9,18.4,0.0,50.9,50.9
2021-12-12,PA,42019,53.3,53.0,21.0,0.0,53.3,53.3
2021-12-19,PA,42019,43.1,43.0,18.7,0.0,43.1,43.1
2021-12-26,PA,42019,38.3,38.0,19.1,0.0,38.3,38.3
