collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42021,6.3,6.3,15.7,0.0,6.3,6.3
2020-08-09,PA,42021,5.8,5.8,14.2,0.0,5.8,5.8
2020-08-16,PA,42021,8.3,8.3,20.8,0.0,8.3,8.3
2020-08-23,PA,42021,4.9,4.9,17.8,0.0,4.9,4.9
2020-08-30,PA,42021,0.0,0.0,18.7,0.0,0.0,0.0
2020-09-06,PA,42021,4.1,4.1,15.0,0.0,4.1,4.1
2020-09-13,PA,42021,4.7,4.7,20.0,0.0,4.7,4.7
2020-09-20,PA,42021,0.0,0.0,19.9,0.0,0.0,0.0
2020-09-27,PA,42021,0.0,0.0,23.3,0.0,0.0,0.0
2020-10-04,PA,42021,6.4,6.4,20.9,0.0,6.4,6.4
2020-10-11,PA,42021,12.9,12.6,23.0,0.0,12.9,12.9
2020-10-18,PA,42021,13.4,13.3,20.6,0.0,13.4,13.4
2020-10-25,PA,42021,15.0,14.1,18.6,0.0,15.0,15.0
2020-11-01,PA,42021,26.9,26.6,21.4,0.0,26.9,26.9
2020-11-08,PA,42021,40.4,37.7,23.6,0.0,40.4,40.4
2020-11-15,PA,42021,54.7,53.7,20.7,0.0,54.7,54.7
2020-11-22,PA,42021,74.1,70.3,21.7,0.0,74.1,74.1
2020-11-29,PA,42021,86.30000000000001,81.10000000000001,21.1,0.0,86.30000000000001,86.30000000000001
2020-12-06,PA,42021,99.4,91.39999999999999,21.1,0.0,99.4,99.4
2020-12-13,PA,42021,106.0,97.6,22.3,0.0,106.0,106.0
2020-12-20,PA,42021,97.2,80.0,23.4,0.0,97.2,97.2
2020-12-27,PA,42021,85.1,67.4,22.3,0.0,85.1,85.1
2021-01-03,PA,42021,58.300000000000004,45.300000000000004,20.9,0.0,58.300000000000004,58.300000000000004
2021-01-10,PA,42021,58.1,47.2,21.0,0.0,58.1,58.1
2021-01-17,PA,42021,48.7,40.9,20.3,0.0,48.7,48.7
2021-01-24,PA,42021,47.1,40.1,20.0,0.0,47.1,47.1
2021-01-31,PA,42021,36.0,34.5,22.1,0.0,36.1,36.0
2021-02-07,PA,42021,29.1,28.5,21.7,0.0,29.1,29.1
2021-02-14,PA,42021,31.900000000000002,30.400000000000002,22.6,0.0,31.900000000000002,31.900000000000002
2021-02-21,PA,42021,25.0,24.200000000000003,19.1,0.0,25.0,25.0
2021-02-28,PA,42021,26.4,26.299999999999997,22.6,0.0,26.4,26.4
2021-03-07,PA,42021,19.6,19.3,22.7,0.0,19.6,19.6
2021-03-14,PA,42021,12.0,11.8,20.1,0.0,12.0,12.0
2021-03-21,PA,42021,17.6,17.5,22.6,0.0,17.6,17.6
2021-03-28,PA,42021,18.9,18.6,20.3,0.0,18.9,18.9
2021-04-04,PA,42021,20.200000000000003,19.3,22.0,0.0,20.200000000000003,20.200000000000003
2021-04-11,PA,42021,16.9,16.1,23.0,0.0,16.9,16.9
2021-04-18,PA,42021,30.4,28.6,21.0,0.0,30.4,30.4
2021-04-25,PA,42021,28.9,28.1,21.6,0.0,28.9,28.9
2021-05-02,PA,42021,19.0,19.0,20.7,0.0,19.0,19.0
2021-05-09,PA,42021,23.900000000000002,23.7,21.0,0.0,23.900000000000002,23.900000000000002
2021-05-16,PA,42021,17.9,17.8,21.7,0.0,17.9,17.9
2021-05-23,PA,42021,14.9,14.9,20.4,0.0,14.9,14.9
2021-05-30,PA,42021,18.0,17.9,21.6,0.0,18.0,18.0
2021-06-06,PA,42021,10.1,9.7,18.6,0.0,10.1,10.1
2021-06-13,PA,42021,6.7,6.7,18.0,0.0,6.7,6.7
2021-06-20,PA,42021,10.9,10.9,20.7,0.0,10.9,10.9
2021-06-27,PA,42021,4.3,4.3,19.6,0.0,4.3,4.3
2021-07-04,PA,42021,0.0,0.0,23.6,0.0,0.0,0.0
2021-07-11,PA,42021,0.0,0.0,23.1,0.0,0.0,0.0
2021-07-18,PA,42021,0.0,0.0,21.0,0.0,0.0,0.0
2021-07-25,PA,42021,4.9,4.9,20.0,0.0,4.9,4.9
2021-08-01,PA,42021,12.0,11.7,20.1,0.0,12.0,12.0
2021-08-08,PA,42021,11.6,11.0,20.7,0.0,11.6,11.6
2021-08-15,PA,42021,8.3,8.3,19.3,0.0,8.3,8.3
2021-08-22,PA,42021,13.0,12.4,20.7,0.0,13.0,13.0
2021-08-29,PA,42021,19.7,18.3,21.1,0.0,19.7,19.7
2021-09-05,PA,42021,23.4,23.0,21.7,0.0,23.4,23.4
2021-09-12,PA,42021,24.7,23.900000000000002,20.4,0.0,24.7,24.7
2021-09-19,PA,42021,33.2,32.6,19.0,0.0,33.2,33.2
2021-09-26,PA,42021,39.6,38.6,22.9,0.0,39.6,39.6
2021-10-03,PA,42021,50.6,49.5,23.6,0.0,50.6,50.6
2021-10-10,PA,42021,48.1,46.5,24.3,0.0,48.1,48.1
2021-10-17,PA,42021,44.5,43.6,23.6,0.0,45.0,44.5
2021-10-24,PA,42021,41.7,40.0,23.9,0.0,41.7,41.7
2021-10-31,PA,42021,41.9,40.699999999999996,23.4,0.0,41.9,41.9
2021-11-07,PA,42021,52.1,50.1,23.4,0.0,52.5,52.1
2021-11-14,PA,42021,55.7,52.7,24.3,0.0,57.2,55.7
2021-11-21,PA,42021,69.39999999999999,67.0,23.9,0.0,70.2,69.39999999999999
2021-11-28,PA,42021,59.800000000000004,57.800000000000004,24.6,0.0,60.7,59.800000000000004
2021-12-05,PA,42021,62.7,59.6,24.1,0.0,63.7,62.7
2021-12-12,PA,42021,57.4,55.5,24.6,0.0,58.3,57.4
2021-12-19,PA,42021,42.0,40.6,22.7,0.0,42.0,42.0
2021-12-26,PA,42021,46.3,44.3,23.4,0.0,46.3,46.3
