collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42037,0.0,0.0,0,0.0,0.0,0.0
2020-08-09,PA,42037,0,0.0,0,0.0,0,0.0
2020-08-16,PA,42037,0,0.0,0,0.0,0,0.0
2020-08-23,PA,42037,0.0,0.0,0,0.0,0.0,0.0
2020-08-30,PA,42037,0.0,0.0,0,0.0,0.0,0.0
2020-09-06,PA,42037,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,PA,42037,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,PA,42037,0,0.0,0,0.0,0,0.0
2020-09-27,PA,42037,0.0,0.0,0,0.0,0.0,0.0
2020-10-04,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,PA,42037,0,0.0,0.0,0.0,0,0.0
2020-11-01,PA,42037,0,0,0.0,0.0,0,0.0
2020-11-08,PA,42037,0,0,0.0,0.0,0,0.0
2020-11-15,PA,42037,6.0,5.3,0.0,0.0,6.0,6.0
2020-11-22,PA,42037,13.4,6.7,0.0,0.0,13.6,13.4
2020-11-29,PA,42037,10.1,6.6,0.0,0.0,10.3,10.1
2020-12-06,PA,42037,7.1,0,0.0,0.0,7.1,7.1
2020-12-13,PA,42037,8.1,6.1,0.0,0.0,8.1,8.1
2020-12-20,PA,42037,13.6,10.3,0.0,0.0,13.7,13.6
2020-12-27,PA,42037,17.0,13.7,0.0,0.0,17.4,17.0
2021-01-03,PA,42037,14.3,11.4,0.0,0.0,14.3,14.3
2021-01-10,PA,42037,14.3,13.7,0.0,0.0,14.3,14.3
2021-01-17,PA,42037,11.6,9.0,0.0,0.0,11.6,11.6
2021-01-24,PA,42037,13.4,11.2,0.0,0.0,13.4,13.4
2021-01-31,PA,42037,11.8,4.4,0.0,0.0,12.3,11.8
2021-02-07,PA,42037,7.9,5.3,0.0,0.0,8.1,7.9
2021-02-14,PA,42037,8.0,4.6,0.0,0.0,8.0,8.0
2021-02-21,PA,42037,5.7,0,0.0,0.0,6.0,5.7
2021-02-28,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,PA,42037,5.7,0.0,0.0,0.0,5.9,5.7
2021-03-14,PA,42037,8.0,6.7,0.0,0.0,8.4,8.0
2021-03-21,PA,42037,6.6,4.6,0.0,0.0,7.1,6.6
2021-03-28,PA,42037,6.0,0.0,0.0,0.0,6.0,6.0
2021-04-04,PA,42037,5.9,0,0.0,0.0,5.9,5.9
2021-04-11,PA,42037,7.0,5.6,0.0,0.0,7.1,7.0
2021-04-18,PA,42037,6.0,5.4,0.0,0.0,6.0,6.0
2021-04-25,PA,42037,11.1,7.7,0.0,0.0,11.6,11.1
2021-05-02,PA,42037,13.9,5.7,0.0,0.0,14.6,13.9
2021-05-09,PA,42037,9.1,0.0,0.0,0.0,9.9,9.1
2021-05-16,PA,42037,5.7,4.0,0.0,0.0,5.9,5.7
2021-05-23,PA,42037,6.1,5.6,0.0,0.0,6.6,6.1
2021-05-30,PA,42037,6.7,4.6,0.0,0.0,6.7,6.7
2021-06-06,PA,42037,4.6,0.0,0.0,0.0,5.1,4.6
2021-06-13,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,PA,42037,4.6,0.0,0.0,0.0,4.7,4.6
2021-06-27,PA,42037,4.9,0.0,0.0,0.0,4.9,4.9
2021-07-04,PA,42037,4.6,0.0,0.0,0.0,4.6,4.6
2021-07-11,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,PA,42037,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,PA,42037,4.1,0.0,0.0,0.0,4.1,4.1
2021-08-08,PA,42037,4.9,0.0,0.0,0.0,4.9,4.9
2021-08-15,PA,42037,6.1,4.4,0.0,0.0,6.1,6.1
2021-08-22,PA,42037,6.4,4.4,0.0,0.0,6.4,6.4
2021-08-29,PA,42037,6.6,5.4,0.0,0.0,6.9,6.6
2021-09-05,PA,42037,6.7,5.3,0.0,0.0,7.1,6.7
2021-09-12,PA,42037,8.1,5.9,0.0,0.0,8.4,8.1
2021-09-19,PA,42037,7.6,4.4,0.0,0.0,8.4,7.6
2021-09-26,PA,42037,11.0,5.9,0.0,0.0,11.0,11.0
2021-10-03,PA,42037,12.1,7.9,0.0,0.0,12.3,12.1
2021-10-10,PA,42037,11.6,9.7,0.0,0.0,11.7,11.6
2021-10-17,PA,42037,12.6,9.7,0.0,0,12.9,12.6
2021-10-24,PA,42037,16.3,13.6,0.0,0,16.4,16.3
2021-10-31,PA,42037,12.4,7.9,0.0,0,13.7,12.4
2021-11-07,PA,42037,10.1,8.9,0.0,0.0,11.1,10.1
2021-11-14,PA,42037,11.7,9.7,0.0,0.0,12.9,11.7
2021-11-21,PA,42037,13.3,12.4,0.0,0.0,14.0,13.3
2021-11-28,PA,42037,17.4,14.6,0.0,0.0,17.7,17.4
2021-12-05,PA,42037,20.6,19.1,0.0,0.0,20.6,20.6
2021-12-12,PA,42037,21.4,18.7,4.0,0.0,21.4,21.4
2021-12-19,PA,42037,18.0,16.0,0.0,0.0,18.0,18.0
2021-12-26,PA,42037,24.0,21.099999999999998,0.0,0.0,24.0,24.0
