collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42071,27.200000000000003,21.8,68.7,0.0,27.5,27.200000000000003
2020-08-09,PA,42071,29.6,27.6,69.9,0.0,29.6,29.6
2020-08-16,PA,42071,18.6,17.6,73.9,0.0,18.6,18.6
2020-08-23,PA,42071,22.0,21.9,76.7,0.0,22.0,22.0
2020-08-30,PA,42071,22.4,21.4,75.3,0.0,22.4,22.4
2020-09-06,PA,42071,16.4,15.9,74.1,0.0,16.4,16.4
2020-09-13,PA,42071,12.0,11.4,71.1,0.0,12.0,12.0
2020-09-20,PA,42071,7.1,6.7,70.1,0.0,7.1,7.1
2020-09-27,PA,42071,18.200000000000003,16.5,67.19999999999999,0.0,18.200000000000003,18.200000000000003
2020-10-04,PA,42071,25.3,23.9,67.2,0.0,25.3,25.3
2020-10-11,PA,42071,24.0,22.799999999999997,68.9,0.0,24.0,24.0
2020-10-18,PA,42071,29.099999999999998,24.1,69.3,0.0,29.099999999999998,29.099999999999998
2020-10-25,PA,42071,37.2,35.6,73.0,0.0,37.2,37.2
2020-11-01,PA,42071,52.5,47.0,72.89999999999999,0.0,52.9,52.5
2020-11-08,PA,42071,76.0,69.2,70.5,0.0,77.5,76.0
2020-11-15,PA,42071,90.3,87.4,68.3,0.0,90.5,90.3
2020-11-22,PA,42071,121.2,117.9,67.6,0.0,121.2,121.2
2020-11-29,PA,42071,140.1,137.7,70.7,0.0,140.1,140.1
2020-12-06,PA,42071,159.0,158.2,71.6,0.0,159.0,159.0
2020-12-13,PA,42071,159.0,156.2,66.10000000000001,0.0,159.1,159.0
2020-12-20,PA,42071,142.4,140.7,64.7,0.0,142.4,142.4
2020-12-27,PA,42071,133.6,131.70000000000002,69.7,0.0,133.6,133.6
2021-01-03,PA,42071,140.3,139.1,71.8,0.0,140.3,140.3
2021-01-10,PA,42071,145.4,141.9,73.7,0.0,145.6,145.4
2021-01-17,PA,42071,120.20000000000002,117.6,70.89999999999999,0.0,120.20000000000002,120.20000000000002
2021-01-24,PA,42071,117.1,115.3,69.3,0.0,117.1,117.1
2021-01-31,PA,42071,97.0,95.3,69.4,0.0,97.5,97.0
2021-02-07,PA,42071,86.9,85.6,67.2,0.0,86.9,86.9
2021-02-14,PA,42071,59.2,57.900000000000006,58.300000000000004,0.0,59.2,59.2
2021-02-21,PA,42071,45.9,44.3,68.60000000000001,0.0,45.9,45.9
2021-02-28,PA,42071,30.5,29.9,62.1,0.0,30.5,30.5
2021-03-07,PA,42071,30.0,29.700000000000003,67.3,0.0,30.0,30.0
2021-03-14,PA,42071,34.8,34.4,56.0,0.0,34.8,34.8
2021-03-21,PA,42071,37.0,35.3,63.7,0.0,37.0,37.0
2021-03-28,PA,42071,52.6,51.7,62.9,0.0,52.6,52.6
2021-04-04,PA,42071,74.69999999999999,73.60000000000001,66.1,0.0,75.39999999999999,74.69999999999999
2021-04-11,PA,42071,89.1,88.5,69.89999999999999,0.0,89.2,89.1
2021-04-18,PA,42071,96.9,95.5,70.2,0.0,96.9,96.9
2021-04-25,PA,42071,70.5,69.0,70.0,0.0,70.5,70.5
2021-05-02,PA,42071,53.3,52.3,68.4,0.0,53.3,53.3
2021-05-09,PA,42071,44.6,43.0,69.5,0.0,44.6,44.6
2021-05-16,PA,42071,32.7,31.9,65.8,0.0,32.7,32.7
2021-05-23,PA,42071,20.6,20.2,62.99999999999999,0.0,20.6,20.6
2021-05-30,PA,42071,19.0,15.7,62.0,0.0,19.0,19.0
2021-06-06,PA,42071,18.9,13.5,67.2,0.0,18.9,18.9
2021-06-13,PA,42071,16.1,11.1,51.7,0.0,16.1,16.1
2021-06-20,PA,42071,15.3,6.4,56.1,0.0,15.3,15.3
2021-06-27,PA,42071,8.0,0,54.0,0.0,8.0,8.0
2021-07-04,PA,42071,6.6,0,57.3,0.0,6.7,6.6
2021-07-11,PA,42071,8.6,0.0,53.4,0.0,8.9,8.6
2021-07-18,PA,42071,7.6,0,50.4,0.0,7.6,7.6
2021-07-25,PA,42071,17.0,9.4,64.8,0.0,17.0,17.0
2021-08-01,PA,42071,15.0,11.1,59.1,0.0,15.0,15.0
2021-08-08,PA,42071,29.3,20.9,63.800000000000004,0.0,29.3,29.3
