collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42087,4.3,0,0,0.0,4.3,4.3
2020-08-09,PA,42087,0,0,0,0,0,0.0
2020-08-16,PA,42087,0,0,0,0.0,0,0.0
2020-08-23,PA,42087,6.0,4.0,0,0,6.4,6.0
2020-08-30,PA,42087,0,0,18.0,0,0,0.0
2020-09-06,PA,42087,5.1,0,18.0,0,5.6,5.1
2020-09-13,PA,42087,5.7,4.6,18.0,0,6.0,5.7
2020-09-20,PA,42087,5.3,4.2,18.0,0,5.5,5.3
2020-09-27,PA,42087,6.4,5.0,18.0,0,6.7,6.4
2020-10-04,PA,42087,5.9,4.6,18.0,0,6.0,5.9
2020-10-11,PA,42087,8.1,5.1,16.1,0,8.6,8.1
2020-10-18,PA,42087,12.6,10.1,5.0,0,12.7,12.6
2020-10-25,PA,42087,12.9,11.6,6.6,0.0,12.9,12.9
2020-11-01,PA,42087,24.3,21.6,7.1,0,24.7,24.3
2020-11-08,PA,42087,27.4,25.9,6.1,0,27.6,27.4
2020-11-15,PA,42087,37.9,34.1,5.3,0,38.7,37.9
2020-11-22,PA,42087,53.7,48.1,7.0,0,54.0,53.7
2020-11-29,PA,42087,54.6,51.0,7.6,0,55.1,54.6
2020-12-06,PA,42087,53.9,47.3,8.0,0,54.6,53.9
2020-12-13,PA,42087,56.6,49.9,8.6,0,57.0,56.6
2020-12-20,PA,42087,47.9,39.7,7.3,0,48.4,47.9
2020-12-27,PA,42087,46.0,39.0,6.4,0,46.7,46.0
2021-01-03,PA,42087,48.3,40.6,7.7,0,48.4,48.3
2021-01-10,PA,42087,43.4,37.3,9.0,0,44.0,43.4
2021-01-17,PA,42087,26.7,21.1,7.1,0,27.0,26.7
2021-01-24,PA,42087,22.3,18.0,6.4,0.0,22.3,22.3
2021-01-31,PA,42087,17.4,7.7,4.6,0,17.7,17.4
2021-02-07,PA,42087,9.4,7.1,5.3,0.0,9.4,9.4
2021-02-14,PA,42087,10.6,9.3,6.9,0,11.3,10.6
2021-02-21,PA,42087,11.3,8.6,6.4,0.0,11.3,11.3
2021-02-28,PA,42087,7.7,5.0,6.0,0,8.1,7.7
2021-03-07,PA,42087,6.4,0,4.9,0,6.7,6.4
2021-03-14,PA,42087,7.6,0,5.3,0.0,7.6,7.6
2021-03-21,PA,42087,8.9,5.9,0,0,9.1,8.9
2021-03-28,PA,42087,15.0,9.1,4.9,0,15.3,15.0
2021-04-04,PA,42087,8.3,6.9,5.9,0.0,8.3,8.3
2021-04-11,PA,42087,9.3,7.0,6.9,0,9.4,9.3
2021-04-18,PA,42087,9.4,7.9,4.7,0,10.4,9.4
2021-04-25,PA,42087,10.1,8.6,5.0,0,11.1,10.1
2021-05-02,PA,42087,10.9,7.4,5.4,0,12.0,10.9
2021-05-09,PA,42087,8.6,6.6,8.0,0,10.0,8.6
2021-05-16,PA,42087,11.6,9.3,7.1,0,11.7,11.6
2021-05-23,PA,42087,10.0,8.4,8.1,0,10.1,10.0
2021-05-30,PA,42087,8.1,5.9,6.4,0,8.9,8.1
2021-06-06,PA,42087,6.1,0,6.1,0,6.3,6.1
2021-06-13,PA,42087,6.6,4.0,5.1,0,7.0,6.6
2021-06-20,PA,42087,8.3,6.4,4.9,0,8.4,8.3
2021-06-27,PA,42087,4.4,4.1,0,0,5.0,4.4
2021-07-04,PA,42087,0,0,4.4,0,4.4,0.0
2021-07-11,PA,42087,0,0,0,0,0,0.0
2021-07-18,PA,42087,4.4,0,0,0,4.6,4.4
2021-07-25,PA,42087,0,0,0,0,0,0.0
2021-08-01,PA,42087,5.4,0,4.1,0,5.6,5.4
2021-08-08,PA,42087,0,0,0,0,0,0.0
2021-08-15,PA,42087,6.6,5.3,5.7,0,6.9,6.6
2021-08-22,PA,42087,11.1,6.7,5.0,0,11.7,11.1
2021-08-29,PA,42087,13.9,10.1,6.1,0,16.0,13.9
2021-09-05,PA,42087,23.4,20.0,7.0,0,25.3,23.4
2021-09-12,PA,42087,30.1,25.7,7.3,0,31.3,30.1
2021-09-19,PA,42087,34.3,27.0,6.9,0,35.9,34.3
2021-09-26,PA,42087,43.9,36.4,8.4,0,44.7,43.9
2021-10-03,PA,42087,48.9,42.0,8.4,0,49.1,48.9
2021-10-10,PA,42087,48.7,41.9,8.6,0,49.4,48.7
2021-10-17,PA,42087,38.0,31.9,7.1,0,39.1,38.0
2021-10-24,PA,42087,43.7,37.9,8.9,0,44.1,43.7
2021-10-31,PA,42087,36.7,32.0,8.0,0,37.9,36.7
2021-11-07,PA,42087,15.4,14.4,7.9,0,15.7,15.4
2021-11-14,PA,42087,20.4,18.6,7.1,0,20.9,20.4
2021-11-21,PA,42087,41.1,31.7,6.7,0,41.6,41.1
2021-11-28,PA,42087,46.7,36.1,7.6,0,47.3,46.7
2021-12-05,PA,42087,47.1,37.4,8.0,0,48.3,47.1
2021-12-12,PA,42087,45.4,41.4,8.7,0,46.6,45.4
2021-12-19,PA,42087,45.3,41.3,9.4,0,46.7,45.3
2021-12-26,PA,42087,44.3,40.6,8.3,0,45.9,44.3
