collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42089,13.3,0,16.4,0.0,13.4,13.3
2020-08-09,PA,42089,15.6,0,14.7,0.0,15.6,15.6
2020-08-16,PA,42089,9.8,4.3,17.4,0.0,9.8,9.8
2020-08-23,PA,42089,7.1,0,18.3,0.0,7.1,7.1
2020-08-30,PA,42089,8.7,0,17.6,0.0,8.7,8.7
2020-09-06,PA,42089,6.0,0.0,16.6,0.0,6.1,6.0
2020-09-13,PA,42089,6.1,0.0,17.5,0.0,6.1,6.1
2020-09-20,PA,42089,0,0.0,16.6,0.0,0,0.0
2020-09-27,PA,42089,0.0,0.0,17.9,0.0,0.0,0.0
2020-10-04,PA,42089,0,0,18.5,0.0,0,0.0
2020-10-11,PA,42089,0,0.0,19.2,0.0,0,0.0
2020-10-18,PA,42089,0,0,18.3,0.0,0,0.0
2020-10-25,PA,42089,4.2,0,17.2,0.0,4.2,4.2
2020-11-01,PA,42089,5.4,0,18.7,0.0,5.4,5.4
2020-11-08,PA,42089,13.9,9.399999999999999,22.0,0.0,13.9,13.9
2020-11-15,PA,42089,25.3,18.0,24.0,0.0,25.700000000000003,25.3
2020-11-22,PA,42089,41.7,33.4,21.1,0.0,42.2,41.7
2020-11-29,PA,42089,53.0,37.7,22.7,0.0,53.0,53.0
2020-12-06,PA,42089,57.7,54.5,23.5,0.0,57.7,57.7
2020-12-13,PA,42089,59.3,56.400000000000006,21.6,0.0,59.3,59.3
2020-12-20,PA,42089,56.0,53.599999999999994,23.9,0.0,56.0,56.0
2020-12-27,PA,42089,55.7,52.900000000000006,21.2,0.0,55.7,55.7
2021-01-03,PA,42089,66.3,63.199999999999996,23.6,0.0,66.3,66.3
2021-01-10,PA,42089,53.0,51.3,22.4,0.0,53.0,53.0
2021-01-17,PA,42089,40.5,37.6,20.7,0.0,40.6,40.5
2021-01-24,PA,42089,38.0,37.0,20.0,0.0,38.0,38.0
