collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42093,13.0,8.3,0.0,0.0,14.7,13.0
2020-08-09,PA,42093,10.5,7.5,0.0,0.0,12.3,10.5
2020-08-16,PA,42093,15.1,10.9,0.0,0.0,16.7,15.1
2020-08-23,PA,42093,17.7,13.2,82.0,0.0,19.0,17.7
2020-08-30,PA,42093,16.9,13.9,74.7,0.0,18.4,16.9
2020-09-06,PA,42093,14.9,10.9,75.4,0.0,16.7,14.9
2020-09-13,PA,42093,18.7,15.0,75.0,0.0,20.0,18.7
2020-09-20,PA,42093,25.8,20.5,75.0,0.0,26.5,25.8
2020-09-27,PA,42093,40.1,34.1,75.0,0.0,41.1,40.1
2020-10-04,PA,42093,44.7,38.6,75.0,0.0,47.6,44.7
2020-10-11,PA,42093,45.0,40.0,91.4,0.0,47.4,45.0
2020-10-18,PA,42093,52.0,43.3,190.0,0.0,54.9,52.0
2020-10-25,PA,42093,39.7,33.0,161.6,0.0,40.6,39.7
2020-11-01,PA,42093,59.1,45.0,154.1,0.0,62.7,59.1
2020-11-08,PA,42093,103.0,87.4,166.6,4.9,107.9,107.9
2020-11-15,PA,42093,156.9,134.0,172.9,8.0,164.9,164.9
2020-11-22,PA,42093,184.9,161.7,173.4,7.4,192.3,192.3
2020-11-29,PA,42093,216.3,187.0,174.4,8.6,224.9,224.9
2020-12-06,PA,42093,236.7,203.9,166.6,11.4,248.1,248.1
2020-12-13,PA,42093,266.7,224.7,177.3,13.4,280.1,280.09999999999997
2020-12-20,PA,42093,293.0,240.4,174.1,12.9,305.9,305.9
2020-12-27,PA,42093,341.4,277.9,177.1,16.3,357.7,357.7
2021-01-03,PA,42093,335.6,289.9,184.0,12.4,348.0,348.0
2021-01-10,PA,42093,316.1,286.9,195.2,12.0,328.1,328.1
2021-01-17,PA,42093,251.0,224.6,185.6,14.1,265.1,265.1
2021-01-24,PA,42093,200.0,168.1,194.70000000000002,17.4,217.4,217.4
2021-01-31,PA,42093,220.6,149.0,191.5,26.4,247.0,247.0
2021-02-07,PA,42093,158.0,128.6,188.6,15.1,173.1,173.1
2021-02-14,PA,42093,122.0,92.1,184.9,8.7,130.7,130.7
2021-02-21,PA,42093,114.6,78.6,184.70000000000002,7.6,122.1,122.19999999999999
2021-02-28,PA,42093,96.9,61.3,189.0,8.0,104.9,104.9
2021-03-07,PA,42093,96.6,55.9,192.20000000000002,10.4,107.0,107.0
2021-03-14,PA,42093,96.0,55.9,188.3,12.1,108.1,108.1
2021-03-21,PA,42093,81.0,47.9,187.7,8.6,89.6,89.6
2021-03-28,PA,42093,95.7,53.6,176.29999999999998,10.3,106.0,106.0
2021-04-04,PA,42093,123.1,99.6,194.39999999999998,0.0,126.9,123.1
2021-04-11,PA,42093,113.6,84.9,183.4,6.4,120.0,120.0
2021-04-18,PA,42093,121.9,89.3,164.9,6.9,128.7,128.8
2021-04-25,PA,42093,112.4,81.9,194.7,13.1,125.6,125.5
2021-05-02,PA,42093,118.1,90.7,187.9,10.4,128.6,128.5
2021-05-09,PA,42093,98.4,73.4,175.79999999999998,7.4,105.9,105.80000000000001
2021-05-16,PA,42093,88.7,67.0,183.3,14.6,103.3,103.3
2021-05-23,PA,42093,89.3,67.0,190.7,9.0,98.3,98.3
2021-05-30,PA,42093,79.0,60.0,190.5,7.4,86.4,86.4
2021-06-06,PA,42093,64.9,49.0,184.60000000000002,4.7,69.6,69.60000000000001
2021-06-13,PA,42093,57.1,37.3,178.0,0.0,60.7,57.1
2021-06-20,PA,42093,50.1,30.4,191.6,9.4,59.6,59.5
2021-06-27,PA,42093,56.9,33.7,189.5,5.3,62.1,62.199999999999996
2021-07-04,PA,42093,47.6,25.0,185.29999999999998,4.1,51.7,51.7
2021-07-11,PA,42093,33.9,12.7,174.8,7.1,41.0,41.0
2021-07-18,PA,42093,35.1,20.6,201.3,0.0,37.9,35.1
2021-07-25,PA,42093,36.9,17.7,194.1,4.1,41.0,41.0
2021-08-01,PA,42093,20.0,7.9,164.5,4.6,24.6,24.6
2021-08-08,PA,42093,32.1,18.1,114.80000000000001,0.0,34.7,32.1
2021-08-15,PA,42093,43.0,31.7,110.7,6.1,49.1,49.1
2021-08-22,PA,42093,54.6,39.9,104.69999999999999,8.9,63.4,63.5
2021-08-29,PA,42093,65.6,46.7,109.60000000000001,5.9,71.4,71.5
2021-09-05,PA,42093,63.9,43.9,102.89999999999999,11.3,75.1,75.2
2021-09-12,PA,42093,63.7,48.4,113.80000000000001,11.3,75.0,75.0
