collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42095,7.7,7.6,47.6,0.0,7.7,7.7
2020-08-09,PA,42095,12.7,8.1,46.7,0.0,13.0,12.7
2020-08-16,PA,42095,13.1,8.3,49.8,0.0,13.4,13.1
2020-08-23,PA,42095,11.0,7.0,57.7,0.0,11.0,11.0
2020-08-30,PA,42095,5.1,0.0,45.3,0.0,5.1,5.1
2020-09-06,PA,42095,6.3,0.0,50.300000000000004,0.0,6.3,6.3
2020-09-13,PA,42095,8.4,5.1,51.099999999999994,0.0,8.4,8.4
2020-09-20,PA,42095,9.3,7.0,61.7,0.0,9.3,9.3
2020-09-27,PA,42095,10.3,7.9,53.400000000000006,0.0,10.3,10.3
2020-10-04,PA,42095,15.6,13.9,57.0,0.0,15.6,15.6
2020-10-11,PA,42095,21.5,14.7,55.599999999999994,0.0,21.5,21.5
2020-10-18,PA,42095,18.3,12.9,56.9,0.0,18.6,18.3
2020-10-25,PA,42095,15.6,14.7,54.9,0.0,15.0,15.6
2020-11-01,PA,42095,28.1,25.700000000000003,52.199999999999996,0.0,28.4,28.1
2020-11-08,PA,42095,40.7,34.7,53.1,0.0,41.4,40.7
2020-11-15,PA,42095,51.8,47.0,56.9,0,54.0,51.8
2020-11-22,PA,42095,79.0,75.0,59.7,0,81.2,79.0
2020-11-29,PA,42095,115.5,96.7,63.3,0.0,115.7,115.5
2020-12-06,PA,42095,139.20000000000002,133.4,63.4,0.0,140.3,139.20000000000002
2020-12-13,PA,42095,163.7,159.0,65.0,0.0,164.2,163.7
2020-12-20,PA,42095,171.20000000000002,165.4,64.7,0.0,172.3,171.20000000000002
2020-12-27,PA,42095,156.0,152.7,55.599999999999994,0.0,156.3,156.0
2021-01-03,PA,42095,157.3,153.9,68.2,0.0,157.4,157.3
2021-01-10,PA,42095,151.2,148.5,65.0,0.0,151.4,151.2
2021-01-17,PA,42095,150.3,139.89999999999998,66.69999999999999,0.0,150.3,150.3
2021-01-24,PA,42095,112.5,112.0,58.1,0.0,113.4,112.5
2021-01-31,PA,42095,99.6,99.3,59.199999999999996,0.0,100.2,99.6
2021-02-07,PA,42095,68.7,68.4,64.2,0.0,68.9,68.7
2021-02-14,PA,42095,48.2,48.2,57.9,0.0,48.6,48.2
2021-02-21,PA,42095,36.400000000000006,36.3,61.6,0.0,38.3,36.400000000000006
2021-02-28,PA,42095,30.0,29.7,51.5,0.0,30.0,30.0
2021-03-07,PA,42095,24.4,24.4,51.9,0.0,24.4,24.4
2021-03-14,PA,42095,33.3,27.200000000000003,52.3,0.0,33.5,33.3
2021-03-21,PA,42095,39.2,38.2,58.4,0.0,39.7,39.2
2021-03-28,PA,42095,51.2,49.900000000000006,58.5,0.0,52.0,51.2
2021-04-04,PA,42095,58.199999999999996,57.2,61.3,0.0,58.9,58.199999999999996
2021-04-11,PA,42095,50.8,50.8,57.400000000000006,0.0,51.0,50.8
2021-04-18,PA,42095,67.4,67.1,57.400000000000006,0.0,68.1,67.4
2021-04-25,PA,42095,58.400000000000006,58.2,61.300000000000004,0.0,59.3,58.400000000000006
2021-05-02,PA,42095,33.5,33.3,56.2,0.0,33.7,33.5
2021-05-09,PA,42095,29.0,29.0,53.0,0.0,29.3,29.0
2021-05-16,PA,42095,26.0,25.3,51.3,0.0,26.0,26.0
2021-05-23,PA,42095,20.6,19.6,57.0,0.0,22.3,20.6
2021-05-30,PA,42095,13.6,13.4,58.0,0.0,14.6,13.6
2021-06-06,PA,42095,7.1,6.4,53.5,0.0,7.4,7.1
2021-06-13,PA,42095,5.1,5.1,54.2,0.0,5.1,5.1
2021-06-20,PA,42095,4.7,4.4,54.3,0.0,4.9,4.7
2021-06-27,PA,42095,0.0,0.0,55.6,0.0,0.0,0.0
2021-07-04,PA,42095,0.0,0.0,54.9,0.0,0.0,0.0
2021-07-11,PA,42095,0.0,0.0,52.1,0.0,0.0,0.0
2021-07-18,PA,42095,0,0,53.0,0.0,0,0.0
2021-07-25,PA,42095,5.6,5.0,48.599999999999994,0.0,5.6,5.6
2021-08-01,PA,42095,11.0,10.8,55.6,0.0,11.3,11.0
2021-08-08,PA,42095,20.4,19.7,54.6,0.0,20.7,20.4
2021-08-15,PA,42095,31.9,31.9,52.8,0.0,32.8,31.9
2021-08-22,PA,42095,42.0,41.3,52.6,0.0,42.3,42.0
2021-08-29,PA,42095,41.4,41.4,48.800000000000004,0.0,42.9,41.4
2021-09-05,PA,42095,55.3,54.400000000000006,55.5,0.0,55.3,55.3
2021-09-12,PA,42095,48.0,47.9,61.8,0.0,48.199999999999996,48.0
2021-09-19,PA,42095,51.6,51.3,58.3,0.0,52.6,51.6
2021-09-26,PA,42095,54.7,54.7,60.199999999999996,0.0,55.6,54.7
2021-10-03,PA,42095,49.0,49.0,57.599999999999994,0.0,49.1,49.0
2021-10-10,PA,42095,45.4,45.0,63.7,0.0,45.7,45.4
2021-10-17,PA,42095,40.8,40.5,63.5,0.0,41.1,40.8
2021-10-24,PA,42095,32.099999999999994,32.0,59.7,0.0,32.099999999999994,32.099999999999994
2021-10-31,PA,42095,26.7,26.7,60.4,0.0,26.7,26.7
2021-11-07,PA,42095,28.0,27.6,60.0,0.0,28.299999999999997,28.0
2021-11-14,PA,42095,47.5,47.199999999999996,57.2,0.0,47.5,47.5
2021-11-21,PA,42095,64.5,64.5,60.6,0.0,64.8,64.5
2021-11-28,PA,42095,85.7,85.5,61.0,0.0,86.4,85.7
2021-12-05,PA,42095,97.69999999999999,97.69999999999999,63.400000000000006,0.0,97.8,97.69999999999999
2021-12-12,PA,42095,116.10000000000001,115.80000000000001,61.800000000000004,0.0,116.30000000000001,116.10000000000001
2021-12-19,PA,42095,107.7,107.0,58.0,0.0,109.19999999999999,107.7
2021-12-26,PA,42095,122.80000000000001,120.80000000000001,59.1,0.0,123.0,122.80000000000001
