collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42101,266.9,126.49999999999999,616.6,15.7,282.8,282.59999999999997
2020-08-09,PA,42101,276.8,116.1,622.4,11.3,289.2,288.1
2020-08-16,PA,42101,238.3,109.8,614.3999999999999,11.8,249.5,250.10000000000002
2020-08-23,PA,42101,210.5,89.0,622.3000000000001,10.3,220.8,220.8
2020-08-30,PA,42101,226.60000000000002,109.1,644.1,10.0,236.8,236.60000000000002
2020-09-06,PA,42101,193.39999999999998,104.60000000000001,687.5999999999999,7.9,202.5,201.29999999999998
2020-09-13,PA,42101,216.09999999999997,100.5,678.8000000000001,11.4,227.5,227.49999999999997
2020-09-20,PA,42101,202.70000000000005,82.7,651.0000000000001,8.7,211.40000000000003,211.40000000000003
2020-09-27,PA,42101,206.70000000000002,105.0,648.0000000000001,7.3,214.00000000000003,214.00000000000003
2020-10-04,PA,42101,185.39999999999998,101.09999999999998,491.90000000000003,6.3,195.7,191.7
2020-10-11,PA,42101,210.7,124.69999999999999,651.3,6.9,217.60000000000002,217.6
2020-10-18,PA,42101,224.10000000000002,167.39999999999998,634.6000000000001,9.2,233.4,233.3
2020-10-25,PA,42101,282.0,220.8,622.5999999999999,17.0,299.1,299.0
2020-11-01,PA,42101,349.00000000000006,284.3,631.6000000000001,8.3,357.30000000000007,357.30000000000007
2020-11-08,PA,42101,484.3,422.9000000000001,663.3,13.7,498.09999999999997,498.0
2020-11-15,PA,42101,591.2,529.1,670.2000000000002,26.0,617.2,617.2
2020-11-22,PA,42101,747.3999999999999,668.5,641.5999999999999,19.6,768.5999999999999,766.9999999999999
2020-11-29,PA,42101,899.5000000000001,817.4000000000001,657.5,19.8,920.2,919.3000000000001
2020-12-06,PA,42101,952.4000000000001,881.1,614.9,17.9,971.8000000000001,970.3000000000001
2020-12-13,PA,42101,951.8,889.1999999999999,594.6,18.0,970.2,969.8
2020-12-20,PA,42101,843.2,767.4999999999999,557.7,20.700000000000003,863.9,863.9000000000001
2020-12-27,PA,42101,820.6999999999998,713.4000000000001,537.2,19.6,840.5999999999999,840.2999999999998
2021-01-03,PA,42101,753.0999999999999,649.1,556.8,22.1,776.2,775.1999999999999
