collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-08-09,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-08-16,PA,42105,0.0,0.0,4.1,0.0,0.0,0.0
2020-08-23,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-08-30,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-09-06,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,PA,42105,0,0,0,0.0,0,0.0
2020-10-04,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-10-11,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2020-10-18,PA,42105,0,0,0,0.0,0,0.0
2020-10-25,PA,42105,0,0,0,0.0,0,0.0
2020-11-01,PA,42105,0,0,0,0.0,0,0.0
2020-11-08,PA,42105,0,0,0,0.0,0,0.0
2020-11-15,PA,42105,0,0,0,0.0,0,0.0
2020-11-22,PA,42105,5.4,5.4,0,0.0,5.4,5.4
2020-11-29,PA,42105,10.0,10.0,4.4,0.0,10.0,10.0
2020-12-06,PA,42105,16.3,16.0,0,0.0,16.3,16.3
2020-12-13,PA,42105,11.4,10.6,4.0,0.0,11.4,11.4
2020-12-20,PA,42105,7.6,7.6,0,0.0,7.6,7.6
2020-12-27,PA,42105,11.4,9.7,0,0.0,11.4,11.4
2021-01-03,PA,42105,0,0,0,0.0,0,0.0
2021-01-10,PA,42105,5.9,5.9,0,0.0,5.9,5.9
2021-01-17,PA,42105,7.3,7.3,4.1,0.0,7.3,7.3
2021-01-24,PA,42105,4.7,4.7,0,0.0,4.7,4.7
2021-01-31,PA,42105,0,0,0,0.0,0,0.0
2021-02-07,PA,42105,0,0,0,0.0,0,0.0
2021-02-14,PA,42105,0,0,0,0.0,0,0.0
2021-02-21,PA,42105,0,0,0,0.0,0,0.0
2021-02-28,PA,42105,0,0,0,0.0,0,0.0
2021-03-07,PA,42105,0,0,0,0.0,0,0.0
2021-03-14,PA,42105,0,0,0,0.0,0,0.0
2021-03-21,PA,42105,0,0,0,0.0,0,0.0
2021-03-28,PA,42105,0,0,0,0.0,0,0.0
2021-04-04,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2021-04-11,PA,42105,0,0,0,0.0,0,0.0
2021-04-18,PA,42105,0,0,0,0.0,0,0.0
2021-04-25,PA,42105,0,0,0,0.0,0,0.0
2021-05-02,PA,42105,4.6,4.4,0,0.0,4.6,4.6
2021-05-09,PA,42105,0,0,4.4,0.0,0,0.0
2021-05-16,PA,42105,4.4,4.4,0,0.0,4.4,4.4
2021-05-23,PA,42105,0,0,0,0.0,0,0.0
2021-05-30,PA,42105,0,0,0,0.0,0,0.0
2021-06-06,PA,42105,0,0,0,0.0,0,0.0
2021-06-13,PA,42105,0,0,0,0.0,0,0.0
2021-06-20,PA,42105,0,0,0,0.0,0,0.0
2021-06-27,PA,42105,0,0,0,0.0,0,0.0
2021-07-04,PA,42105,0,0,0,0.0,0,0.0
2021-07-11,PA,42105,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,PA,42105,0,0,0,0.0,0,0.0
2021-07-25,PA,42105,0,0,0,0.0,0,0.0
2021-08-01,PA,42105,0,0,4.6,0.0,0,0.0
2021-08-08,PA,42105,0,0,0,0.0,0,0.0
2021-08-15,PA,42105,0,0,0,0.0,0,0.0
2021-08-22,PA,42105,0,0,0,0.0,0,0.0
2021-08-29,PA,42105,0,0,0,0.0,0,0.0
2021-09-05,PA,42105,0,0,0,0.0,0,0.0
2021-09-12,PA,42105,0,0,0,0.0,0,0.0
2021-09-19,PA,42105,8.3,8.3,0,0.0,8.3,8.3
2021-09-26,PA,42105,12.1,12.1,0,0.0,12.1,12.1
2021-10-03,PA,42105,17.9,17.9,4.0,0.0,17.9,17.9
2021-10-10,PA,42105,15.9,15.9,4.1,0.0,15.9,15.9
2021-10-17,PA,42105,9.9,9.9,4.0,0.0,9.9,9.9
2021-10-24,PA,42105,11.9,11.7,0,0.0,11.9,11.9
2021-10-31,PA,42105,10.4,10.4,0,0.0,10.4,10.4
2021-11-07,PA,42105,12.1,12.1,0,0.0,12.1,12.1
2021-11-14,PA,42105,13.0,13.0,0,0.0,13.0,13.0
2021-11-21,PA,42105,16.9,16.9,5.0,0.0,16.9,16.9
2021-11-28,PA,42105,21.3,21.3,4.9,0.0,21.3,21.3
2021-12-05,PA,42105,17.6,17.6,4.4,0.0,17.6,17.6
2021-12-12,PA,42105,13.9,13.9,4.4,0.0,13.9,13.9
2021-12-19,PA,42105,12.7,12.7,4.9,0.0,12.7,12.7
2021-12-26,PA,42105,6.6,6.6,4.4,0.0,6.6,6.6
