collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42107,7.9,0,17.7,0.0,7.9,7.9
2020-08-09,PA,42107,7.3,0.0,17.3,0.0,7.3,7.3
2020-08-16,PA,42107,4.4,0.0,11.1,0.0,4.4,4.4
2020-08-23,PA,42107,9.0,0.0,18.7,0.0,9.0,9.0
2020-08-30,PA,42107,11.6,0.0,15.7,0.0,11.6,11.6
2020-09-06,PA,42107,6.9,0.0,13.0,0.0,6.9,6.9
2020-09-13,PA,42107,0,0,12.6,0.0,0,0.0
2020-09-20,PA,42107,4.9,0,11.8,0.0,4.9,4.9
2020-09-27,PA,42107,11.0,9.1,16.7,0.0,11.0,11.0
2020-10-04,PA,42107,6.4,6.0,10.3,0.0,6.4,6.4
2020-10-11,PA,42107,8.1,7.7,12.7,0.0,8.1,8.1
2020-10-18,PA,42107,20.8,18.9,15.6,0.0,20.8,20.8
2020-10-25,PA,42107,31.2,28.5,17.700000000000003,0.0,31.2,31.2
2020-11-01,PA,42107,41.5,37.8,13.3,0.0,41.5,41.5
2020-11-08,PA,42107,49.3,39.6,16.8,0.0,49.3,49.3
2020-11-15,PA,42107,57.4,40.7,19.1,0.0,57.4,57.4
2020-11-22,PA,42107,59.9,52.9,20.9,0.0,60.099999999999994,59.9
2020-11-29,PA,42107,60.9,51.8,19.9,0.0,60.9,60.9
2020-12-06,PA,42107,60.3,58.0,20.9,0.0,60.3,60.3
2020-12-13,PA,42107,65.6,63.199999999999996,21.1,0.0,65.6,65.6
2020-12-20,PA,42107,66.3,64.69999999999999,15.6,0.0,66.3,66.3
2020-12-27,PA,42107,75.1,71.6,15.399999999999999,0.0,75.1,75.1
2021-01-03,PA,42107,76.7,72.1,19.0,0.0,76.7,76.7
2021-01-10,PA,42107,73.6,72.2,20.0,0.0,73.6,73.6
2021-01-17,PA,42107,58.8,57.900000000000006,19.700000000000003,0.0,58.8,58.8
2021-01-24,PA,42107,46.2,44.5,19.9,0.0,46.2,46.2
2021-01-31,PA,42107,46.2,45.5,18.1,0.0,46.2,46.2
2021-02-07,PA,42107,39.7,39.3,17.8,0.0,41.6,39.7
2021-02-14,PA,42107,30.9,30.299999999999997,17.4,0.0,30.9,30.9
2021-02-21,PA,42107,24.3,22.900000000000002,19.3,0.0,24.3,24.3
2021-02-28,PA,42107,15.7,14.4,16.2,0.0,15.7,15.7
2021-03-07,PA,42107,16.9,16.0,16.0,0.0,16.9,16.9
2021-03-14,PA,42107,8.4,7.9,16.5,0.0,8.4,8.4
2021-03-21,PA,42107,18.9,17.9,19.0,0.0,18.9,18.9
2021-03-28,PA,42107,18.4,17.7,18.900000000000002,0.0,18.4,18.4
2021-04-04,PA,42107,19.4,19.1,16.7,0.0,19.4,19.4
2021-04-11,PA,42107,30.3,28.3,18.1,0.0,30.3,30.3
2021-04-18,PA,42107,26.3,24.8,17.599999999999998,0.0,26.3,26.3
2021-04-25,PA,42107,22.4,21.8,18.0,0.0,22.4,22.4
2021-05-02,PA,42107,28.200000000000003,27.400000000000002,19.0,0.0,28.200000000000003,28.200000000000003
2021-05-09,PA,42107,15.0,14.700000000000001,14.200000000000001,0.0,15.0,15.0
2021-05-16,PA,42107,12.899999999999999,12.7,14.9,0.0,12.899999999999999,12.899999999999999
2021-05-23,PA,42107,9.9,9.0,9.1,0.0,9.9,9.9
2021-05-30,PA,42107,7.1,7.0,5.9,0.0,7.1,7.1
2021-06-06,PA,42107,6.4,5.7,14.899999999999999,0.0,6.4,6.4
2021-06-13,PA,42107,5.4,4.6,16.8,0.0,5.4,5.4
2021-06-20,PA,42107,5.6,4.7,9.1,0.0,5.6,5.6
2021-06-27,PA,42107,0.0,0.0,9.5,0.0,0.0,0.0
2021-07-04,PA,42107,0,0,13.3,0.0,0,0.0
2021-07-11,PA,42107,0.0,0.0,9.8,0.0,0.0,0.0
2021-07-18,PA,42107,0.0,0.0,16.7,0.0,0.0,0.0
2021-07-25,PA,42107,0,0,17.799999999999997,0.0,0,0.0
2021-08-01,PA,42107,0,0,15.299999999999999,0.0,0,0.0
2021-08-08,PA,42107,0,0,14.6,0.0,0,0.0
2021-08-15,PA,42107,9.8,5.1,19.9,0.0,9.8,9.8
2021-08-22,PA,42107,11.5,10.899999999999999,19.1,0.0,11.5,11.5
2021-08-29,PA,42107,11.7,7.1,18.7,0.0,11.7,11.7
