collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42119,0,0,6.0,0.0,0,0.0
2020-08-09,PA,42119,7.2,7.2,8.2,0.0,7.2,7.2
2020-08-16,PA,42119,7.7,7.7,9.0,0.0,7.7,7.7
2020-08-23,PA,42119,7.5,7.5,8.0,0.0,7.5,7.5
2020-08-30,PA,42119,6.5,6.5,6.5,0.0,6.5,6.5
2020-09-06,PA,42119,4.5,4.5,8.0,0.0,4.5,4.5
2020-09-13,PA,42119,4.0,4.0,8.0,0.0,4.0,4.0
2020-09-20,PA,42119,7.3,7.3,8.0,0.0,7.3,7.3
2020-09-27,PA,42119,5.5,5.5,8.0,0.0,5.5,5.5
2020-10-04,PA,42119,7.5,7.5,7.3,0.0,7.5,7.5
2020-10-11,PA,42119,8.7,8.4,6.0,0.0,8.7,8.7
2020-10-18,PA,42119,5.6,5.4,5.6,0.0,5.6,5.6
2020-10-25,PA,42119,0,0,6.7,0.0,0,0.0
2020-11-01,PA,42119,6.6,6.6,6.0,0.0,6.6,6.6
2020-11-08,PA,42119,13.0,13.0,5.9,0.0,13.0,13.0
2020-11-15,PA,42119,18.9,0,5.1,0.0,18.9,18.9
2020-11-22,PA,42119,34.0,20.6,11.7,0.0,25.0,34.0
2020-11-29,PA,42119,39.0,39.0,12.7,0,39.1,39.0
2020-12-06,PA,42119,42.1,42.1,12.0,0.0,42.1,42.1
2020-12-13,PA,42119,50.3,50.3,14.1,0.0,50.3,50.3
2020-12-20,PA,42119,54.4,54.4,12.9,0.0,54.4,54.4
2020-12-27,PA,42119,55.0,55.0,14.1,0.0,55.0,55.0
2021-01-03,PA,42119,47.7,47.7,14.6,0.0,47.7,47.7
2021-01-10,PA,42119,42.4,42.4,11.7,0.0,42.4,42.4
2021-01-17,PA,42119,41.4,41.4,10.7,0.0,41.4,41.4
2021-01-24,PA,42119,35.0,35.0,8.7,0.0,35.0,35.0
2021-01-31,PA,42119,22.7,22.7,7.7,0.0,22.7,22.7
2021-02-07,PA,42119,14.7,14.7,5.4,0.0,14.7,14.7
2021-02-14,PA,42119,10.1,10.1,6.0,0.0,10.1,10.1
2021-02-21,PA,42119,5.7,5.7,5.7,0.0,5.7,5.7
2021-02-28,PA,42119,5.3,5.3,6.6,0.0,5.3,5.3
2021-03-07,PA,42119,4.7,4.7,5.0,0.0,4.7,4.7
2021-03-14,PA,42119,5.7,5.7,4.9,0.0,5.7,5.7
2021-03-21,PA,42119,6.9,6.9,7.7,0.0,6.9,6.9
2021-03-28,PA,42119,13.1,13.1,8.4,0.0,13.1,13.1
2021-04-04,PA,42119,14.0,14.0,7.6,0.0,14.0,14.0
2021-04-11,PA,42119,18.7,18.7,7.4,0.0,18.7,18.7
2021-04-18,PA,42119,23.4,23.4,8.4,0.0,23.4,23.4
2021-04-25,PA,42119,20.6,20.6,7.9,0.0,20.6,20.6
2021-05-02,PA,42119,12.3,12.3,6.4,0.0,12.3,12.3
2021-05-09,PA,42119,10.6,10.6,6.7,0.0,10.6,10.6
2021-05-16,PA,42119,8.3,8.3,7.4,0.0,8.3,8.3
2021-05-23,PA,42119,9.3,9.3,7.9,0.0,9.3,9.3
2021-05-30,PA,42119,0,0,7.7,0.0,0,0.0
2021-06-06,PA,42119,4.0,4.0,7.7,0.0,4.0,4.0
2021-06-13,PA,42119,0,0,0,0.0,0,0.0
2021-06-20,PA,42119,0,0,0.0,0.0,0,0.0
2021-06-27,PA,42119,0,0,0.0,0.0,0,0.0
2021-07-04,PA,42119,0,0,0.0,0.0,0,0.0
2021-07-11,PA,42119,0,0,0.0,0.0,0,0.0
2021-07-18,PA,42119,0,0,0.0,0.0,0,0.0
2021-07-25,PA,42119,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,PA,42119,0,0,0.0,0.0,0,0.0
2021-08-08,PA,42119,7.6,7.6,0,0.0,7.6,7.6
2021-08-15,PA,42119,7.4,7.4,5.7,0.0,7.4,7.4
2021-08-22,PA,42119,14.1,14.1,7.9,0.0,14.1,14.1
2021-08-29,PA,42119,18.9,18.9,9.6,0.0,18.9,18.9
2021-09-05,PA,42119,20.0,20.0,8.3,0.0,20.0,20.0
2021-09-12,PA,42119,19.3,19.3,7.6,0.0,19.3,19.3
2021-09-19,PA,42119,25.1,25.1,8.3,0.0,25.1,25.1
2021-09-26,PA,42119,29.0,29.0,9.6,0.0,29.0,29.0
2021-10-03,PA,42119,32.9,32.9,9.9,0.0,32.9,32.9
2021-10-10,PA,42119,33.3,33.3,11.0,0.0,33.3,33.3
2021-10-17,PA,42119,30.1,30.1,10.9,0.0,30.1,30.1
2021-10-24,PA,42119,28.9,28.9,10.1,0.0,28.9,28.9
2021-10-31,PA,42119,29.6,29.6,10.0,0.0,29.6,29.6
2021-11-07,PA,42119,28.7,28.7,10.9,0.0,28.7,28.7
2021-11-14,PA,42119,36.9,36.9,11.7,0.0,36.9,36.9
2021-11-21,PA,42119,44.3,44.3,11.1,0.0,44.3,44.3
2021-11-28,PA,42119,53.3,53.3,12.4,0.0,53.3,53.3
2021-12-05,PA,42119,45.6,45.6,12.0,0.0,45.6,45.6
2021-12-12,PA,42119,48.1,48.1,12.4,0.0,48.1,48.1
2021-12-19,PA,42119,51.7,51.7,13.6,0.0,51.7,51.7
2021-12-26,PA,42119,40.6,40.6,11.1,0.0,40.6,40.6
