collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42121,0,0,0,0.0,0,0.0
2020-08-09,PA,42121,0.0,0.0,0,0,0,0.0
2020-08-16,PA,42121,0,0,4.6,0.0,0,0.0
2020-08-23,PA,42121,0,0,6.3,0.0,0,0.0
2020-08-30,PA,42121,0,0,5.6,0.0,0,0.0
2020-09-06,PA,42121,0,0,4.7,0.0,0,0.0
2020-09-13,PA,42121,0,0,0,0.0,0,0.0
2020-09-20,PA,42121,0.0,0.0,4.1,0.0,0.0,0.0
2020-09-27,PA,42121,0,0,5.1,0.0,0,0.0
2020-10-04,PA,42121,0,0,5.1,0.0,0,0.0
2020-10-11,PA,42121,0,0,4.7,0,0,0.0
2020-10-18,PA,42121,0,0,4.7,0.0,0,0.0
2020-10-25,PA,42121,7.0,7.0,6.1,0.0,7.0,7.0
2020-11-01,PA,42121,19.6,19.6,6.9,0.0,19.6,19.6
2020-11-08,PA,42121,16.0,16.0,7.3,0.0,16.0,16.0
2020-11-15,PA,42121,15.0,15.0,5.7,0.0,15.0,15.0
2020-11-22,PA,42121,22.4,22.4,6.7,0.0,22.4,22.4
2020-11-29,PA,42121,27.7,27.7,8.4,0.0,27.7,27.7
2020-12-06,PA,42121,19.6,19.6,8.9,0.0,19.6,19.6
2020-12-13,PA,42121,22.6,22.6,7.0,0.0,22.6,22.6
2020-12-20,PA,42121,28.1,28.1,7.3,0.0,28.1,28.1
2020-12-27,PA,42121,27.1,27.1,7.6,0.0,27.1,27.1
2021-01-03,PA,42121,26.1,26.1,7.1,0.0,26.1,26.1
2021-01-10,PA,42121,20.3,20.3,6.7,0.0,20.3,20.3
2021-01-17,PA,42121,18.3,18.3,4.9,0.0,18.3,18.3
2021-01-24,PA,42121,0,0,4.7,0.0,0,0.0
2021-01-31,PA,42121,6.0,6.0,6.7,0.0,6.0,6.0
2021-02-07,PA,42121,6.0,6.0,7.6,0.0,6.0,6.0
2021-02-14,PA,42121,5.9,5.9,7.0,0.0,5.9,5.9
2021-02-21,PA,42121,6.0,6.0,7.1,0.0,6.0,6.0
2021-02-28,PA,42121,0,0,7.1,0.0,0,0.0
2021-03-07,PA,42121,0,0,6.0,0.0,0,0.0
2021-03-14,PA,42121,0,0,0,0.0,0,0.0
2021-03-21,PA,42121,0,0,4.7,0.0,0,0.0
2021-03-28,PA,42121,0,0,5.0,0.0,0,0.0
2021-04-04,PA,42121,0,0,5.0,0.0,0,0.0
2021-04-11,PA,42121,0,0,5.0,0.0,0,0.0
2021-04-18,PA,42121,0,0,0,0.0,0,0.0
2021-04-25,PA,42121,0,0,0,0.0,0,0.0
2021-05-02,PA,42121,4.7,4.7,5.1,0.0,4.7,4.7
2021-05-09,PA,42121,10.3,10.3,4.9,0.0,10.3,10.3
2021-05-16,PA,42121,7.6,7.3,6.1,0.0,7.6,7.6
2021-05-23,PA,42121,4.6,4.3,6.4,0.0,4.6,4.6
2021-05-30,PA,42121,0,0,6.4,0.0,0,0.0
2021-06-06,PA,42121,0,0,5.1,0.0,0,0.0
2021-06-13,PA,42121,0,0,4.3,0.0,0,0.0
2021-06-20,PA,42121,0,0,6.3,0.0,0,0.0
2021-06-27,PA,42121,0,0,6.9,0.0,0,0.0
2021-07-04,PA,42121,0.0,0.0,6.3,0.0,0.0,0.0
2021-07-11,PA,42121,0,0,6.3,0.0,0,0.0
2021-07-18,PA,42121,0,0,5.9,0.0,0,0.0
2021-07-25,PA,42121,0,0,4.0,0.0,0,0.0
2021-08-01,PA,42121,5.0,5.0,5.6,0.0,5.0,5.0
2021-08-08,PA,42121,4.1,0,6.3,0.0,4.1,4.1
2021-08-15,PA,42121,0,0,4.4,0.0,0,0.0
2021-08-22,PA,42121,7.6,7.6,7.0,0.0,7.6,7.6
2021-08-29,PA,42121,10.3,10.1,6.9,0.0,10.3,10.3
2021-09-05,PA,42121,6.3,6.3,6.4,0.0,6.3,6.3
2021-09-12,PA,42121,8.6,8.6,6.6,0,8.7,8.6
2021-09-19,PA,42121,12.3,12.3,7.4,0.0,12.3,12.3
2021-09-26,PA,42121,20.9,20.9,7.1,0.0,20.9,20.9
2021-10-03,PA,42121,27.0,27.0,7.3,0.0,27.0,27.0
2021-10-10,PA,42121,25.9,25.9,7.7,0.0,25.9,25.9
2021-10-17,PA,42121,26.6,26.6,7.7,0.0,26.6,26.6
2021-10-24,PA,42121,26.9,26.9,8.0,0.0,26.9,26.9
2021-10-31,PA,42121,24.1,24.1,7.6,0.0,24.1,24.1
2021-11-07,PA,42121,27.9,27.7,8.0,0.0,27.9,27.9
2021-11-14,PA,42121,31.4,31.4,7.0,0.0,31.4,31.4
2021-11-21,PA,42121,31.0,30.3,7.9,0.0,31.0,31.0
2021-11-28,PA,42121,30.0,29.3,7.9,0.0,30.0,30.0
2021-12-05,PA,42121,34.4,34.3,9.1,0,34.6,34.4
2021-12-12,PA,42121,29.3,29.3,7.7,0,29.7,29.3
2021-12-19,PA,42121,18.7,18.7,8.0,0,19.6,18.7
2021-12-26,PA,42121,16.1,16.1,7.3,0,16.4,16.1
