collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42125,6.0,0.0,21.0,0.0,6.0,6.0
2020-08-09,PA,42125,4.4,0.0,22.1,0.0,4.4,4.4
2020-08-16,PA,42125,7.1,0.0,21.3,0.0,7.1,7.1
2020-08-23,PA,42125,5.4,0.0,21.6,0.0,5.4,5.4
2020-08-30,PA,42125,7.6,0.0,21.4,0.0,7.6,7.6
2020-09-06,PA,42125,9.0,5.0,24.7,0.0,9.0,9.0
2020-09-13,PA,42125,8.3,4.6,19.1,0.0,8.3,8.3
2020-09-20,PA,42125,8.0,0.0,20.0,0.0,8.0,8.0
2020-09-27,PA,42125,6.7,0.0,20.1,0.0,6.7,6.7
2020-10-04,PA,42125,9.3,5.9,19.7,0.0,9.3,9.3
2020-10-11,PA,42125,10.8,5.2,23.4,0.0,10.8,10.8
2020-10-18,PA,42125,24.299999999999997,18.1,24.299999999999997,0.0,24.299999999999997,24.299999999999997
2020-10-25,PA,42125,32.699999999999996,27.6,29.3,0.0,32.8,32.699999999999996
2020-11-01,PA,42125,36.1,25.4,29.3,0.0,36.1,36.1
2020-11-08,PA,42125,49.3,43.3,28.1,0.0,49.3,49.3
2020-11-15,PA,42125,80.80000000000001,72.4,30.3,0.0,80.80000000000001,80.80000000000001
2020-11-22,PA,42125,91.19999999999999,83.69999999999999,27.1,0.0,91.19999999999999,91.19999999999999
2020-11-29,PA,42125,91.1,82.0,29.9,0.0,91.1,91.1
2020-12-06,PA,42125,99.9,79.7,26.0,0.0,99.9,99.9
2020-12-13,PA,42125,93.3,83.4,34.5,0.0,93.3,93.3
2020-12-20,PA,42125,92.0,84.80000000000001,30.4,0.0,92.0,92.0
2020-12-27,PA,42125,97.5,83.0,31.799999999999997,0.0,97.5,97.5
2021-01-03,PA,42125,99.0,79.7,30.0,0.0,99.3,99.0
2021-01-10,PA,42125,76.80000000000001,62.3,35.0,0.0,76.80000000000001,76.80000000000001
2021-01-17,PA,42125,65.80000000000001,59.6,31.7,0.0,65.80000000000001,65.80000000000001
2021-01-24,PA,42125,55.900000000000006,49.6,36.099999999999994,0.0,55.900000000000006,55.900000000000006
2021-01-31,PA,42125,40.6,31.299999999999997,33.9,0.0,40.6,40.6
2021-02-07,PA,42125,34.300000000000004,27.5,25.2,0.0,34.300000000000004,34.300000000000004
2021-02-14,PA,42125,32.8,27.1,26.0,0.0,32.8,32.8
2021-02-21,PA,42125,26.4,21.299999999999997,27.200000000000003,0.0,26.4,26.4
2021-02-28,PA,42125,19.7,13.1,27.700000000000003,0.0,19.7,19.7
2021-03-07,PA,42125,13.7,12.0,16.0,0.0,13.7,13.7
2021-03-14,PA,42125,12.6,4.9,17.0,0.0,12.6,12.6
2021-03-21,PA,42125,16.5,11.3,18.3,0.0,16.5,16.5
2021-03-28,PA,42125,23.8,21.0,22.0,0.0,23.8,23.8
2021-04-04,PA,42125,27.2,21.0,27.7,0.0,27.5,27.2
2021-04-11,PA,42125,29.200000000000003,24.2,19.799999999999997,0.0,29.200000000000003,29.200000000000003
2021-04-18,PA,42125,35.6,31.4,24.700000000000003,0.0,35.6,35.6
2021-04-25,PA,42125,25.299999999999997,20.8,26.5,0.0,25.299999999999997,25.299999999999997
2021-05-02,PA,42125,23.799999999999997,19.4,26.4,0.0,23.799999999999997,23.799999999999997
2021-05-09,PA,42125,23.9,19.3,19.9,0.0,23.9,23.9
2021-05-16,PA,42125,16.799999999999997,12.5,21.5,0.0,17.0,16.799999999999997
2021-05-23,PA,42125,10.0,7.1,25.1,0.0,10.0,10.0
2021-05-30,PA,42125,16.0,14.3,19.5,0.0,16.3,16.0
2021-06-06,PA,42125,12.9,10.1,25.9,0.0,13.0,12.9
2021-06-13,PA,42125,8.0,4.3,20.3,0.0,8.1,8.0
2021-06-20,PA,42125,6.4,0.0,19.0,0.0,6.6,6.4
2021-06-27,PA,42125,4.7,0.0,19.9,0.0,4.7,4.7
2021-07-04,PA,42125,4.4,0.0,14.799999999999999,0.0,4.6,4.4
2021-07-11,PA,42125,0.0,0.0,17.6,0.0,0.0,0.0
2021-07-18,PA,42125,0.0,0.0,13.4,0.0,0.0,0.0
2021-07-25,PA,42125,6.9,4.1,18.5,0.0,6.9,6.9
2021-08-01,PA,42125,9.1,5.9,18.299999999999997,0.0,9.1,9.1
2021-08-08,PA,42125,23.4,19.2,19.4,0.0,23.6,23.4
2021-08-15,PA,42125,26.599999999999998,19.700000000000003,22.9,0.0,26.599999999999998,26.599999999999998
2021-08-22,PA,42125,27.9,22.6,22.7,0.0,27.9,27.9
2021-08-29,PA,42125,39.6,30.900000000000002,28.4,0.0,39.6,39.6
2021-09-05,PA,42125,52.4,46.099999999999994,29.2,0.0,52.4,52.4
2021-09-12,PA,42125,60.5,53.7,26.3,0.0,60.5,60.5
2021-09-19,PA,42125,70.9,63.1,31.9,0.0,71.1,70.9
2021-09-26,PA,42125,69.2,64.9,35.0,0.0,69.2,69.2
2021-10-03,PA,42125,68.6,63.2,37.1,0.0,68.8,68.6
2021-10-10,PA,42125,69.6,62.6,37.2,0.0,69.80000000000001,69.6
