collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,PA,42133,42.3,36.1,63.7,0.0,42.3,42.3
2020-08-09,PA,42133,32.6,28.799999999999997,69.5,0.0,32.8,32.6
2020-08-16,PA,42133,35.9,29.1,69.1,0.0,35.9,35.9
2020-08-23,PA,42133,42.4,37.0,61.7,0.0,42.4,42.4
2020-08-30,PA,42133,41.4,37.4,58.7,0.0,41.4,41.4
2020-09-06,PA,42133,32.9,29.299999999999997,62.400000000000006,0.0,32.9,32.9
2020-09-13,PA,42133,40.8,38.3,68.4,0.0,40.8,40.8
2020-09-20,PA,42133,48.6,43.4,71.3,0.0,48.6,48.6
2020-09-27,PA,42133,48.9,45.199999999999996,71.6,0.0,49.0,48.9
2020-10-04,PA,42133,54.4,51.0,76.5,0.0,54.4,54.4
2020-10-11,PA,42133,56.8,54.5,71.9,0.0,56.8,56.8
2020-10-18,PA,42133,60.9,56.699999999999996,66.30000000000001,-0.4,60.4,60.5
2020-10-25,PA,42133,63.2,59.7,61.8,0.0,63.800000000000004,63.2
2020-11-01,PA,42133,69.19999999999999,64.7,65.2,0.0,69.19999999999999,69.19999999999999
2020-11-08,PA,42133,87.29999999999998,77.10000000000001,71.10000000000001,0.0,87.29999999999998,87.29999999999998
2020-11-15,PA,42133,120.1,112.7,77.1,0.0,120.1,120.1
2020-11-22,PA,42133,159.0,148.8,85.4,0.0,159.0,159.0
2020-11-29,PA,42133,194.4,181.6,86.6,0.0,194.5,194.4
2020-12-06,PA,42133,229.5,222.6,90.2,0.0,229.6,229.5
2020-12-13,PA,42133,256.0,252.2,92.6,0.0,256.0,256.0
2020-12-20,PA,42133,252.3,250.0,85.8,0.0,252.3,252.3
2020-12-27,PA,42133,237.4,234.6,82.2,0.0,237.4,237.4
2021-01-03,PA,42133,226.6,222.79999999999998,91.1,0.0,226.6,226.6
2021-01-10,PA,42133,197.4,190.70000000000002,89.7,0.0,197.4,197.4
2021-01-17,PA,42133,180.5,177.60000000000002,88.8,0.0,180.5,180.5
2021-01-24,PA,42133,127.0,125.7,74.80000000000001,0.0,127.0,127.0
2021-01-31,PA,42133,89.7,87.8,79.4,0.0,90.0,89.7
2021-02-07,PA,42133,85.69999999999999,84.0,86.10000000000001,0.0,85.69999999999999,85.69999999999999
2021-02-14,PA,42133,67.0,65.10000000000001,80.9,0.0,67.0,67.0
2021-02-21,PA,42133,51.5,49.4,76.0,0.0,51.5,51.5
2021-02-28,PA,42133,42.1,41.3,70.7,0.0,42.1,42.1
2021-03-07,PA,42133,45.7,45.2,70.7,0.0,45.7,45.7
2021-03-14,PA,42133,40.900000000000006,40.3,73.1,0.0,40.900000000000006,40.900000000000006
2021-03-21,PA,42133,62.699999999999996,61.4,77.1,0.0,62.699999999999996,62.699999999999996
2021-03-28,PA,42133,81.9,79.10000000000001,82.2,0.0,81.9,81.9
2021-04-04,PA,42133,98.50000000000001,96.00000000000001,80.4,0.0,98.50000000000001,98.50000000000001
2021-04-11,PA,42133,111.80000000000001,109.5,82.2,0.0,111.80000000000001,111.80000000000001
2021-04-18,PA,42133,114.0,111.0,81.6,0.0,114.0,114.0
2021-04-25,PA,42133,90.6,88.69999999999999,78.8,0.0,90.6,90.6
2021-05-02,PA,42133,83.1,79.69999999999999,83.0,0.0,83.1,83.1
2021-05-09,PA,42133,65.0,64.0,81.6,0.0,65.0,65.0
2021-05-16,PA,42133,55.0,53.0,84.4,0.0,55.0,55.0
2021-05-23,PA,42133,47.7,46.4,83.7,0.0,47.7,47.7
2021-05-30,PA,42133,42.900000000000006,42.0,78.0,0.0,42.900000000000006,42.900000000000006
2021-06-06,PA,42133,27.0,25.1,75.6,0.0,27.0,27.0
2021-06-13,PA,42133,16.4,14.7,70.7,0.0,16.4,16.4
2021-06-20,PA,42133,11.9,11.6,72.9,0.0,11.9,11.9
2021-06-27,PA,42133,11.0,10.1,72.6,0.0,11.0,11.0
2021-07-04,PA,42133,13.4,12.4,70.10000000000001,0.0,13.4,13.4
2021-07-11,PA,42133,14.1,12.9,69.1,0.0,14.1,14.1
2021-07-18,PA,42133,11.7,11.0,57.300000000000004,0.0,11.7,11.7
2021-07-25,PA,42133,15.3,14.9,66.5,0.0,15.3,15.3
2021-08-01,PA,42133,21.3,19.3,67.9,0.0,21.3,21.3
2021-08-08,PA,42133,41.6,40.6,74.3,0.0,41.6,41.6
2021-08-15,PA,42133,58.1,55.1,73.0,0.0,58.1,58.1
2021-08-22,PA,42133,71.5,69.60000000000001,73.0,0.0,71.5,71.5
2021-08-29,PA,42133,75.60000000000001,73.30000000000001,68.9,0.0,75.60000000000001,75.60000000000001
2021-09-05,PA,42133,84.2,82.7,72.7,0.0,84.2,84.2
2021-09-12,PA,42133,98.4,95.7,74.4,0.0,98.4,98.4
2021-09-19,PA,42133,111.6,110.0,72.2,0.0,111.6,111.6
2021-09-26,PA,42133,134.5,131.7,74.6,0.0,134.5,134.5
2021-10-03,PA,42133,138.5,134.89999999999998,74.3,0.0,138.5,138.5
2021-10-10,PA,42133,135.0,132.0,77.9,4.1,139.20000000000002,139.1
2021-10-17,PA,42133,153.29999999999998,150.2,84.60000000000001,0.0,153.29999999999998,153.29999999999998
2021-10-24,PA,42133,151.60000000000002,149.3,82.60000000000001,0.0,151.8,151.60000000000002
2021-10-31,PA,42133,144.1,142.9,82.8,5.4,149.6,149.5
2021-11-07,PA,42133,132.9,130.3,79.9,4.4,137.29999999999998,137.3
2021-11-14,PA,42133,120.0,118.29999999999998,79.6,0.0,123.4,120.0
2021-11-21,PA,42133,137.7,133.0,82.6,0.0,141.0,137.7
2021-11-28,PA,42133,154.7,150.7,87.30000000000001,0.0,157.6,154.7
2021-12-05,PA,42133,184.0,181.0,89.10000000000001,4.3,188.3,188.3
2021-12-12,PA,42133,218.7,215.3,86.19999999999999,0.0,221.9,218.7
2021-12-19,PA,42133,238.7,236.4,89.0,0.0,240.3,238.7
2021-12-26,PA,42133,243.20000000000002,240.8,93.0,0.0,243.5,243.20000000000002
