collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,RI,44007,57.800000000000004,52.5,103.9,0.0,59.1,57.800000000000004
2020-08-09,RI,44007,63.800000000000004,63.800000000000004,110.89999999999999,5.9,69.7,69.7
2020-08-16,RI,44007,66.9,66.9,105.69999999999999,0.0,72.0,66.9
2020-08-23,RI,44007,66.5,66.5,102.3,0.0,67.8,66.5
2020-08-30,RI,44007,65.4,65.3,99.60000000000001,0.0,65.4,65.4
2020-09-06,RI,44007,71.5,71.5,105.10000000000001,0.0,72.0,71.5
2020-09-13,RI,44007,72.89999999999999,72.6,112.0,0.0,74.7,72.89999999999999
2020-09-20,RI,44007,79.89999999999999,78.30000000000001,104.19999999999999,0.0,80.3,79.89999999999999
2020-09-27,RI,44007,81.60000000000001,80.00000000000001,108.1,0.0,82.60000000000001,81.60000000000001
2020-10-04,RI,44007,88.2,87.1,109.7,0.0,88.4,88.2
2020-10-11,RI,44007,106.6,105.89999999999999,105.7,0.0,106.79999999999998,106.6
2020-10-18,RI,44007,113.20000000000002,112.20000000000002,107.9,0.0,114.89999999999999,113.20000000000002
2020-10-25,RI,44007,122.19999999999999,122.19999999999999,106.8,0.0,124.0,122.19999999999999
2020-11-01,RI,44007,151.2,148.89999999999998,102.2,0.0,152.4,151.2
2020-11-08,RI,44007,193.9,189.1,107.49999999999999,0.0,196.6,193.9
2020-11-15,RI,44007,233.39999999999998,229.2,106.10000000000001,0.0,237.09999999999997,233.39999999999998
2020-11-22,RI,44007,251.39999999999998,238.70000000000002,101.2,0.0,254.1,251.39999999999998
2020-11-29,RI,44007,322.4,283.7,111.2,5.0,327.4,327.4
2020-12-06,RI,44007,347.6,303.2,107.80000000000001,7.3,354.79999999999995,354.90000000000003
2020-12-13,RI,44007,352.5,307.1,114.7,0.0,356.70000000000005,352.5
2020-12-20,RI,44007,338.19999999999993,300.9,109.99999999999999,0.0,340.29999999999995,338.19999999999993
2020-12-27,RI,44007,337.5,300.00000000000006,109.6,4.0,341.5,341.5
2021-01-03,RI,44007,322.99999999999994,285.20000000000005,109.10000000000001,0.0,326.3,322.99999999999994
2021-01-10,RI,44007,324.70000000000005,288.2,113.4,0.0,327.9,324.70000000000005
2021-01-17,RI,44007,294.40000000000003,259.90000000000003,112.9,0.0,297.5,294.40000000000003
2021-01-24,RI,44007,277.1,244.70000000000002,110.8,0.0,277.8,277.1
2021-01-31,RI,44007,238.9,207.8,105.80000000000001,0.0,240.2,238.9
2021-02-07,RI,44007,196.0,165.4,101.3,0.0,196.8,196.0
2021-02-14,RI,44007,158.79999999999998,127.30000000000001,100.19999999999999,0.0,159.1,158.79999999999998
2021-02-21,RI,44007,149.0,120.0,108.30000000000001,0.0,149.5,149.0
2021-02-28,RI,44007,145.2,116.2,107.7,0.0,145.5,145.2
2021-03-07,RI,44007,131.7,102.7,110.5,0.0,132.6,131.7
2021-03-14,RI,44007,126.0,97.0,102.7,0.0,126.30000000000001,126.0
2021-03-21,RI,44007,121.6,92.6,98.0,0.0,122.80000000000001,121.6
2021-03-28,RI,44007,130.9,101.80000000000001,105.39999999999999,0.0,132.6,130.9
2021-04-04,RI,44007,141.10000000000002,111.9,104.9,0.0,142.8,141.10000000000002
2021-04-11,RI,44007,137.1,108.1,102.6,0.0,138.0,137.1
2021-04-18,RI,44007,145.7,116.69999999999999,101.7,0.0,147.2,145.7
2021-04-25,RI,44007,135.2,105.9,99.0,0.0,136.5,135.2
2021-05-02,RI,44007,123.0,94.0,102.8,0.0,123.8,123.0
2021-05-09,RI,44007,105.80000000000001,76.80000000000001,104.20000000000002,0.0,106.2,105.80000000000001
2021-05-16,RI,44007,97.0,68.0,103.4,0.0,98.4,97.0
2021-05-23,RI,44007,86.7,56.6,97.4,0.0,88.9,86.7
2021-05-30,RI,44007,72.0,43.0,90.0,0.0,72.6,72.0
2021-06-06,RI,44007,67.1,38.099999999999994,92.7,0.0,67.1,67.1
2021-06-13,RI,44007,65.2,36.2,97.1,0.0,65.2,65.2
