collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45003,41.7,32.7,18.0,0.0,41.7,41.7
2020-08-09,SC,45003,46.0,35.7,20.0,0,48.3,46.0
2020-08-16,SC,45003,38.9,29.7,19.9,0.0,38.9,38.9
2020-08-23,SC,45003,31.7,24.3,19.7,0.0,31.7,31.7
2020-08-30,SC,45003,27.9,17.6,16.3,0.0,27.9,27.9
2020-09-06,SC,45003,17.7,9.3,15.3,0.0,17.7,17.7
2020-09-13,SC,45003,15.3,8.4,18.4,0.0,15.3,15.3
2020-09-20,SC,45003,17.1,8.4,17.7,0.0,17.1,17.1
2020-09-27,SC,45003,13.9,6.4,18.1,0.0,13.9,13.9
2020-10-04,SC,45003,11.6,6.6,16.1,0.0,11.6,11.6
2020-10-11,SC,45003,15.7,8.0,15.3,0.0,15.7,15.7
2020-10-18,SC,45003,18.0,11.4,11.0,0.0,18.0,18.0
2020-10-25,SC,45003,19.3,11.7,12.2,0.0,19.3,19.3
2020-11-01,SC,45003,16.4,11.6,15.4,0.0,16.4,16.4
2020-11-08,SC,45003,12.3,7.5,12.5,0.0,12.3,12.3
2020-11-15,SC,45003,13.1,7.0,18.1,0.0,13.1,13.1
2020-11-22,SC,45003,20.7,11.3,15.0,0.0,20.7,20.7
2020-11-29,SC,45003,30.0,19.0,19.4,0.0,30.0,30.0
2020-12-06,SC,45003,32.9,25.4,18.3,0.0,32.9,32.9
2020-12-13,SC,45003,40.0,29.0,19.4,0.0,40.0,40.0
2020-12-20,SC,45003,33.0,23.9,19.1,0.0,33.0,33.0
2020-12-27,SC,45003,41.9,30.1,19.0,0.0,41.9,41.9
2021-01-03,SC,45003,47.7,36.3,19.3,0.0,47.7,47.7
2021-01-10,SC,45003,57.0,46.6,19.7,0.0,57.0,57.0
2021-01-17,SC,45003,52.9,45.3,20.3,0.0,52.9,52.9
2021-01-24,SC,45003,50.1,39.6,20.3,0.0,50.1,50.1
2021-01-31,SC,45003,38.6,28.9,18.3,0.0,38.6,38.6
2021-02-07,SC,45003,33.1,23.4,19.0,0.0,33.1,33.1
2021-02-14,SC,45003,22.9,15.3,17.9,0.0,22.9,22.9
2021-02-21,SC,45003,17.3,11.1,15.4,0.0,17.3,17.3
2021-02-28,SC,45003,8.7,6.6,15.7,0.0,8.7,8.7
