collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45013,44.8,41.3,6.9,0.0,44.8,44.8
2020-08-09,SC,45013,39.2,36.5,8.9,0.0,39.2,39.2
2020-08-16,SC,45013,34.5,30.4,8.0,0,35.0,34.5
2020-08-23,SC,45013,28.3,26.299999999999997,13.2,0.0,28.400000000000002,28.3
2020-08-30,SC,45013,19.9,17.4,17.0,0.0,19.9,19.9
2020-09-06,SC,45013,21.3,12.9,17.3,0.0,22.1,21.3
2020-09-13,SC,45013,29.7,23.3,17.6,0.0,29.7,29.7
2020-09-20,SC,45013,18.799999999999997,18.299999999999997,15.4,0,19.2,18.799999999999997
2020-09-27,SC,45013,19.5,10.5,13.9,0.0,19.6,19.5
2020-10-04,SC,45013,22.0,7.4,14.2,0.0,22.0,22.0
2020-10-11,SC,45013,17.9,5.7,18.799999999999997,0.0,17.9,17.9
2020-10-18,SC,45013,8.4,0,17.5,0.0,8.4,8.4
2020-10-25,SC,45013,19.4,10.5,15.600000000000001,0.0,20.3,19.4
2020-11-01,SC,45013,9.0,0,14.4,0.0,9.0,9.0
2020-11-08,SC,45013,16.6,5.7,16.3,0.0,16.6,16.6
2020-11-15,SC,45013,15.0,5.6,15.3,0.0,15.0,15.0
2020-11-22,SC,45013,13.7,8.1,17.6,0.0,13.7,13.7
2020-11-29,SC,45013,18.0,16.8,18.5,0,18.4,18.0
2020-12-06,SC,45013,21.6,21.1,16.7,0.0,21.6,21.6
2020-12-13,SC,45013,29.299999999999997,29.299999999999997,14.799999999999999,0.0,29.299999999999997,29.299999999999997
2020-12-20,SC,45013,37.5,37.3,14.0,0.0,37.5,37.5
2020-12-27,SC,45013,48.099999999999994,47.4,17.6,0.0,48.4,48.099999999999994
2021-01-03,SC,45013,52.699999999999996,52.599999999999994,19.4,0.0,52.699999999999996,52.699999999999996
2021-01-10,SC,45013,46.4,45.9,20.0,0.0,46.4,46.4
2021-01-17,SC,45013,49.4,49.4,20.1,0.0,49.4,49.4
2021-01-24,SC,45013,45.0,44.1,17.5,0.0,45.0,45.0
2021-01-31,SC,45013,39.0,39.0,16.1,0.0,39.0,39.0
2021-02-07,SC,45013,29.6,29.6,15.8,0.0,29.6,29.6
2021-02-14,SC,45013,25.200000000000003,25.200000000000003,17.0,0.0,25.200000000000003,25.200000000000003
2021-02-21,SC,45013,22.0,21.7,17.9,0.0,22.0,22.0
2021-02-28,SC,45013,20.0,20.0,18.200000000000003,0.0,20.0,20.0
2021-03-07,SC,45013,12.4,12.4,15.8,0.0,12.4,12.4
2021-03-14,SC,45013,5.6,5.6,14.600000000000001,0.0,5.6,5.6
2021-03-21,SC,45013,4.1,4.1,13.9,0.0,4.1,4.1
2021-03-28,SC,45013,0,0,16.4,0.0,0,0.0
2021-04-04,SC,45013,0,0,15.1,0.0,0,0.0
2021-04-11,SC,45013,0,0,16.6,0.0,0,0.0
2021-04-18,SC,45013,0,0,19.0,0.0,0,0.0
2021-04-25,SC,45013,0,0,16.7,0.0,0,0.0
2021-05-02,SC,45013,0,0,14.4,0.0,0,0.0
2021-05-09,SC,45013,0,0,13.100000000000001,0.0,0,0.0
2021-05-16,SC,45013,0,0,14.6,0.0,0,0.0
2021-05-23,SC,45013,0,0,14.2,0.0,0,0.0
2021-05-30,SC,45013,0,0,16.0,0.0,0,0.0
2021-06-06,SC,45013,0,0,16.9,0.0,0,0.0
2021-06-13,SC,45013,0,0,17.799999999999997,0.0,0,0.0
2021-06-20,SC,45013,0,0,13.6,0.0,0,0.0
2021-06-27,SC,45013,0,0,11.6,0.0,0,0.0
2021-07-04,SC,45013,0,0,12.600000000000001,0.0,0,0.0
2021-07-11,SC,45013,0,0,14.4,0.0,0,0.0
2021-07-18,SC,45013,6.3,6.3,15.1,0.0,6.3,6.3
2021-07-25,SC,45013,16.4,16.1,14.600000000000001,0.0,16.6,16.4
2021-08-01,SC,45013,35.4,35.1,14.9,0.0,35.4,35.4
2021-08-08,SC,45013,50.8,50.6,18.0,0.0,50.8,50.8
2021-08-15,SC,45013,62.8,62.5,19.4,0.0,62.8,62.8
2021-08-22,SC,45013,70.3,70.3,18.2,0.0,70.7,70.3
2021-08-29,SC,45013,68.8,68.8,19.0,0.0,68.9,68.8
2021-09-05,SC,45013,71.0,71.0,20.3,0.0,71.0,71.0
2021-09-12,SC,45013,66.6,66.6,22.4,0.0,66.6,66.6
2021-09-19,SC,45013,59.9,59.9,22.8,0.0,59.9,59.9
2021-09-26,SC,45013,46.4,46.4,22.1,0.0,47.1,46.4
2021-10-03,SC,45013,37.0,37.0,22.9,0.0,37.2,37.0
2021-10-10,SC,45013,31.0,31.0,21.0,0.0,31.3,31.0
2021-10-17,SC,45013,24.3,24.3,19.299999999999997,0.0,24.4,24.3
2021-10-24,SC,45013,18.4,18.4,13.3,0.0,18.4,18.4
2021-10-31,SC,45013,11.9,11.9,14.8,0.0,11.9,11.9
2021-11-07,SC,45013,6.7,6.7,12.2,0.0,6.7,6.7
2021-11-14,SC,45013,4.6,4.6,13.9,0.0,4.6,4.6
2021-11-21,SC,45013,0,0,14.0,0.0,0,0.0
2021-11-28,SC,45013,5.3,5.3,13.8,0.0,5.3,5.3
2021-12-05,SC,45013,4.3,4.3,16.3,0.0,4.3,4.3
2021-12-12,SC,45013,5.1,5.1,7.7,0.0,5.1,5.1
2021-12-19,SC,45013,7.9,7.9,10.7,0.0,7.9,7.9
2021-12-26,SC,45013,9.9,9.3,13.5,0.0,9.9,9.9
