collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45019,169.7,161.70000000000002,151.70000000000002,4.3,174.5,174.0
2020-08-09,SC,45019,141.5,132.1,140.4,6.9,150.50000000000003,148.4
2020-08-16,SC,45019,114.1,106.0,153.29999999999998,5.3,120.19999999999999,119.39999999999999
2020-08-23,SC,45019,94.1,84.80000000000001,142.9,0.0,99.0,94.1
2020-08-30,SC,45019,77.4,69.6,145.2,0.0,78.9,77.4
2020-09-06,SC,45019,66.6,58.5,148.4,0.0,68.8,66.6
2020-09-13,SC,45019,62.1,58.4,149.0,0.0,64.5,62.1
2020-09-20,SC,45019,53.5,46.699999999999996,143.1,0.0,54.2,53.5
2020-09-27,SC,45019,34.1,31.4,131.0,0.0,35.3,34.1
2020-10-04,SC,45019,40.6,37.3,133.5,0.0,42.8,40.6
2020-10-11,SC,45019,49.7,47.300000000000004,141.1,0.0,52.1,49.7
2020-10-18,SC,45019,63.800000000000004,61.3,142.2,0.0,65.1,63.800000000000004
2020-10-25,SC,45019,74.2,63.7,151.79999999999998,0.0,75.6,74.2
2020-11-01,SC,45019,65.19999999999999,56.3,144.1,0.0,67.1,65.19999999999999
2020-11-08,SC,45019,61.900000000000006,51.8,138.9,0.0,65.80000000000001,61.900000000000006
2020-11-15,SC,45019,50.900000000000006,48.099999999999994,141.0,0.0,54.5,50.900000000000006
2020-11-22,SC,45019,61.60000000000001,58.400000000000006,127.20000000000002,0.0,64.4,61.60000000000001
2020-11-29,SC,45019,73.1,63.5,139.9,0.0,75.9,73.1
2020-12-06,SC,45019,91.7,84.4,145.4,0.0,94.7,91.7
2020-12-13,SC,45019,101.6,91.4,154.5,4.3,106.0,105.89999999999999
2020-12-20,SC,45019,115.0,101.79999999999998,143.5,0.0,118.1,115.0
2020-12-27,SC,45019,169.3,159.5,141.9,0.0,172.20000000000002,169.3
2021-01-03,SC,45019,200.39999999999998,185.4,156.9,0.0,204.49999999999997,200.39999999999998
