collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45021,0,0,0,0.0,0,0.0
2020-08-09,SC,45021,0,0,0,0.0,0,0.0
2020-08-16,SC,45021,0,0,0,0.0,0,0.0
2020-08-23,SC,45021,0,0,0,0.0,0,0.0
2020-08-30,SC,45021,0,0,4.6,0.0,0,0.0
2020-09-06,SC,45021,0,0,0,0.0,0,0.0
2020-09-13,SC,45021,0,0,0,0.0,0,0.0
2020-09-20,SC,45021,0,0,0,0.0,0,0.0
2020-09-27,SC,45021,0,0,0,0.0,0,0.0
2020-10-04,SC,45021,0,0,0,0.0,0,0.0
2020-10-11,SC,45021,0,0,0,0.0,0,0.0
2020-10-18,SC,45021,4.1,0,0,0.0,4.1,4.1
2020-10-25,SC,45021,0,0,4.3,0.0,0,0.0
2020-11-01,SC,45021,0,0,0,0.0,0,0.0
2020-11-08,SC,45021,4.3,0,0,0.0,4.3,4.3
2020-11-15,SC,45021,0,0,0,0.0,0,0.0
2020-11-22,SC,45021,7.1,0,0,0.0,7.1,7.1
2020-11-29,SC,45021,5.3,0,0,0.0,5.3,5.3
2020-12-06,SC,45021,8.0,6.7,4.9,0.0,8.0,8.0
2020-12-13,SC,45021,8.3,7.0,5.7,0.0,8.3,8.3
2020-12-20,SC,45021,11.0,9.4,6.4,0.0,11.0,11.0
2020-12-27,SC,45021,14.1,13.3,7.6,0.0,14.1,14.1
2021-01-03,SC,45021,15.6,14.6,7.3,0.0,15.6,15.6
2021-01-10,SC,45021,17.9,16.4,7.3,0.0,17.9,17.9
2021-01-17,SC,45021,19.4,18.7,5.9,0.0,19.4,19.4
2021-01-24,SC,45021,10.4,9.1,4.7,0.0,10.4,10.4
2021-01-31,SC,45021,7.1,6.7,5.7,0.0,7.1,7.1
2021-02-07,SC,45021,6.0,5.0,4.7,0.0,6.0,6.0
2021-02-14,SC,45021,6.0,4.9,5.0,0.0,6.0,6.0
2021-02-21,SC,45021,4.7,0,4.9,0.0,4.7,4.7
2021-02-28,SC,45021,0,0,4.3,0.0,0,0.0
2021-03-07,SC,45021,0,0,0,0.0,0,0.0
2021-03-14,SC,45021,4.1,0,0,0.0,4.1,4.1
2021-03-21,SC,45021,4.9,4.0,4.3,0.0,4.9,4.9
2021-03-28,SC,45021,0,0,4.0,0.0,0,0.0
2021-04-04,SC,45021,0,0,0,0.0,0,0.0
2021-04-11,SC,45021,0,0,0,0.0,0,0.0
2021-04-18,SC,45021,0,0,0,0.0,0,0.0
2021-04-25,SC,45021,0,0,0,0.0,0,0.0
2021-05-02,SC,45021,0,0,5.9,0.0,0,0.0
2021-05-09,SC,45021,0,0,0,0.0,0,0.0
2021-05-16,SC,45021,0,0,0,0.0,0,0.0
2021-05-23,SC,45021,0,0,4.7,0.0,0,0.0
2021-05-30,SC,45021,0,0.0,0,0.0,0,0.0
2021-06-06,SC,45021,0,0,0,0.0,0,0.0
2021-06-13,SC,45021,0,0,0,0.0,0,0.0
2021-06-20,SC,45021,0,0,0,0.0,0,0.0
2021-06-27,SC,45021,0,0,4.6,0.0,0,0.0
2021-07-04,SC,45021,0,0,0,0.0,0,0.0
2021-07-11,SC,45021,0,0,0,0.0,0,0.0
2021-07-18,SC,45021,0,0,0,0.0,0,0.0
2021-07-25,SC,45021,0,0,0,0.0,0,0.0
2021-08-01,SC,45021,0,0,4.3,0.0,0,0.0
2021-08-08,SC,45021,5.4,4.7,4.3,0.0,5.4,5.4
2021-08-15,SC,45021,9.6,8.4,4.1,0.0,9.6,9.6
2021-08-22,SC,45021,13.1,13.0,6.3,0.0,13.1,13.1
2021-08-29,SC,45021,13.7,13.4,6.7,0.0,13.7,13.7
2021-09-05,SC,45021,14.9,14.3,5.9,0.0,14.9,14.9
2021-09-12,SC,45021,13.4,13.4,5.9,0.0,13.4,13.4
2021-09-19,SC,45021,15.0,15.0,6.0,0.0,15.0,15.0
2021-09-26,SC,45021,11.4,11.4,5.3,0.0,11.4,11.4
2021-10-03,SC,45021,6.9,6.7,5.0,0.0,6.9,6.9
2021-10-10,SC,45021,5.9,5.7,5.3,0.0,5.9,5.9
2021-10-17,SC,45021,4.3,4.3,4.3,0.0,4.3,4.3
2021-10-24,SC,45021,0,0,0,0.0,0,0.0
2021-10-31,SC,45021,0,0,4.0,0.0,0,0.0
2021-11-07,SC,45021,0,0,4.1,0.0,0,0.0
2021-11-14,SC,45021,0,0,0,0.0,0,0.0
2021-11-21,SC,45021,0,0,0,0.0,0,0.0
2021-11-28,SC,45021,0,0,0,0.0,0,0.0
2021-12-05,SC,45021,0,0,0,0.0,0,0.0
2021-12-12,SC,45021,0,0,4.0,0.0,0,0.0
2021-12-19,SC,45021,5.6,5.6,0,0.0,5.6,5.6
2021-12-26,SC,45021,6.0,6.0,5.0,0.0,6.0,6.0
