collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45031,19.3,15.6,10.7,0.0,19.3,19.3
2020-08-09,SC,45031,16.7,13.1,10.4,0.0,16.7,16.7
2020-08-16,SC,45031,13.0,8.6,8.9,0.0,13.0,13.0
2020-08-23,SC,45031,10.4,6.1,8.9,0.0,10.4,10.4
2020-08-30,SC,45031,10.1,8.3,9.0,0.0,10.1,10.1
2020-09-06,SC,45031,13.0,11.9,10.0,0.0,13.1,13.0
2020-09-13,SC,45031,13.6,10.3,9.4,0.0,13.6,13.6
2020-09-20,SC,45031,15.9,11.9,10.7,0.0,16.0,15.9
2020-09-27,SC,45031,15.1,13.0,10.0,0.0,15.1,15.1
2020-10-04,SC,45031,7.3,6.0,8.7,0.0,7.4,7.3
2020-10-11,SC,45031,7.7,4.6,9.0,0.0,7.7,7.7
2020-10-18,SC,45031,6.1,4.6,9.9,0.0,6.1,6.1
2020-10-25,SC,45031,16.1,11.4,9.1,0.0,16.1,16.1
2020-11-01,SC,45031,16.9,13.4,9.7,0.0,16.9,16.9
2020-11-08,SC,45031,13.1,10.4,10.0,0.0,13.1,13.1
2020-11-15,SC,45031,12.4,10.9,7.4,0.0,12.4,12.4
2020-11-22,SC,45031,14.7,10.9,8.3,0.0,14.9,14.7
2020-11-29,SC,45031,17.0,13.9,10.4,0.0,17.0,17.0
2020-12-06,SC,45031,20.6,17.6,10.9,0.0,20.6,20.6
2020-12-13,SC,45031,16.9,12.4,10.7,0.0,16.9,16.9
2020-12-20,SC,45031,29.3,24.9,10.7,0.0,29.3,29.3
2020-12-27,SC,45031,29.9,24.4,11.0,0.0,29.9,29.9
2021-01-03,SC,45031,30.3,26.0,10.3,0.0,30.4,30.3
2021-01-10,SC,45031,28.0,22.7,10.4,0.0,28.0,28.0
2021-01-17,SC,45031,26.1,21.7,9.9,0.0,26.1,26.1
2021-01-24,SC,45031,23.9,22.6,10.7,0.0,23.9,23.9
2021-01-31,SC,45031,17.3,16.9,10.3,0.0,17.3,17.3
2021-02-07,SC,45031,15.0,11.6,8.9,0.0,15.0,15.0
2021-02-14,SC,45031,16.7,14.7,9.0,0.0,16.9,16.7
2021-02-21,SC,45031,13.0,12.6,9.7,0.0,13.0,13.0
2021-02-28,SC,45031,5.9,5.9,9.0,0.0,5.9,5.9
2021-03-07,SC,45031,4.7,0.0,9.1,0.0,4.7,4.7
2021-03-14,SC,45031,4.9,4.1,7.6,0.0,4.9,4.9
2021-03-21,SC,45031,6.9,5.1,9.0,0.0,6.9,6.9
2021-03-28,SC,45031,5.1,4.4,9.6,0.0,5.1,5.1
2021-04-04,SC,45031,6.0,5.7,10.0,0.0,6.0,6.0
2021-04-11,SC,45031,4.4,0.0,6.4,0.0,4.4,4.4
2021-04-18,SC,45031,5.1,4.9,8.9,0.0,5.1,5.1
2021-04-25,SC,45031,4.1,4.0,8.4,0.0,4.1,4.1
2021-05-02,SC,45031,4.0,0.0,6.7,0.0,4.0,4.0
2021-05-09,SC,45031,5.7,5.3,6.6,0.0,5.7,5.7
2021-05-16,SC,45031,5.6,5.6,9.7,0.0,5.6,5.6
2021-05-23,SC,45031,0.0,0.0,10.4,0.0,0.0,0.0
2021-05-30,SC,45031,0.0,0.0,10.4,0.0,0.0,0.0
2021-06-06,SC,45031,0.0,0.0,8.0,0.0,0.0,0.0
2021-06-13,SC,45031,0.0,0.0,9.7,0.0,0.0,0.0
2021-06-20,SC,45031,0.0,0.0,8.1,0.0,0.0,0.0
2021-06-27,SC,45031,0.0,0.0,9.0,0.0,0.0,0.0
2021-07-04,SC,45031,0.0,0.0,10.3,0.0,0.0,0.0
2021-07-11,SC,45031,0.0,0.0,9.1,0.0,0.0,0.0
2021-07-18,SC,45031,0.0,0.0,5.6,0.0,0.0,0.0
2021-07-25,SC,45031,0.0,0.0,7.7,0.0,0.0,0.0
2021-08-01,SC,45031,10.3,9.9,9.4,0.0,10.3,10.3
2021-08-08,SC,45031,13.7,12.0,8.3,0.0,13.7,13.7
2021-08-15,SC,45031,13.4,12.1,7.0,0.0,13.4,13.4
2021-08-22,SC,45031,28.6,24.9,8.9,0.0,28.6,28.6
2021-08-29,SC,45031,29.3,26.0,10.6,0.0,29.3,29.3
2021-09-05,SC,45031,29.3,25.4,10.3,0.0,29.3,29.3
2021-09-12,SC,45031,26.7,23.4,10.3,0.0,26.7,26.7
2021-09-19,SC,45031,22.1,19.3,10.1,0.0,22.1,22.1
2021-09-26,SC,45031,16.4,13.9,9.7,0.0,16.4,16.4
2021-10-03,SC,45031,13.3,10.7,9.9,0.0,13.3,13.3
2021-10-10,SC,45031,9.9,8.0,7.0,0.0,9.9,9.9
2021-10-17,SC,45031,10.9,8.6,5.7,0.0,10.9,10.9
2021-10-24,SC,45031,9.1,7.0,8.1,0.0,9.1,9.1
2021-10-31,SC,45031,8.7,7.3,8.6,0.0,8.7,8.7
2021-11-07,SC,45031,11.9,8.4,9.0,0.0,11.9,11.9
2021-11-14,SC,45031,10.0,7.9,8.3,0.0,10.0,10.0
2021-11-21,SC,45031,8.7,6.7,7.0,0.0,8.7,8.7
2021-11-28,SC,45031,6.9,4.4,8.0,0.0,6.9,6.9
2021-12-05,SC,45031,9.6,7.6,10.1,0.0,9.6,9.6
2021-12-12,SC,45031,10.0,7.6,8.7,0.0,10.0,10.0
2021-12-19,SC,45031,9.3,6.3,8.4,0.0,9.3,9.3
2021-12-26,SC,45031,15.7,9.6,10.3,0.0,15.7,15.7
