collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45043,52.9,50.4,27.9,0.0,52.9,52.9
2020-08-09,SC,45043,51.3,49.8,28.0,0.0,51.3,51.3
2020-08-16,SC,45043,48.2,46.400000000000006,28.299999999999997,0.0,48.2,48.2
2020-08-23,SC,45043,33.0,32.0,28.4,0.0,33.0,33.0
2020-08-30,SC,45043,25.5,24.5,26.0,0.0,25.5,25.5
2020-09-06,SC,45043,15.399999999999999,15.3,23.6,0.0,15.399999999999999,15.399999999999999
2020-09-13,SC,45043,9.4,9.1,20.6,0.0,9.4,9.4
2020-09-20,SC,45043,4.1,0,21.3,0.0,4.1,4.1
2020-09-27,SC,45043,4.9,4.9,22.700000000000003,0.0,4.9,4.9
2020-10-04,SC,45043,16.0,15.600000000000001,25.2,0.0,16.0,16.0
2020-10-11,SC,45043,22.3,21.6,28.200000000000003,0.0,22.3,22.3
2020-10-18,SC,45043,32.3,31.599999999999998,25.3,0.0,31.700000000000003,32.3
2020-10-25,SC,45043,25.700000000000003,24.6,26.200000000000003,0.0,25.700000000000003,25.700000000000003
2020-11-01,SC,45043,23.5,22.0,23.700000000000003,0.0,23.5,23.5
2020-11-08,SC,45043,21.4,18.5,22.6,0.0,21.4,21.4
2020-11-15,SC,45043,11.1,9.7,22.0,0.0,11.1,11.1
2020-11-22,SC,45043,16.0,14.0,20.3,0.0,16.0,16.0
2020-11-29,SC,45043,18.5,17.0,24.5,0.0,18.5,18.5
2020-12-06,SC,45043,25.3,21.8,27.1,0.0,25.3,25.3
2020-12-13,SC,45043,33.400000000000006,30.7,24.700000000000003,0.0,33.400000000000006,33.400000000000006
2020-12-20,SC,45043,51.7,46.8,24.9,0.0,51.7,51.7
2020-12-27,SC,45043,58.1,54.0,25.700000000000003,0.0,58.1,58.1
2021-01-03,SC,45043,61.6,56.8,29.2,0.0,61.6,61.6
2021-01-10,SC,45043,59.8,55.3,28.799999999999997,0.0,59.8,59.8
2021-01-17,SC,45043,55.900000000000006,52.2,25.9,0.0,55.900000000000006,55.900000000000006
2021-01-24,SC,45043,50.7,46.0,26.9,0.0,50.7,50.7
2021-01-31,SC,45043,41.900000000000006,39.3,27.1,0.0,41.900000000000006,41.900000000000006
2021-02-07,SC,45043,37.8,34.1,28.700000000000003,0.0,37.8,37.8
2021-02-14,SC,45043,32.7,30.5,27.7,0.0,32.7,32.7
2021-02-21,SC,45043,24.0,20.3,21.700000000000003,0.0,24.0,24.0
2021-02-28,SC,45043,20.4,19.1,19.1,0.0,20.4,20.4
2021-03-07,SC,45043,19.799999999999997,17.200000000000003,26.1,0.0,19.799999999999997,19.799999999999997
2021-03-14,SC,45043,19.2,17.1,24.5,0.0,19.2,19.2
2021-03-21,SC,45043,11.100000000000001,5.4,22.5,0.0,11.100000000000001,11.100000000000001
2021-03-28,SC,45043,5.6,5.3,20.6,0.0,5.6,5.6
2021-04-04,SC,45043,11.5,9.2,20.299999999999997,0.0,11.5,11.5
2021-04-11,SC,45043,13.8,11.4,20.1,0.0,13.8,13.8
2021-04-18,SC,45043,16.5,14.5,20.2,0.0,16.5,16.5
2021-04-25,SC,45043,13.2,12.6,20.5,0.0,13.2,13.2
2021-05-02,SC,45043,0,0,20.0,0.0,0,0.0
2021-05-09,SC,45043,0,0,19.0,0.0,0,0.0
2021-05-16,SC,45043,11.5,10.0,22.3,0.0,11.5,11.5
2021-05-23,SC,45043,10.3,9.4,21.3,0.0,10.3,10.3
2021-05-30,SC,45043,11.1,6.1,20.9,0.0,11.1,11.1
2021-06-06,SC,45043,10.3,9.1,26.6,0.0,10.3,10.3
2021-06-13,SC,45043,5.4,4.6,27.5,0.0,5.4,5.4
2021-06-20,SC,45043,0,0,23.700000000000003,0.0,0,0.0
2021-06-27,SC,45043,0,0,21.8,0.0,0,0.0
2021-07-04,SC,45043,0,0,23.4,0.0,0,0.0
2021-07-11,SC,45043,4.9,0,21.3,0.0,4.9,4.9
2021-07-18,SC,45043,9.9,5.7,20.1,0.0,9.9,9.9
2021-07-25,SC,45043,19.1,17.6,26.1,0.0,19.1,19.1
2021-08-01,SC,45043,29.799999999999997,26.7,25.3,0.0,29.799999999999997,29.799999999999997
2021-08-08,SC,45043,43.3,37.4,25.1,0.0,43.3,43.3
2021-08-15,SC,45043,56.3,50.4,25.1,0.0,56.3,56.3
2021-08-22,SC,45043,48.3,43.7,26.8,0.0,48.3,48.3
2021-08-29,SC,45043,50.3,46.7,27.3,0.0,50.3,50.3
2021-09-05,SC,45043,52.4,49.2,24.5,0.0,52.4,52.4
2021-09-12,SC,45043,51.0,47.7,26.1,0.0,51.0,51.0
2021-09-19,SC,45043,52.0,46.4,25.6,0.0,52.0,52.0
2021-09-26,SC,45043,44.2,40.5,24.9,0.0,44.2,44.2
2021-10-03,SC,45043,38.3,36.0,25.0,0.0,38.3,38.3
2021-10-10,SC,45043,31.200000000000003,29.6,22.2,0.0,31.200000000000003,31.200000000000003
2021-10-17,SC,45043,24.3,21.6,21.4,0.0,24.3,24.3
2021-10-24,SC,45043,20.4,17.9,22.8,0.0,20.4,20.4
2021-10-31,SC,45043,16.0,14.0,21.1,0.0,16.0,16.0
2021-11-07,SC,45043,12.7,10.6,22.5,0.0,12.7,12.7
2021-11-14,SC,45043,15.4,10.8,23.799999999999997,0.0,15.4,15.4
2021-11-21,SC,45043,13.8,5.7,17.6,0.0,13.8,13.8
2021-11-28,SC,45043,11.0,5.0,21.8,0.0,11.0,11.0
2021-12-05,SC,45043,13.3,9.5,24.4,0.0,13.3,13.3
2021-12-12,SC,45043,19.799999999999997,14.5,26.5,0.0,19.799999999999997,19.799999999999997
2021-12-19,SC,45043,15.2,10.5,25.799999999999997,0.0,15.2,15.2
2021-12-26,SC,45043,21.4,15.399999999999999,24.200000000000003,0.0,21.4,21.4
