collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45045,92.4,52.1,37.3,0.0,92.4,92.4
2020-08-09,SC,45045,94.7,60.199999999999996,62.699999999999996,0.0,94.7,94.7
2020-08-16,SC,45045,93.0,61.4,126.8,0.0,93.0,93.0
2020-08-23,SC,45045,86.3,55.39999999999999,125.80000000000001,0.0,86.3,86.3
2020-08-30,SC,45045,81.3,53.8,142.39999999999998,0.0,81.3,81.3
2020-09-06,SC,45045,81.3,53.39999999999999,132.60000000000002,0.0,81.3,81.3
2020-09-13,SC,45045,81.9,54.5,120.80000000000001,0.0,83.60000000000001,81.9
2020-09-20,SC,45045,80.1,51.6,135.7,0.0,80.1,80.1
2020-09-27,SC,45045,95.39999999999999,56.0,140.9,0.0,95.39999999999999,95.39999999999999
2020-10-04,SC,45045,94.80000000000001,52.9,141.6,0.0,94.80000000000001,94.80000000000001
2020-10-11,SC,45045,90.69999999999999,53.800000000000004,140.2,0.0,90.69999999999999,90.69999999999999
2020-10-18,SC,45045,84.30000000000001,54.3,145.1,0.0,84.60000000000001,84.30000000000001
2020-10-25,SC,45045,78.69999999999999,66.6,149.3,0.0,79.0,78.69999999999999
2020-11-01,SC,45045,82.2,72.1,144.1,0.0,82.2,82.2
2020-11-08,SC,45045,86.7,72.0,140.7,0.0,88.0,86.7
2020-11-15,SC,45045,101.69999999999999,86.8,142.4,0.0,104.1,101.69999999999999
2020-11-22,SC,45045,124.0,107.19999999999999,135.6,0.0,126.0,124.0
2020-11-29,SC,45045,122.5,104.80000000000001,92.1,0.0,124.0,122.5
2020-12-06,SC,45045,118.3,107.0,54.0,0.0,118.3,118.3
2020-12-13,SC,45045,140.8,132.0,58.400000000000006,0.0,140.8,140.8
2020-12-20,SC,45045,159.8,145.0,54.2,0.0,160.0,159.8
2020-12-27,SC,45045,178.1,162.2,60.7,0.0,178.1,178.1
2021-01-03,SC,45045,212.7,199.7,70.1,0.0,212.7,212.7
2021-01-10,SC,45045,206.0,195.3,73.5,0.0,206.3,206.0
2021-01-17,SC,45045,190.8,180.2,79.7,0.0,190.8,190.8
2021-01-24,SC,45045,169.3,165.5,78.7,0.0,169.3,169.3
2021-01-31,SC,45045,126.6,124.7,61.599999999999994,0.0,126.6,126.6
2021-02-07,SC,45045,99.4,96.7,66.1,0.0,99.4,99.4
2021-02-14,SC,45045,92.3,91.6,57.7,0.0,92.3,92.3
2021-02-21,SC,45045,61.0,60.1,55.1,0.0,61.0,61.0
2021-02-28,SC,45045,47.0,45.5,53.0,0.0,47.0,47.0
2021-03-07,SC,45045,42.8,41.4,36.400000000000006,0.0,42.8,42.8
2021-03-14,SC,45045,38.6,36.8,38.0,0.0,38.6,38.6
2021-03-21,SC,45045,43.400000000000006,42.3,38.9,0.0,43.400000000000006,43.400000000000006
2021-03-28,SC,45045,45.7,43.1,82.6,0.0,46.3,45.7
2021-04-04,SC,45045,71.8,67.6,123.3,0.0,74.1,71.8
2021-04-11,SC,45045,44.099999999999994,37.7,55.2,0.0,44.599999999999994,44.099999999999994
2021-04-18,SC,45045,32.2,27.5,34.1,0.0,32.2,32.2
2021-04-25,SC,45045,20.0,19.3,28.9,0.0,20.0,20.0
2021-05-02,SC,45045,33.8,26.900000000000002,57.0,0.0,33.8,33.8
2021-05-09,SC,45045,13.0,12.7,25.0,0.0,13.0,13.0
2021-05-16,SC,45045,12.6,8.4,30.9,0.0,12.6,12.6
2021-05-23,SC,45045,9.7,8.7,26.3,0.0,9.7,9.7
2021-05-30,SC,45045,8.0,7.6,22.4,0.0,8.0,8.0
2021-06-06,SC,45045,7.3,6.9,22.3,0.0,7.3,7.3
2021-06-13,SC,45045,7.4,6.9,21.7,0.0,7.4,7.4
2021-06-20,SC,45045,7.9,7.0,23.9,0.0,7.9,7.9
2021-06-27,SC,45045,6.4,5.7,23.7,0.0,6.4,6.4
2021-07-04,SC,45045,5.4,4.3,21.4,0.0,5.4,5.4
2021-07-11,SC,45045,10.3,9.6,62.3,0.0,11.0,10.3
2021-07-18,SC,45045,23.9,20.4,120.19999999999999,0.0,24.9,23.9
2021-07-25,SC,45045,42.6,39.900000000000006,121.9,0.0,44.7,42.6
2021-08-01,SC,45045,79.80000000000001,75.89999999999999,124.9,0.0,82.5,79.80000000000001
2021-08-08,SC,45045,130.2,123.5,127.7,0.0,131.9,130.2
2021-08-15,SC,45045,179.5,172.5,147.10000000000002,5.1,184.7,184.6
2021-08-22,SC,45045,214.9,207.5,147.5,8.1,223.0,223.0
2021-08-29,SC,45045,251.7,243.3,157.89999999999998,10.1,261.79999999999995,261.8
2021-09-05,SC,45045,304.79999999999995,296.0,177.1,12.7,317.5,317.49999999999994
2021-09-12,SC,45045,319.1,311.0,189.6,14.7,333.8,333.8
2021-09-19,SC,45045,293.20000000000005,287.4,197.29999999999998,9.6,302.8,302.80000000000007
2021-09-26,SC,45045,235.0,229.60000000000002,185.5,8.6,243.6,243.6
2021-10-03,SC,45045,185.39999999999998,179.3,175.39999999999998,6.3,191.7,191.7
2021-10-10,SC,45045,150.5,145.70000000000002,161.9,4.0,154.5,154.5
2021-10-17,SC,45045,131.2,126.1,156.4,4.9,136.0,136.1
2021-10-24,SC,45045,107.4,101.6,158.0,4.0,111.4,111.4
2021-10-31,SC,45045,98.50000000000001,93.0,158.70000000000002,0.0,100.60000000000001,98.50000000000001
2021-11-07,SC,45045,77.1,72.5,151.60000000000002,0.0,78.3,77.1
2021-11-14,SC,45045,50.400000000000006,47.3,133.79999999999998,0.0,52.2,50.400000000000006
2021-11-21,SC,45045,50.8,47.1,123.4,0.0,52.7,50.8
2021-11-28,SC,45045,53.4,49.4,132.5,0.0,54.0,53.4
2021-12-05,SC,45045,61.800000000000004,57.1,141.2,0.0,64.80000000000001,61.800000000000004
2021-12-12,SC,45045,67.1,62.1,140.9,0.0,69.4,67.1
2021-12-19,SC,45045,79.6,77.4,141.7,0.0,80.4,79.6
2021-12-26,SC,45045,133.39999999999998,127.0,142.5,6.1,139.6,139.49999999999997
