collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45055,16.9,15.3,6.4,0.0,16.9,16.9
2020-08-09,SC,45055,15.3,12.7,6.3,0.0,15.3,15.3
2020-08-16,SC,45055,5.3,4.1,6.4,0.0,5.3,5.3
2020-08-23,SC,45055,0,0,0,0,0,0.0
2020-08-30,SC,45055,7.7,6.3,6.0,0.0,7.7,7.7
2020-09-06,SC,45055,6.0,4.0,4.7,0.0,6.0,6.0
2020-09-13,SC,45055,5.3,4.7,5.9,0.0,5.3,5.3
2020-09-20,SC,45055,9.6,8.7,5.7,0.0,9.6,9.6
2020-09-27,SC,45055,14.6,14.0,6.0,0.0,14.6,14.6
2020-10-04,SC,45055,10.7,10.3,5.6,0.0,10.7,10.7
2020-10-11,SC,45055,9.3,8.6,4.3,0.0,9.3,9.3
2020-10-18,SC,45055,10.6,9.1,6.1,0.0,10.6,10.6
2020-10-25,SC,45055,12.6,10.6,5.3,0.0,12.6,12.6
2020-11-01,SC,45055,7.6,6.7,4.1,0.0,7.6,7.6
2020-11-08,SC,45055,9.6,8.3,5.1,0.0,9.6,9.6
2020-11-15,SC,45055,7.6,7.1,0,0.0,7.6,7.6
2020-11-22,SC,45055,7.0,6.4,4.1,0.0,7.0,7.0
2020-11-29,SC,45055,7.0,6.6,7.1,0.0,7.0,7.0
2020-12-06,SC,45055,9.0,8.0,6.9,0.0,9.0,9.0
2020-12-13,SC,45055,12.4,10.3,6.9,0.0,12.4,12.4
2020-12-20,SC,45055,8.9,8.7,4.6,0.0,8.9,8.9
2020-12-27,SC,45055,12.0,10.6,6.3,0.0,12.0,12.0
2021-01-03,SC,45055,15.4,15.3,7.6,0.0,15.4,15.4
2021-01-10,SC,45055,19.0,18.1,6.7,0.0,19.0,19.0
2021-01-17,SC,45055,17.4,15.9,7.9,0.0,17.4,17.4
