collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45063,48.4,47.9,56.099999999999994,0.0,48.4,48.4
2020-08-09,SC,45063,46.0,45.6,56.599999999999994,0.0,46.0,46.0
2020-08-16,SC,45063,36.6,36.1,50.9,0.0,36.6,36.6
2020-08-23,SC,45063,36.1,35.7,48.6,0.0,36.1,36.1
2020-08-30,SC,45063,28.1,28.1,45.9,0.0,28.1,28.1
2020-09-06,SC,45063,19.9,19.4,48.0,0.0,19.9,19.9
2020-09-13,SC,45063,27.4,26.4,40.0,0.0,27.4,27.4
2020-09-20,SC,45063,35.9,35.7,45.5,0.0,35.9,35.9
2020-09-27,SC,45063,37.0,37.0,51.3,0.0,37.0,37.0
2020-10-04,SC,45063,39.9,39.9,57.1,0.0,39.9,39.9
2020-10-11,SC,45063,39.1,39.0,57.7,0.0,39.1,39.1
2020-10-18,SC,45063,33.4,33.0,51.6,0.0,33.4,33.4
2020-10-25,SC,45063,25.6,25.1,54.3,0.0,25.6,25.6
2020-11-01,SC,45063,37.699999999999996,32.7,54.7,0.0,37.699999999999996,37.699999999999996
2020-11-08,SC,45063,44.5,43.9,57.0,0.0,44.5,44.5
2020-11-15,SC,45063,32.6,32.2,55.0,0.0,32.6,32.6
2020-11-22,SC,45063,31.900000000000002,27.0,51.1,0.0,31.900000000000002,31.900000000000002
2020-11-29,SC,45063,41.3,41.1,60.3,0.0,41.3,41.3
2020-12-06,SC,45063,59.9,58.1,59.199999999999996,0.0,59.9,59.9
2020-12-13,SC,45063,72.19999999999999,71.0,59.5,0.0,72.19999999999999,72.19999999999999
2020-12-20,SC,45063,102.9,99.60000000000001,60.0,0.0,102.9,102.9
2020-12-27,SC,45063,122.30000000000001,116.39999999999999,60.699999999999996,0.0,122.30000000000001,122.30000000000001
2021-01-03,SC,45063,164.5,159.5,71.6,0.0,164.5,164.5
2021-01-10,SC,45063,154.8,150.9,66.4,0.0,154.8,154.8
2021-01-17,SC,45063,158.7,155.7,67.60000000000001,0.0,158.7,158.7
2021-01-24,SC,45063,123.80000000000001,120.39999999999999,64.3,0.0,124.10000000000001,123.80000000000001
2021-01-31,SC,45063,94.5,89.0,57.3,0.0,94.5,94.5
2021-02-07,SC,45063,81.3,76.3,57.800000000000004,0.0,81.3,81.3
2021-02-14,SC,45063,52.2,48.6,60.599999999999994,0.0,52.2,52.2
2021-02-21,SC,45063,35.4,35.3,56.1,0.0,35.4,35.4
2021-02-28,SC,45063,30.7,30.4,47.5,0.0,30.7,30.7
2021-03-07,SC,45063,26.9,26.9,50.0,0.0,26.9,26.9
2021-03-14,SC,45063,30.0,30.0,41.7,0.0,30.0,30.0
2021-03-21,SC,45063,21.6,21.6,45.3,0.0,21.6,21.6
2021-03-28,SC,45063,16.9,16.9,41.0,0.0,16.9,16.9
2021-04-04,SC,45063,24.0,24.0,48.4,0.0,24.0,24.0
2021-04-11,SC,45063,38.9,38.1,55.7,0.0,39.0,38.9
2021-04-18,SC,45063,36.6,36.4,49.3,0.0,36.9,36.6
2021-04-25,SC,45063,35.4,35.3,51.0,0.0,35.4,35.4
2021-05-02,SC,45063,15.7,15.7,50.6,0.0,15.7,15.7
2021-05-09,SC,45063,15.0,15.0,47.4,0.0,15.0,15.0
2021-05-16,SC,45063,10.6,10.6,48.7,0.0,10.6,10.6
2021-05-23,SC,45063,8.4,7.7,50.2,0.0,8.4,8.4
2021-05-30,SC,45063,8.7,8.7,44.1,0.0,8.7,8.7
2021-06-06,SC,45063,6.0,6.0,47.0,0.0,6.0,6.0
2021-06-13,SC,45063,5.3,5.3,49.400000000000006,0.0,5.3,5.3
2021-06-20,SC,45063,6.1,6.1,43.3,0.0,6.1,6.1
2021-06-27,SC,45063,5.0,4.4,44.4,0.0,5.0,5.0
2021-07-04,SC,45063,5.7,5.7,39.7,0.0,5.7,5.7
2021-07-11,SC,45063,11.1,11.1,46.1,0.0,11.1,11.1
2021-07-18,SC,45063,21.4,21.3,53.0,0.0,21.4,21.4
2021-07-25,SC,45063,56.3,56.0,57.5,0.0,56.3,56.3
2021-08-01,SC,45063,108.9,108.4,61.0,0.0,108.9,108.9
2021-08-08,SC,45063,165.60000000000002,165.4,73.39999999999999,0.0,165.70000000000002,165.60000000000002
2021-08-15,SC,45063,188.9,188.9,77.4,0.0,188.9,188.9
2021-08-22,SC,45063,207.4,207.3,80.89999999999999,0.0,207.4,207.4
2021-08-29,SC,45063,203.60000000000002,203.20000000000002,82.1,0.0,203.70000000000002,203.60000000000002
2021-09-05,SC,45063,193.7,193.6,78.0,0.0,194.29999999999998,193.7
2021-09-12,SC,45063,162.8,162.20000000000002,67.3,0.0,162.8,162.8
2021-09-19,SC,45063,130.6,130.3,63.599999999999994,0.0,130.6,130.6
2021-09-26,SC,45063,75.3,74.9,61.1,0.0,75.3,75.3
2021-10-03,SC,45063,61.3,61.0,61.6,0.0,61.3,61.3
2021-10-10,SC,45063,47.0,46.9,52.6,0.0,47.0,47.0
2021-10-17,SC,45063,33.0,32.6,50.4,0.0,33.0,33.0
2021-10-24,SC,45063,29.900000000000002,29.4,55.0,0.0,29.900000000000002,29.900000000000002
2021-10-31,SC,45063,25.0,24.700000000000003,57.8,0.0,25.0,25.0
2021-11-07,SC,45063,18.3,18.3,49.7,0.0,18.3,18.3
2021-11-14,SC,45063,20.1,20.1,44.5,0.0,20.4,20.1
2021-11-21,SC,45063,27.0,27.0,42.0,0.0,27.0,27.0
2021-11-28,SC,45063,25.9,25.9,51.4,0.0,25.9,25.9
2021-12-05,SC,45063,23.3,23.3,53.1,0.0,23.3,23.3
2021-12-12,SC,45063,24.700000000000003,24.700000000000003,49.7,0.0,24.700000000000003,24.700000000000003
2021-12-19,SC,45063,24.0,24.0,49.2,0.0,24.0,24.0
2021-12-26,SC,45063,48.4,48.3,57.6,0.0,48.4,48.4
