collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,SC,45077,30.2,30.2,8.5,0.0,30.2,30.2
2020-08-09,SC,45077,27.7,27.6,7.7,0.0,27.7,27.7
2020-08-16,SC,45077,18.7,18.3,6.7,0.0,18.7,18.7
2020-08-23,SC,45077,11.1,11.0,5.3,0.0,11.1,11.1
2020-08-30,SC,45077,9.0,8.7,5.3,0.0,9.0,9.0
2020-09-06,SC,45077,8.3,8.1,4.9,0.0,8.3,8.3
2020-09-13,SC,45077,10.0,9.1,4.3,0.0,10.0,10.0
2020-09-20,SC,45077,8.1,7.7,5.6,0.0,8.1,8.1
2020-09-27,SC,45077,8.3,7.9,5.3,0.0,8.3,8.3
2020-10-04,SC,45077,11.9,11.6,4.9,0.0,11.9,11.9
2020-10-11,SC,45077,12.1,11.1,0,0.0,12.1,12.1
2020-10-18,SC,45077,12.3,12.0,7.3,0.0,12.7,12.3
2020-10-25,SC,45077,16.0,15.4,6.4,0.0,16.0,16.0
2020-11-01,SC,45077,12.2,12.0,7.0,0.0,12.2,12.2
2020-11-08,SC,45077,13.9,13.1,7.7,0.0,13.9,13.9
2020-11-15,SC,45077,15.7,15.6,8.6,0.0,15.7,15.7
2020-11-22,SC,45077,16.6,15.6,7.9,0.0,16.6,16.6
2020-11-29,SC,45077,23.7,22.3,7.6,0.0,23.7,23.7
2020-12-06,SC,45077,16.4,15.9,8.4,0.0,16.4,16.4
2020-12-13,SC,45077,28.1,22.9,8.7,0.0,28.1,28.1
2020-12-20,SC,45077,24.4,24.0,9.3,0.0,24.4,24.4
2020-12-27,SC,45077,31.1,31.1,9.4,0.0,31.1,31.1
2021-01-03,SC,45077,32.8,26.6,8.4,0.0,32.8,32.8
2021-01-10,SC,45077,31.1,30.7,9.7,0.0,31.3,31.1
2021-01-17,SC,45077,27.6,27.6,8.9,0.0,27.6,27.6
2021-01-24,SC,45077,24.7,24.4,8.3,0.0,24.7,24.7
2021-01-31,SC,45077,32.6,32.0,9.3,0.0,32.6,32.6
2021-02-07,SC,45077,21.3,21.0,9.0,0.0,21.3,21.3
2021-02-14,SC,45077,10.4,10.3,8.1,0.0,10.4,10.4
2021-02-21,SC,45077,10.1,9.7,7.9,0.0,10.1,10.1
2021-02-28,SC,45077,16.4,16.4,7.1,0.0,16.4,16.4
