collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47001,26.4,14.7,23.0,0.0,26.4,26.4
2020-08-09,TN,47001,19.7,12.1,21.7,0.0,19.7,19.7
2020-08-16,TN,47001,17.3,9.0,20.7,0.0,17.3,17.3
2020-08-23,TN,47001,18.1,8.6,21.0,0.0,18.1,18.1
2020-08-30,TN,47001,11.1,6.6,21.1,0.0,11.1,11.1
2020-09-06,TN,47001,14.1,8.6,21.1,0.0,14.1,14.1
2020-09-13,TN,47001,16.1,10.6,22.9,0.0,16.1,16.1
2020-09-20,TN,47001,16.9,10.9,22.9,0.0,16.9,16.9
2020-09-27,TN,47001,13.3,7.0,21.3,0.0,13.3,13.3
2020-10-04,TN,47001,17.3,11.6,22.0,0.0,17.3,17.3
2020-10-11,TN,47001,26.0,18.3,21.9,0.0,26.0,26.0
2020-10-18,TN,47001,22.7,18.1,21.9,0.0,22.7,22.7
2020-10-25,TN,47001,23.4,21.0,22.3,0.0,23.4,23.4
2020-11-01,TN,47001,19.4,18.3,23.0,0.0,19.4,19.4
2020-11-08,TN,47001,24.7,22.6,22.3,0.0,24.7,24.7
2020-11-15,TN,47001,32.1,27.6,23.1,0.0,32.1,32.1
2020-11-22,TN,47001,33.7,28.0,21.0,0.0,33.7,33.7
2020-11-29,TN,47001,38.4,33.0,22.9,0.0,38.4,38.4
2020-12-06,TN,47001,51.0,43.9,23.3,0.0,51.0,51.0
2020-12-13,TN,47001,52.6,47.9,24.1,0.0,52.6,52.6
2020-12-20,TN,47001,55.9,53.3,22.4,0.0,55.9,55.9
2020-12-27,TN,47001,63.4,62.1,23.3,0.0,63.4,63.4
2021-01-03,TN,47001,67.7,65.6,23.3,0.0,67.7,67.7
2021-01-10,TN,47001,62.6,60.9,21.1,0.0,62.6,62.6
2021-01-17,TN,47001,52.4,51.7,22.7,0.0,52.4,52.4
2021-01-24,TN,47001,33.4,33.3,22.1,0.0,33.4,33.4
2021-01-31,TN,47001,25.4,24.7,20.0,0.0,25.4,25.4
2021-02-07,TN,47001,22.3,21.6,21.0,0.0,22.3,22.3
2021-02-14,TN,47001,22.1,20.1,19.1,0.0,22.1,22.1
2021-02-21,TN,47001,14.4,13.6,17.6,0.0,14.4,14.4
2021-02-28,TN,47001,6.9,6.9,18.0,0.0,6.9,6.9
2021-03-07,TN,47001,6.9,6.9,18.1,0.0,6.9,6.9
2021-03-14,TN,47001,9.1,9.1,19.7,0.0,9.1,9.1
2021-03-21,TN,47001,12.6,11.4,15.1,0.0,12.6,12.6
2021-03-28,TN,47001,9.7,8.6,17.4,0.0,9.7,9.7
2021-04-04,TN,47001,11.0,10.0,19.1,0.0,11.0,11.0
2021-04-11,TN,47001,11.4,10.3,18.1,0.0,11.4,11.4
2021-04-18,TN,47001,8.3,6.6,20.9,0.0,8.3,8.3
2021-04-25,TN,47001,4.7,4.1,18.6,0.0,4.7,4.7
2021-05-02,TN,47001,5.4,5.4,17.1,0.0,5.4,5.4
2021-05-09,TN,47001,6.9,6.9,16.6,0.0,6.9,6.9
2021-05-16,TN,47001,6.1,6.0,20.0,0.0,6.1,6.1
2021-05-23,TN,47001,4.4,4.4,19.9,0.0,4.4,4.4
2021-05-30,TN,47001,5.3,5.3,20.0,0.0,5.3,5.3
2021-06-06,TN,47001,0,0,17.0,0.0,0,0.0
2021-06-13,TN,47001,0,0,17.7,0.0,0,0.0
2021-06-20,TN,47001,0,0,22.4,0.0,0,0.0
2021-06-27,TN,47001,0,0,20.1,0.0,0,0.0
2021-07-04,TN,47001,0,0,18.1,0.0,0,0.0
2021-07-11,TN,47001,0,0,22.4,0.0,0,0.0
2021-07-18,TN,47001,4.3,4.3,20.7,0.0,4.3,4.3
2021-07-25,TN,47001,9.3,9.1,17.9,0.0,9.3,9.3
2021-08-01,TN,47001,16.6,16.1,20.0,0.0,16.6,16.6
2021-08-08,TN,47001,22.0,21.9,21.9,0.0,22.0,22.0
2021-08-15,TN,47001,25.9,24.9,21.9,0.0,25.9,25.9
2021-08-22,TN,47001,30.7,29.6,23.4,0.0,30.7,30.7
2021-08-29,TN,47001,41.9,41.3,23.7,0.0,41.9,41.9
2021-09-05,TN,47001,45.0,44.6,22.0,0.0,45.0,45.0
2021-09-12,TN,47001,44.1,42.3,21.6,0.0,44.1,44.1
2021-09-19,TN,47001,41.7,39.9,22.9,0.0,41.7,41.7
2021-09-26,TN,47001,34.6,34.1,20.0,0.0,34.6,34.6
2021-10-03,TN,47001,33.9,33.4,18.9,0.0,33.9,33.9
2021-10-10,TN,47001,23.0,21.9,16.4,0.0,23.0,23.0
2021-10-17,TN,47001,21.3,19.6,16.6,0.0,21.3,21.3
2021-10-24,TN,47001,20.9,20.6,18.4,0.0,20.9,20.9
2021-10-31,TN,47001,14.6,14.6,19.4,0.0,14.6,14.6
2021-11-07,TN,47001,13.7,13.6,18.3,0.0,13.7,13.7
2021-11-14,TN,47001,14.9,14.4,15.7,0.0,14.9,14.9
2021-11-21,TN,47001,15.0,15.0,18.1,0.0,15.0,15.0
2021-11-28,TN,47001,16.6,16.6,16.4,0.0,16.6,16.6
2021-12-05,TN,47001,18.4,18.3,17.1,0.0,18.4,18.4
2021-12-12,TN,47001,21.7,21.4,16.6,0.0,21.7,21.7
2021-12-19,TN,47001,13.9,13.6,13.9,0.0,13.9,13.9
2021-12-26,TN,47001,12.9,12.4,16.7,0.0,12.9,12.9
