collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47003,0,0,0,0.0,0,0.0
2020-08-09,TN,47003,0,0,4.3,0.0,0,0.0
2020-08-16,TN,47003,0,0,4.3,0.0,0,0.0
2020-08-23,TN,47003,0,0,5.4,0.0,0,0.0
2020-08-30,TN,47003,0,0,4.4,0.0,0,0.0
2020-09-06,TN,47003,0,0,0,0.0,0,0.0
2020-09-13,TN,47003,0,0,4.9,0.0,0,0.0
2020-09-20,TN,47003,0,0,4.7,0.0,0,0.0
2020-09-27,TN,47003,0,0,4.1,0.0,0,0.0
2020-10-04,TN,47003,0,0,6.3,0.0,0,0.0
2020-10-11,TN,47003,0,0,5.3,0.0,0,0.0
2020-10-18,TN,47003,0,0,4.1,0.0,0,0.0
2020-10-25,TN,47003,0,0,5.6,0.0,0,0.0
2020-11-01,TN,47003,0,0,0,0.0,0,0.0
2020-11-08,TN,47003,0,0,0.0,0.0,0,0.0
2020-11-15,TN,47003,0,0,0,0.0,0,0.0
2020-11-22,TN,47003,0,0,4.7,0.0,0,0.0
2020-11-29,TN,47003,4.7,4.6,4.1,0.0,4.7,4.7
2020-12-06,TN,47003,5.6,5.3,4.3,0.0,5.6,5.6
2020-12-13,TN,47003,6.0,5.9,4.7,0.0,6.0,6.0
2020-12-20,TN,47003,5.0,5.0,0,0.0,5.0,5.0
2020-12-27,TN,47003,4.3,4.3,4.6,0.0,4.3,4.3
2021-01-03,TN,47003,6.9,6.9,5.6,0.0,6.9,6.9
2021-01-10,TN,47003,8.0,8.0,5.1,0.0,8.0,8.0
2021-01-17,TN,47003,5.3,5.3,4.3,0.0,5.3,5.3
2021-01-24,TN,47003,0,0,4.6,0.0,0,0.0
2021-01-31,TN,47003,4.9,4.6,0,0.0,4.9,4.9
2021-02-07,TN,47003,0,0,0,0.0,0,0.0
2021-02-14,TN,47003,0,0,5.9,0.0,0,0.0
2021-02-21,TN,47003,4.4,4.4,4.4,0.0,4.4,4.4
2021-02-28,TN,47003,0,0,0,0.0,0,0.0
2021-03-07,TN,47003,0,0,0,0.0,0,0.0
2021-03-14,TN,47003,0,0,0,0.0,0,0.0
2021-03-21,TN,47003,4.9,4.9,4.1,0.0,4.9,4.9
2021-03-28,TN,47003,4.4,4.4,0,0.0,4.4,4.4
2021-04-04,TN,47003,0,0,0,0.0,0,0.0
2021-04-11,TN,47003,0,0,4.1,0.0,0,0.0
2021-04-18,TN,47003,0,0,4.4,0.0,0,0.0
2021-04-25,TN,47003,0,0,0,0.0,0,0.0
2021-05-02,TN,47003,0,0,4.6,0.0,0,0.0
2021-05-09,TN,47003,0,0,4.4,0.0,0,0.0
2021-05-16,TN,47003,0,0,4.1,0.0,0,0.0
2021-05-23,TN,47003,0,0,0,0.0,0,0.0
2021-05-30,TN,47003,0,0,0,0.0,0,0.0
2021-06-06,TN,47003,0,0,4.1,0.0,0,0.0
2021-06-13,TN,47003,0,0,0,0.0,0,0.0
2021-06-20,TN,47003,0,0,0,0.0,0,0.0
2021-06-27,TN,47003,0.0,0.0,0,0.0,0.0,0.0
2021-07-04,TN,47003,0.0,0.0,4.0,0.0,0.0,0.0
2021-07-11,TN,47003,0,0,0,0.0,0,0.0
2021-07-18,TN,47003,0,0,0,0.0,0,0.0
2021-07-25,TN,47003,0,0,0,0.0,0,0.0
2021-08-01,TN,47003,8.9,8.7,5.6,0.0,8.9,8.9
2021-08-08,TN,47003,7.0,7.0,4.9,0.0,7.0,7.0
2021-08-15,TN,47003,9.3,9.3,5.1,0.0,9.3,9.3
2021-08-22,TN,47003,11.6,11.4,5.7,0.0,11.6,11.6
2021-08-29,TN,47003,8.3,8.3,4.9,0.0,8.3,8.3
2021-09-05,TN,47003,16.7,16.7,5.0,0.0,16.7,16.7
2021-09-12,TN,47003,13.0,12.9,4.7,0.0,13.0,13.0
2021-09-19,TN,47003,7.7,7.7,5.6,0.0,7.7,7.7
2021-09-26,TN,47003,7.1,7.1,4.0,0.0,7.1,7.1
2021-10-03,TN,47003,6.9,6.9,4.4,0.0,6.9,6.9
2021-10-10,TN,47003,0,0,0,0.0,0,0.0
2021-10-17,TN,47003,0,0,4.0,0.0,0,0.0
2021-10-24,TN,47003,0,0,0,0.0,0,0.0
2021-10-31,TN,47003,0,0,0,0.0,0,0.0
2021-11-07,TN,47003,0,0,0,0.0,0,0.0
2021-11-14,TN,47003,0,0,0,0.0,0,0.0
2021-11-21,TN,47003,5.3,5.1,4.9,0.0,5.3,5.3
2021-11-28,TN,47003,0,0,5.1,0.0,0,0.0
2021-12-05,TN,47003,0,0,0,0.0,0,0.0
2021-12-12,TN,47003,0,0,0,0.0,0,0.0
2021-12-19,TN,47003,4.4,4.4,0,0.0,4.4,4.4
2021-12-26,TN,47003,0,0,5.1,0.0,0,0.0
