collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47019,0,0,5.6,0.0,0,0.0
2020-08-09,TN,47019,0,0,6.0,0.0,0,0.0
2020-08-16,TN,47019,5.0,0,7.9,0.0,5.0,5.0
2020-08-23,TN,47019,4.7,0,7.9,0.0,4.7,4.7
2020-08-30,TN,47019,5.9,4.9,6.9,0,6.0,5.9
2020-09-06,TN,47019,5.1,4.3,5.7,0.0,5.1,5.1
2020-09-13,TN,47019,0,0,5.3,0.0,0,0.0
2020-09-20,TN,47019,0,0,6.6,0.0,0,0.0
2020-09-27,TN,47019,0,0,7.6,0.0,0,0.0
2020-10-04,TN,47019,5.0,4.3,4.3,0.0,5.0,5.0
2020-10-11,TN,47019,5.6,5.3,4.7,0.0,5.6,5.6
2020-10-18,TN,47019,5.7,5.0,4.0,0.0,5.7,5.7
2020-10-25,TN,47019,10.9,9.3,6.6,0.0,10.9,10.9
2020-11-01,TN,47019,11.0,10.3,6.3,0.0,11.0,11.0
2020-11-08,TN,47019,16.4,15.1,7.6,0.0,16.4,16.4
2020-11-15,TN,47019,17.0,16.3,6.6,0.0,17.0,17.0
2020-11-22,TN,47019,16.9,16.4,7.0,0.0,16.9,16.9
2020-11-29,TN,47019,14.7,14.3,7.3,0.0,14.7,14.7
2020-12-06,TN,47019,16.1,15.4,7.4,0.0,16.1,16.1
2020-12-13,TN,47019,16.9,16.9,7.0,0.0,16.9,16.9
2020-12-20,TN,47019,17.6,17.3,6.9,0.0,17.6,17.6
2020-12-27,TN,47019,22.3,22.3,7.0,0.0,22.3,22.3
2021-01-03,TN,47019,17.0,17.0,5.7,0.0,17.0,17.0
2021-01-10,TN,47019,12.3,11.7,4.3,0.0,12.3,12.3
2021-01-17,TN,47019,15.3,15.3,7.1,0.0,15.3,15.3
2021-01-24,TN,47019,7.0,7.0,5.1,0.0,7.0,7.0
2021-01-31,TN,47019,4.4,4.4,4.9,0.0,4.4,4.4
2021-02-07,TN,47019,5.3,5.3,6.0,0.0,5.3,5.3
2021-02-14,TN,47019,0,0,6.0,0.0,0,0.0
2021-02-21,TN,47019,0,0,5.4,0.0,0,0.0
2021-02-28,TN,47019,0,0,7.6,0.0,0,0.0
2021-03-07,TN,47019,0,0,5.3,0.0,0,0.0
2021-03-14,TN,47019,0,0,6.7,0.0,0,0.0
2021-03-21,TN,47019,0,0,6.9,0.0,0,0.0
2021-03-28,TN,47019,0,0,7.1,0.0,0,0.0
2021-04-04,TN,47019,4.9,0,7.3,0.0,4.9,4.9
2021-04-11,TN,47019,6.4,6.1,7.3,0.0,6.4,6.4
2021-04-18,TN,47019,5.9,5.4,7.6,0.0,5.9,5.9
2021-04-25,TN,47019,6.6,6.3,7.1,0.0,6.6,6.6
2021-05-02,TN,47019,4.1,0,4.4,0.0,4.1,4.1
2021-05-09,TN,47019,0,0,5.1,0.0,0,0.0
2021-05-16,TN,47019,0,0,7.0,0.0,0,0.0
2021-05-23,TN,47019,0,0,5.3,0.0,0,0.0
2021-05-30,TN,47019,0,0,6.6,0.0,0,0.0
2021-06-06,TN,47019,0,0,4.1,0.0,0,0.0
2021-06-13,TN,47019,0,0,4.7,0.0,0,0.0
2021-06-20,TN,47019,0,0,4.4,0.0,0,0.0
2021-06-27,TN,47019,0,0,5.3,0.0,0,0.0
2021-07-04,TN,47019,0,0,4.7,0.0,0,0.0
2021-07-11,TN,47019,0,0,4.4,0.0,0,0.0
2021-07-18,TN,47019,0,0,5.1,0.0,0,0.0
2021-07-25,TN,47019,4.4,4.0,4.3,0.0,4.4,4.4
2021-08-01,TN,47019,7.4,7.4,4.7,0.0,7.4,7.4
2021-08-08,TN,47019,9.3,8.9,5.6,0.0,9.3,9.3
2021-08-15,TN,47019,14.0,14.0,6.6,0.0,14.0,14.0
2021-08-22,TN,47019,18.4,18.3,8.0,0.0,18.4,18.4
2021-08-29,TN,47019,20.1,19.7,7.4,0.0,20.1,20.1
2021-09-05,TN,47019,23.1,23.0,8.0,0.0,23.1,23.1
2021-09-12,TN,47019,21.7,21.1,7.3,0.0,21.7,21.7
2021-09-19,TN,47019,20.6,20.3,7.7,0.0,20.6,20.6
2021-09-26,TN,47019,20.9,20.7,7.6,0.0,20.9,20.9
2021-10-03,TN,47019,18.1,17.9,7.7,0.0,18.1,18.1
2021-10-10,TN,47019,14.6,14.6,7.4,0.0,14.6,14.6
2021-10-17,TN,47019,13.0,13.0,7.6,0.0,13.0,13.0
2021-10-24,TN,47019,14.4,14.1,7.6,0.0,14.4,14.4
2021-10-31,TN,47019,9.3,9.3,7.0,0.0,9.3,9.3
2021-11-07,TN,47019,10.6,10.4,4.6,0.0,10.6,10.6
2021-11-14,TN,47019,9.6,9.6,4.1,0.0,9.6,9.6
2021-11-21,TN,47019,9.3,9.1,4.4,0.0,9.3,9.3
2021-11-28,TN,47019,10.3,10.0,4.9,0.0,10.3,10.3
2021-12-05,TN,47019,14.7,14.6,5.0,0.0,14.7,14.7
2021-12-12,TN,47019,13.7,13.7,4.9,0.0,13.7,13.7
2021-12-19,TN,47019,11.9,11.9,4.7,0.0,11.9,11.9
2021-12-26,TN,47019,18.7,18.7,4.7,0.0,18.7,18.7
