collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47045,8.7,7.6,5.9,0.0,8.7,8.7
2020-08-09,TN,47045,9.4,8.1,5.1,0,9.6,9.4
2020-08-16,TN,47045,9.9,9.0,5.6,0.0,9.9,9.9
2020-08-23,TN,47045,9.4,8.4,5.6,0.0,9.4,9.4
2020-08-30,TN,47045,13.3,12.0,8.3,0.0,13.3,13.3
2020-09-06,TN,47045,13.1,11.3,7.9,0.0,13.1,13.1
2020-09-13,TN,47045,9.3,8.9,7.1,0.0,9.3,9.3
2020-09-20,TN,47045,11.9,10.6,6.7,0.0,11.9,11.9
2020-09-27,TN,47045,13.1,13.0,7.3,0.0,13.1,13.1
2020-10-04,TN,47045,14.4,13.1,6.3,0.0,14.4,14.4
2020-10-11,TN,47045,18.3,16.9,7.9,0.0,18.3,18.3
2020-10-18,TN,47045,21.7,19.9,10.0,0.0,21.7,21.7
2020-10-25,TN,47045,18.6,17.7,8.9,0,18.9,18.6
2020-11-01,TN,47045,19.9,19.0,9.4,0,20.0,19.9
2020-11-08,TN,47045,17.1,15.6,7.7,0.0,17.1,17.1
2020-11-15,TN,47045,18.3,17.1,9.3,0.0,18.3,18.3
2020-11-22,TN,47045,25.6,25.0,10.6,0.0,25.6,25.6
2020-11-29,TN,47045,30.1,29.1,9.9,0,30.4,30.1
2020-12-06,TN,47045,30.7,30.0,10.6,0.0,30.7,30.7
2020-12-13,TN,47045,26.7,26.3,10.9,0.0,26.7,26.7
2020-12-20,TN,47045,25.1,24.6,10.4,0.0,25.1,25.1
2020-12-27,TN,47045,20.9,20.7,10.7,0.0,20.9,20.9
2021-01-03,TN,47045,27.4,27.1,11.4,0.0,27.4,27.4
2021-01-10,TN,47045,22.6,22.3,13.1,0.0,22.6,22.6
2021-01-17,TN,47045,21.4,20.6,13.1,0.0,21.4,21.4
2021-01-24,TN,47045,17.1,16.7,10.4,0.0,17.1,17.1
2021-01-31,TN,47045,15.0,14.6,9.6,0.0,15.0,15.0
2021-02-07,TN,47045,9.3,8.7,9.8,0.0,9.3,9.3
2021-02-14,TN,47045,8.0,7.9,8.7,0.0,8.0,8.0
2021-02-21,TN,47045,6.9,6.9,8.1,0.0,6.9,6.9
2021-02-28,TN,47045,4.7,4.7,7.0,0.0,4.7,4.7
2021-03-07,TN,47045,0,0,6.3,0.0,0,0.0
2021-03-14,TN,47045,0,0,5.3,0.0,0,0.0
2021-03-21,TN,47045,0,0,7.4,0.0,0,0.0
2021-03-28,TN,47045,0,0,7.3,0.0,0,0.0
2021-04-04,TN,47045,4.7,4.6,8.4,0.0,4.7,4.7
2021-04-11,TN,47045,0,0,8.1,0.0,0,0.0
2021-04-18,TN,47045,5.3,4.7,6.1,0.0,5.3,5.3
2021-04-25,TN,47045,0,0,6.9,0.0,0,0.0
2021-05-02,TN,47045,0,0,8.0,0.0,0,0.0
2021-05-09,TN,47045,4.0,0,4.6,0.0,4.0,4.0
2021-05-16,TN,47045,5.6,5.6,6.3,0.0,5.6,5.6
2021-05-23,TN,47045,7.7,7.7,8.1,0.0,7.7,7.7
2021-05-30,TN,47045,4.6,4.3,6.7,0.0,4.6,4.6
2021-06-06,TN,47045,0,0,6.3,0.0,0,0.0
2021-06-13,TN,47045,0,0,7.4,0.0,0,0.0
2021-06-20,TN,47045,4.0,0,7.3,0.0,4.0,4.0
2021-06-27,TN,47045,0,0,6.1,0.0,0,0.0
2021-07-04,TN,47045,0,0,5.0,0.0,0,0.0
2021-07-11,TN,47045,0,0,4.6,0.0,0,0.0
2021-07-18,TN,47045,5.4,5.1,6.1,0.0,5.4,5.4
2021-07-25,TN,47045,9.6,9.3,9.6,0.0,9.6,9.6
2021-08-01,TN,47045,9.3,8.9,8.1,0.0,9.3,9.3
2021-08-08,TN,47045,15.0,13.9,9.0,0.0,15.0,15.0
2021-08-15,TN,47045,17.7,17.0,9.4,0.0,17.7,17.7
2021-08-22,TN,47045,22.1,22.0,11.7,0.0,22.1,22.1
2021-08-29,TN,47045,30.1,29.7,15.9,0.0,30.1,30.1
2021-09-05,TN,47045,40.1,39.7,15.0,0.0,40.1,40.1
2021-09-12,TN,47045,36.7,36.0,16.6,0.0,36.7,36.7
2021-09-19,TN,47045,26.4,25.9,16.0,0.0,26.4,26.4
2021-09-26,TN,47045,21.6,21.6,10.1,0.0,21.6,21.6
2021-10-03,TN,47045,12.0,12.0,9.9,0.0,12.0,12.0
2021-10-10,TN,47045,6.7,6.6,7.7,0.0,6.7,6.7
2021-10-17,TN,47045,0,0,6.1,0,0,0.0
2021-10-24,TN,47045,0,0,6.6,0.0,0,0.0
2021-10-31,TN,47045,0,0,6.6,0.0,0,0.0
2021-11-07,TN,47045,0,0,6.4,0.0,0,0.0
2021-11-14,TN,47045,0,0,5.0,0.0,0,0.0
2021-11-21,TN,47045,0,0,4.3,0.0,0,0.0
2021-11-28,TN,47045,0,0,6.0,0.0,0,0.0
2021-12-05,TN,47045,4.6,4.4,6.3,0.0,4.6,4.6
2021-12-12,TN,47045,8.7,8.4,8.3,0.0,8.7,8.7
2021-12-19,TN,47045,6.6,6.1,6.3,0.0,6.6,6.6
2021-12-26,TN,47045,5.6,4.9,5.9,0.0,5.6,5.6
