collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47059,5.0,0,9.4,0.0,5.0,5.0
2020-08-09,TN,47059,4.3,4.3,8.7,0.0,4.3,4.3
2020-08-16,TN,47059,5.4,4.4,9.1,0.0,5.4,5.4
2020-08-23,TN,47059,7.7,7.0,9.7,0.0,7.7,7.7
2020-08-30,TN,47059,9.0,8.0,9.0,0.0,9.0,9.0
2020-09-06,TN,47059,7.0,6.6,9.0,0.0,7.0,7.0
2020-09-13,TN,47059,5.1,4.6,9.3,0.0,5.1,5.1
2020-09-20,TN,47059,0,0,8.9,0.0,0,0.0
2020-09-27,TN,47059,0,0,9.0,0.0,0,0.0
2020-10-04,TN,47059,0,0,9.6,0.0,0,0.0
2020-10-11,TN,47059,4.9,4.4,9.4,0.0,4.9,4.9
2020-10-18,TN,47059,4.6,0,9.3,0.0,4.6,4.6
2020-10-25,TN,47059,13.1,11.1,9.6,0.0,13.1,13.1
2020-11-01,TN,47059,10.9,9.4,9.4,0.0,10.9,10.9
2020-11-08,TN,47059,10.3,9.1,9.9,0.0,10.3,10.3
2020-11-15,TN,47059,10.1,9.0,9.6,0.0,10.1,10.1
2020-11-22,TN,47059,10.7,9.3,9.6,0.0,10.7,10.7
2020-11-29,TN,47059,14.7,12.6,10.0,0.0,14.7,14.7
2020-12-06,TN,47059,20.9,18.7,10.0,0.0,20.9,20.9
2020-12-13,TN,47059,19.7,17.3,9.6,0.0,19.7,19.7
2020-12-20,TN,47059,24.6,22.6,9.0,0.0,24.6,24.6
2020-12-27,TN,47059,25.3,23.0,9.3,0.0,25.3,25.3
2021-01-03,TN,47059,21.9,19.6,8.9,0.0,21.9,21.9
2021-01-10,TN,47059,19.6,18.7,9.3,0.0,19.6,19.6
2021-01-17,TN,47059,11.9,11.7,7.7,0.0,11.9,11.9
2021-01-24,TN,47059,11.3,10.1,9.9,0.0,11.3,11.3
2021-01-31,TN,47059,7.4,6.4,9.6,0.0,7.4,7.4
2021-02-07,TN,47059,7.7,7.4,9.6,0.0,7.7,7.7
2021-02-14,TN,47059,6.4,6.0,8.7,0.0,6.4,6.4
2021-02-21,TN,47059,5.6,5.3,9.7,0.0,5.6,5.6
2021-02-28,TN,47059,0,0,8.7,0.0,0,0.0
2021-03-07,TN,47059,0,0,8.0,0.0,0,0.0
2021-03-14,TN,47059,0,0,7.4,0.0,0,0.0
2021-03-21,TN,47059,5.3,5.1,8.0,0.0,5.3,5.3
2021-03-28,TN,47059,4.1,4.1,7.9,0.0,4.1,4.1
2021-04-04,TN,47059,6.4,5.9,6.9,0.0,6.4,6.4
2021-04-11,TN,47059,5.1,4.6,7.4,0.0,5.1,5.1
2021-04-18,TN,47059,5.7,5.6,9.0,0.0,5.7,5.7
2021-04-25,TN,47059,0,0,9.0,0.0,0,0.0
2021-05-02,TN,47059,0,0,9.7,0.0,0,0.0
2021-05-09,TN,47059,5.1,4.6,9.0,0.0,5.1,5.1
2021-05-16,TN,47059,0,0,9.1,0.0,0,0.0
2021-05-23,TN,47059,0,0,8.4,0.0,0,0.0
2021-05-30,TN,47059,0,0,9.7,0.0,0,0.0
2021-06-06,TN,47059,0,0,9.6,0.0,0,0.0
2021-06-13,TN,47059,0,0,7.4,0.0,0,0.0
2021-06-20,TN,47059,0,0,8.4,0.0,0,0.0
2021-06-27,TN,47059,0.0,0.0,9.4,0.0,0.0,0.0
2021-07-04,TN,47059,0.0,0.0,9.3,0.0,0.0,0.0
2021-07-11,TN,47059,0,0,9.7,0.0,0,0.0
2021-07-18,TN,47059,0,0,8.6,0.0,0,0.0
2021-07-25,TN,47059,0,0,8.0,0.0,0,0.0
2021-08-01,TN,47059,5.6,5.4,9.6,0.0,5.6,5.6
2021-08-08,TN,47059,10.3,10.0,9.9,0.0,10.3,10.3
2021-08-15,TN,47059,12.0,11.9,9.9,0.0,12.0,12.0
2021-08-22,TN,47059,23.6,23.1,9.4,0.0,23.6,23.6
2021-08-29,TN,47059,31.1,31.1,9.4,0.0,31.1,31.1
2021-09-05,TN,47059,38.4,38.4,11.0,0.0,38.4,38.4
2021-09-12,TN,47059,36.9,36.4,13.4,0,37.0,36.9
2021-09-19,TN,47059,37.1,36.4,12.4,0.0,37.1,37.1
2021-09-26,TN,47059,27.6,27.3,9.4,0.0,27.6,27.6
2021-10-03,TN,47059,17.3,16.9,9.3,0.0,17.3,17.3
2021-10-10,TN,47059,17.7,17.6,10.0,0.0,17.7,17.7
2021-10-17,TN,47059,13.9,13.9,9.7,0.0,13.9,13.9
2021-10-24,TN,47059,9.1,9.1,9.3,0.0,9.1,9.1
2021-10-31,TN,47059,7.3,7.3,9.1,0.0,7.3,7.3
2021-11-07,TN,47059,7.1,7.0,10.0,0.0,7.1,7.1
2021-11-14,TN,47059,6.6,6.6,9.9,0.0,6.6,6.6
2021-11-21,TN,47059,6.0,6.0,9.6,0.0,6.0,6.0
2021-11-28,TN,47059,11.0,11.0,10.0,0.0,11.0,11.0
2021-12-05,TN,47059,14.4,14.3,10.0,0.0,14.4,14.4
2021-12-12,TN,47059,16.1,16.1,9.9,0.0,16.1,16.1
2021-12-19,TN,47059,13.6,13.6,9.4,0.0,13.6,13.6
2021-12-26,TN,47059,10.9,10.9,9.4,0.0,10.9,10.9
