collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47079,10.7,5.9,7.1,0.0,10.7,10.7
2020-08-09,TN,47079,13.4,6.1,5.9,0.0,13.4,13.4
2020-08-16,TN,47079,12.7,6.1,5.9,0.0,12.7,12.7
2020-08-23,TN,47079,11.0,5.6,5.7,0.0,11.0,11.0
2020-08-30,TN,47079,9.4,6.3,6.1,0.0,9.4,9.4
2020-09-06,TN,47079,9.6,5.0,5.6,0.0,9.6,9.6
2020-09-13,TN,47079,10.7,5.1,5.6,0.0,10.7,10.7
2020-09-20,TN,47079,6.4,0,5.9,0.0,6.4,6.4
2020-09-27,TN,47079,6.0,0,5.0,0.0,6.0,6.0
2020-10-04,TN,47079,7.1,0,6.0,0,7.4,7.1
2020-10-11,TN,47079,4.1,0,4.1,0.0,4.1,4.1
2020-10-18,TN,47079,6.4,6.0,5.4,0.0,6.4,6.4
2020-10-25,TN,47079,7.7,6.9,5.7,0.0,7.7,7.7
2020-11-01,TN,47079,5.3,5.3,5.9,0.0,5.3,5.3
2020-11-08,TN,47079,13.9,13.9,6.0,0.0,13.9,13.9
2020-11-15,TN,47079,19.4,19.4,6.0,0.0,19.4,19.4
2020-11-22,TN,47079,14.9,14.9,6.0,0.0,14.9,14.9
2020-11-29,TN,47079,10.9,10.7,5.9,0.0,10.9,10.9
2020-12-06,TN,47079,11.0,11.0,5.4,0.0,11.0,11.0
2020-12-13,TN,47079,9.3,9.3,6.3,0.0,9.3,9.3
2020-12-20,TN,47079,14.3,14.3,7.1,0.0,14.3,14.3
2020-12-27,TN,47079,17.4,17.4,7.9,0.0,17.4,17.4
2021-01-03,TN,47079,15.4,15.4,7.9,0.0,15.4,15.4
2021-01-10,TN,47079,13.3,13.3,8.0,0.0,13.3,13.3
2021-01-17,TN,47079,14.1,14.1,7.9,0.0,14.1,14.1
2021-01-24,TN,47079,12.2,12.2,7.6,0.0,12.2,12.2
2021-01-31,TN,47079,4.9,4.9,6.6,0.0,4.9,4.9
2021-02-07,TN,47079,5.9,5.9,6.1,0.0,5.9,5.9
2021-02-14,TN,47079,0,0,6.3,0.0,0,0.0
2021-02-21,TN,47079,0.0,0.0,7.3,0.0,0.0,0.0
2021-02-28,TN,47079,0.0,0.0,7.6,0.0,0.0,0.0
2021-03-07,TN,47079,0.0,0.0,6.6,0.0,0.0,0.0
2021-03-14,TN,47079,0,0,5.9,0.0,0,0.0
2021-03-21,TN,47079,0,0,6.3,0.0,0,0.0
2021-03-28,TN,47079,0,0,6.3,0.0,0,0.0
2021-04-04,TN,47079,0,0,6.1,0.0,0,0.0
2021-04-11,TN,47079,0,0,6.6,0.0,0,0.0
2021-04-18,TN,47079,0,0,6.4,0.0,0,0.0
2021-04-25,TN,47079,0,0,6.1,0.0,0,0.0
2021-05-02,TN,47079,0,0,6.6,0.0,0,0.0
2021-05-09,TN,47079,0,0,6.3,0.0,0,0.0
2021-05-16,TN,47079,5.7,5.7,7.7,0.0,5.7,5.7
2021-05-23,TN,47079,0,0,6.1,0.0,0,0.0
2021-05-30,TN,47079,0,0,6.4,0.0,0,0.0
2021-06-06,TN,47079,0,0,5.4,0.0,0,0.0
2021-06-13,TN,47079,0,0,6.0,0.0,0,0.0
2021-06-20,TN,47079,0,0,5.6,0.0,0,0.0
2021-06-27,TN,47079,0,0,6.0,0.0,0,0.0
2021-07-04,TN,47079,0,0,6.0,0.0,0,0.0
2021-07-11,TN,47079,0,0,5.1,0.0,0,0.0
2021-07-18,TN,47079,0,0,6.0,0.0,0,0.0
2021-07-25,TN,47079,5.0,5.0,6.6,0.0,5.0,5.0
2021-08-01,TN,47079,12.6,12.6,7.7,0.0,12.6,12.6
2021-08-08,TN,47079,13.9,13.9,7.7,0.0,13.9,13.9
2021-08-15,TN,47079,14.3,14.3,8.5,0.0,14.3,14.3
2021-08-22,TN,47079,18.9,18.9,8.3,0.0,18.9,18.9
2021-08-29,TN,47079,19.6,19.6,8.7,0.0,19.6,19.6
2021-09-05,TN,47079,17.0,17.0,8.7,0.0,17.0,17.0
2021-09-12,TN,47079,18.7,18.7,8.6,0.0,18.7,18.7
2021-09-19,TN,47079,16.7,16.7,9.0,0.0,16.7,16.7
2021-09-26,TN,47079,15.7,15.7,8.4,0.0,15.7,15.7
2021-10-03,TN,47079,12.3,12.3,6.9,0.0,12.3,12.3
2021-10-10,TN,47079,8.1,8.1,5.0,0.0,8.1,8.1
2021-10-17,TN,47079,6.6,6.6,6.0,0.0,6.6,6.6
2021-10-24,TN,47079,5.4,5.3,7.4,0.0,5.4,5.4
2021-10-31,TN,47079,0,0,6.5,0.0,0,0.0
2021-11-07,TN,47079,0,0,5.3,0.0,0,0.0
2021-11-14,TN,47079,0,0,6.0,0.0,0,0.0
2021-11-21,TN,47079,0,0,5.1,0.0,0,0.0
2021-11-28,TN,47079,0,0,6.1,0.0,0,0.0
2021-12-05,TN,47079,0,0,6.9,0.0,0,0.0
2021-12-12,TN,47079,6.0,6.0,7.1,0.0,6.0,6.0
2021-12-19,TN,47079,8.1,8.1,7.1,0.0,8.1,8.1
2021-12-26,TN,47079,6.9,6.9,6.1,0,7.0,6.9
