collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47089,8.3,5.6,4.7,0.0,8.3,8.3
2020-08-09,TN,47089,7.7,5.1,5.6,0.0,7.7,7.7
2020-08-16,TN,47089,5.2,4.8,5.3,0.0,5.2,5.2
2020-08-23,TN,47089,8.4,8.0,4.0,0.0,8.4,8.4
2020-08-30,TN,47089,9.3,8.9,4.9,0.0,9.3,9.3
2020-09-06,TN,47089,6.3,6.1,4.6,0.0,6.3,6.3
2020-09-13,TN,47089,4.9,4.9,0,0.0,4.9,4.9
2020-09-20,TN,47089,7.0,5.7,4.1,0.0,7.0,7.0
2020-09-27,TN,47089,10.4,9.9,5.4,0.0,10.4,10.4
2020-10-04,TN,47089,15.3,14.7,5.6,0.0,15.3,15.3
2020-10-11,TN,47089,16.9,16.6,5.7,0.0,16.9,16.9
2020-10-18,TN,47089,12.3,10.1,5.0,0.0,12.3,12.3
2020-10-25,TN,47089,12.3,10.1,5.1,0.0,12.3,12.3
2020-11-01,TN,47089,10.0,9.9,4.1,0.0,10.0,10.0
2020-11-08,TN,47089,13.1,11.3,5.9,0.0,13.1,13.1
2020-11-15,TN,47089,14.6,13.0,5.1,0.0,14.6,14.6
2020-11-22,TN,47089,14.9,12.4,5.7,0.0,14.9,14.9
2020-11-29,TN,47089,13.4,10.9,4.1,0.0,13.4,13.4
2020-12-06,TN,47089,20.9,18.9,4.9,0.0,20.9,20.9
2020-12-13,TN,47089,23.9,19.0,5.9,0.0,23.9,23.9
2020-12-20,TN,47089,22.9,19.0,6.0,0.0,22.9,22.9
2020-12-27,TN,47089,31.7,29.1,6.0,0.0,31.7,31.7
2021-01-03,TN,47089,29.6,27.7,5.9,0.0,29.6,29.6
2021-01-10,TN,47089,27.7,24.3,5.6,0.0,27.7,27.7
2021-01-17,TN,47089,18.6,17.3,5.9,0.0,18.6,18.6
2021-01-24,TN,47089,17.0,13.4,5.6,0.0,17.0,17.0
2021-01-31,TN,47089,14.0,12.0,5.3,0.0,14.0,14.0
2021-02-07,TN,47089,7.3,6.0,4.4,0.0,7.3,7.3
2021-02-14,TN,47089,4.9,4.6,5.0,0.0,4.9,4.9
2021-02-21,TN,47089,8.0,7.3,6.0,0.0,8.0,8.0
2021-02-28,TN,47089,8.1,6.7,4.0,0.0,8.1,8.1
2021-03-07,TN,47089,4.4,4.1,5.0,0.0,4.4,4.4
2021-03-14,TN,47089,4.9,4.4,4.6,0.0,4.9,4.9
2021-03-21,TN,47089,0,0,4.3,0.0,0,0.0
2021-03-28,TN,47089,7.4,7.0,5.4,0.0,7.4,7.4
2021-04-04,TN,47089,7.7,7.7,5.4,0.0,7.7,7.7
2021-04-11,TN,47089,5.7,5.1,4.1,0.0,5.7,5.7
2021-04-18,TN,47089,6.0,5.0,0,0.0,6.0,6.0
2021-04-25,TN,47089,5.4,4.7,0,0.0,5.4,5.4
2021-05-02,TN,47089,0,0,4.6,0.0,0,0.0
2021-05-09,TN,47089,4.4,4.3,4.0,0.0,4.4,4.4
2021-05-16,TN,47089,4.1,0,0,0.0,4.1,4.1
2021-05-23,TN,47089,0.0,0.0,4.0,0.0,0.0,0.0
2021-05-30,TN,47089,0,0,0,0.0,0,0.0
2021-06-06,TN,47089,0,0,0,0.0,0,0.0
2021-06-13,TN,47089,0,0,0,0.0,0,0.0
2021-06-20,TN,47089,0,0,4.9,0.0,0,0.0
2021-06-27,TN,47089,0,0,4.0,0.0,0,0.0
2021-07-04,TN,47089,0,0,4.1,0.0,0,0.0
2021-07-11,TN,47089,0,0,4.4,0.0,0,0.0
2021-07-18,TN,47089,0,0,4.3,0.0,0,0.0
2021-07-25,TN,47089,6.6,6.6,4.1,0.0,6.6,6.6
2021-08-01,TN,47089,12.0,12.0,5.7,0.0,12.0,12.0
2021-08-08,TN,47089,14.7,14.7,5.1,0.0,14.7,14.7
2021-08-15,TN,47089,21.4,21.4,5.9,0.0,21.4,21.4
2021-08-22,TN,47089,22.9,22.9,5.9,0.0,22.9,22.9
2021-08-29,TN,47089,30.7,30.7,6.0,0.0,30.7,30.7
2021-09-05,TN,47089,24.6,24.6,6.0,0.0,24.6,24.6
2021-09-12,TN,47089,24.9,24.9,6.0,0.0,24.9,24.9
2021-09-19,TN,47089,26.4,26.4,5.9,0.0,26.4,26.4
2021-09-26,TN,47089,23.1,23.1,5.4,0.0,23.1,23.1
2021-10-03,TN,47089,14.9,14.9,5.4,0.0,14.9,14.9
2021-10-10,TN,47089,13.6,13.6,4.9,0.0,13.6,13.6
2021-10-17,TN,47089,7.3,7.3,4.0,0.0,7.3,7.3
2021-10-24,TN,47089,6.3,6.3,4.1,0.0,6.3,6.3
2021-10-31,TN,47089,0,0,0,0.0,0,0.0
2021-11-07,TN,47089,0,0,4.7,0.0,0,0.0
2021-11-14,TN,47089,0,0,4.2,0.0,0,0.0
2021-11-21,TN,47089,0,0,0,0.0,0,0.0
2021-11-28,TN,47089,0,0,0,0.0,0,0.0
2021-12-05,TN,47089,5.7,5.7,0,0.0,5.7,5.7
2021-12-12,TN,47089,11.4,11.3,5.3,0.0,11.4,11.4
2021-12-19,TN,47089,10.6,10.6,4.3,0.0,10.6,10.6
2021-12-26,TN,47089,8.7,8.7,0,0.0,8.7,8.7
