collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47093,112.80000000000001,80.8,161.2,0.0,113.19999999999999,112.80000000000001
2020-08-09,TN,47093,105.1,76.69999999999999,162.4,0.0,105.30000000000001,105.1
2020-08-16,TN,47093,88.6,65.7,157.6,0.0,88.8,88.6
2020-08-23,TN,47093,76.3,54.6,159.2,0.0,76.6,76.3
2020-08-30,TN,47093,95.9,72.2,164.9,0.0,96.0,95.9
2020-09-06,TN,47093,93.69999999999999,71.0,180.70000000000002,0.0,93.8,93.69999999999999
2020-09-13,TN,47093,91.80000000000001,64.6,173.7,0.0,92.0,91.80000000000001
2020-09-20,TN,47093,94.19999999999999,71.9,177.9,0.0,94.19999999999999,94.19999999999999
2020-09-27,TN,47093,100.3,82.0,188.0,0.0,100.4,100.3
2020-10-04,TN,47093,131.0,104.80000000000001,189.8,0.0,131.0,131.0
2020-10-11,TN,47093,154.50000000000003,130.4,193.2,0.0,154.9,154.50000000000003
2020-10-18,TN,47093,152.3,131.20000000000002,190.0,0.0,152.70000000000002,152.3
2020-10-25,TN,47093,149.2,132.5,191.2,0.0,149.6,149.2
2020-11-01,TN,47093,159.9,132.49999999999997,177.4,0.0,160.4,159.9
2020-11-08,TN,47093,172.5,147.39999999999998,190.9,0.0,172.79999999999998,172.5
2020-11-15,TN,47093,193.3,168.49999999999997,179.0,0.0,193.5,193.3
2020-11-22,TN,47093,240.5,207.0,182.9,4.4,245.10000000000002,244.9
2020-11-29,TN,47093,278.00000000000006,248.8,179.7,0.0,278.50000000000006,278.00000000000006
2020-12-06,TN,47093,308.29999999999995,275.4,176.5,0.0,308.6,308.29999999999995
2020-12-13,TN,47093,323.3,287.0,167.3,0.0,323.40000000000003,323.3
2020-12-20,TN,47093,313.8999999999999,278.59999999999997,161.0,0.0,314.59999999999997,313.8999999999999
2020-12-27,TN,47093,339.59999999999997,312.9,167.4,0.0,340.79999999999995,339.59999999999997
2021-01-03,TN,47093,362.30000000000007,328.6,169.4,0.0,363.30000000000007,362.30000000000007
2021-01-10,TN,47093,330.19999999999993,303.0,164.4,0.0,330.19999999999993,330.19999999999993
2021-01-17,TN,47093,274.2,253.39999999999998,169.6,0.0,274.7,274.2
2021-01-24,TN,47093,225.1,204.20000000000002,171.6,0.0,229.1,225.1
2021-01-31,TN,47093,187.8,161.5,158.2,0.0,188.3,187.8
2021-02-07,TN,47093,157.6,134.7,162.8,0.0,157.9,157.6
2021-02-14,TN,47093,140.1,113.8,173.0,0.0,140.1,140.1
2021-02-21,TN,47093,129.60000000000002,100.7,185.1,0.0,129.60000000000002,129.60000000000002
2021-02-28,TN,47093,107.1,84.7,190.0,0.0,107.1,107.1
2021-03-07,TN,47093,99.19999999999999,71.0,189.1,0.0,99.19999999999999,99.19999999999999
2021-03-14,TN,47093,84.30000000000001,57.7,187.7,0.0,84.69999999999999,84.30000000000001
2021-03-21,TN,47093,89.0,63.0,195.89999999999998,0.0,89.0,89.0
2021-03-28,TN,47093,95.3,69.9,180.3,0.0,95.8,95.3
2021-04-04,TN,47093,89.30000000000001,65.3,193.6,0.0,89.7,89.30000000000001
2021-04-11,TN,47093,87.80000000000001,59.099999999999994,195.4,0.0,88.1,87.80000000000001
2021-04-18,TN,47093,80.3,58.5,196.2,0.0,80.60000000000001,80.3
2021-04-25,TN,47093,87.1,66.2,199.8,0.0,87.4,87.1
2021-05-02,TN,47093,82.0,53.5,197.60000000000002,0.0,82.0,82.0
2021-05-09,TN,47093,65.5,39.900000000000006,187.10000000000002,0.0,65.5,65.5
2021-05-16,TN,47093,62.3,41.0,196.3,0.0,63.2,62.3
2021-05-23,TN,47093,58.3,40.5,193.8,0.0,58.7,58.3
2021-05-30,TN,47093,48.099999999999994,30.099999999999998,195.2,0.0,48.099999999999994,48.099999999999994
2021-06-06,TN,47093,37.0,25.700000000000003,200.1,0.0,37.2,37.0
2021-06-13,TN,47093,33.0,18.0,198.5,0.0,33.4,33.0
2021-06-20,TN,47093,29.4,17.6,204.5,0.0,29.9,29.4
2021-06-27,TN,47093,26.0,19.9,202.0,0.0,26.0,26.0
2021-07-04,TN,47093,21.9,9.3,198.2,0.0,21.9,21.9
2021-07-11,TN,47093,22.9,17.7,199.6,0.0,23.2,22.9
2021-07-18,TN,47093,48.6,37.7,200.1,0.0,48.6,48.6
2021-07-25,TN,47093,77.6,72.89999999999999,202.8,0.0,78.0,77.6
2021-08-01,TN,47093,131.4,120.70000000000002,202.5,5.4,137.4,136.8
2021-08-08,TN,47093,187.4,165.2,204.5,7.3,195.79999999999998,194.70000000000002
2021-08-15,TN,47093,256.8,238.2,208.7,9.0,267.7,265.8
2021-08-22,TN,47093,318.20000000000005,293.20000000000005,213.6,6.0,324.70000000000005,324.20000000000005
2021-08-29,TN,47093,365.59999999999997,344.0,209.89999999999998,9.0,375.59999999999997,374.59999999999997
2021-09-05,TN,47093,409.19999999999993,384.79999999999995,215.7,13.0,424.19999999999993,422.19999999999993
2021-09-12,TN,47093,405.1,382.20000000000005,212.5,11.6,418.70000000000005,416.70000000000005
2021-09-19,TN,47093,361.09999999999997,336.2,199.4,9.7,371.8,370.79999999999995
2021-09-26,TN,47093,302.40000000000003,278.3,201.9,6.9,309.90000000000003,309.3
2021-10-03,TN,47093,241.0,223.50000000000003,216.29999999999998,0.0,242.0,241.0
2021-10-10,TN,47093,223.1,198.6,211.9,0.0,223.1,223.1
2021-10-17,TN,47093,183.2,166.2,210.3,0.0,183.39999999999998,183.2
2021-10-24,TN,47093,158.6,137.4,201.89999999999998,0.0,158.6,158.6
2021-10-31,TN,47093,117.3,99.6,201.4,0.0,117.5,117.3
2021-11-07,TN,47093,97.30000000000001,78.19999999999999,197.20000000000002,0.0,97.4,97.30000000000001
2021-11-14,TN,47093,96.5,78.0,203.7,0.0,97.1,96.5
2021-11-21,TN,47093,95.5,72.2,190.2,0.0,95.5,95.5
2021-11-28,TN,47093,105.6,82.10000000000001,207.20000000000002,0.0,106.19999999999999,105.6
2021-12-05,TN,47093,128.89999999999998,92.6,196.5,0.0,128.89999999999998,128.89999999999998
2021-12-12,TN,47093,122.89999999999999,88.0,203.5,0.0,122.89999999999999,122.89999999999999
2021-12-19,TN,47093,146.5,111.5,200.5,0.0,146.6,146.5
2021-12-26,TN,47093,160.20000000000002,128.5,204.4,0.0,160.4,160.20000000000002
