collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47113,97.9,96.0,61.0,0,98.3,97.9
2020-08-09,TN,47113,102.4,102.3,63.5,0.0,102.4,102.4
2020-08-16,TN,47113,98.3,97.7,17.9,0,98.4,98.3
2020-08-23,TN,47113,104.4,104.1,42.8,0,104.6,104.4
2020-08-30,TN,47113,102.0,101.7,62.0,0,102.3,102.0
2020-09-06,TN,47113,88.6,87.4,60.9,0.0,88.6,88.6
2020-09-13,TN,47113,81.4,80.3,67.0,0.0,81.4,81.4
2020-09-20,TN,47113,74.3,73.1,66.4,0.0,74.3,74.3
2020-09-27,TN,47113,62.7,61.9,65.4,0.0,62.7,62.7
2020-10-04,TN,47113,58.7,58.3,66.0,0.0,58.7,58.7
2020-10-11,TN,47113,64.3,64.3,66.4,0.0,64.3,64.3
2020-10-18,TN,47113,89.3,89.3,74.3,0.0,89.3,89.3
2020-10-25,TN,47113,83.3,83.1,74.4,0.0,83.3,83.3
2020-11-01,TN,47113,85.6,84.1,71.1,0.0,85.6,85.6
2020-11-08,TN,47113,99.9,99.1,77.7,0.0,99.9,99.9
2020-11-15,TN,47113,97.1,96.3,73.9,0.0,97.1,97.1
2020-11-22,TN,47113,90.0,89.6,74.0,0,90.1,90.0
2020-11-29,TN,47113,94.7,94.3,77.6,0.0,94.7,94.7
2020-12-06,TN,47113,122.1,121.4,79.3,0,122.7,122.1
2020-12-13,TN,47113,117.7,117.1,75.1,0.0,117.7,117.7
2020-12-20,TN,47113,159.9,159.6,80.7,0,160.1,159.9
2020-12-27,TN,47113,168.4,167.7,82.9,0,169.3,168.4
2021-01-03,TN,47113,164.0,163.6,80.3,0,164.6,164.0
2021-01-10,TN,47113,144.6,144.4,82.1,0,145.1,144.6
2021-01-17,TN,47113,128.7,128.7,87.6,0,129.6,128.7
2021-01-24,TN,47113,95.6,95.6,80.0,0,95.7,95.6
2021-01-31,TN,47113,68.9,68.7,73.7,0,69.0,68.9
2021-02-07,TN,47113,60.9,60.9,69.7,0,61.0,60.9
2021-02-14,TN,47113,52.4,52.1,54.4,0.0,52.4,52.4
2021-02-21,TN,47113,35.9,35.9,64.7,0.0,35.9,35.9
2021-02-28,TN,47113,31.7,31.7,69.3,0,32.0,31.7
2021-03-07,TN,47113,26.1,26.0,63.0,0.0,26.1,26.1
2021-03-14,TN,47113,22.3,22.1,63.3,0,22.4,22.3
2021-03-21,TN,47113,27.0,26.7,60.9,0,27.1,27.0
2021-03-28,TN,47113,31.1,31.1,65.4,0,31.3,31.1
2021-04-04,TN,47113,27.4,27.4,69.7,0,27.6,27.4
2021-04-11,TN,47113,32.0,32.0,63.1,0.0,32.0,32.0
2021-04-18,TN,47113,35.6,35.6,65.3,0,35.9,35.6
2021-04-25,TN,47113,34.9,34.9,63.7,0.0,34.9,34.9
2021-05-02,TN,47113,30.0,30.0,64.6,0.0,30.0,30.0
2021-05-09,TN,47113,30.6,30.4,68.3,0,30.7,30.6
2021-05-16,TN,47113,32.3,32.3,66.3,0.0,32.3,32.3
2021-05-23,TN,47113,38.6,38.6,71.3,0.0,38.6,38.6
2021-05-30,TN,47113,39.1,39.1,69.9,0.0,39.1,39.1
2021-06-06,TN,47113,29.7,29.7,61.9,0.0,29.7,29.7
2021-06-13,TN,47113,30.6,30.6,65.6,0.0,30.6,30.6
2021-06-20,TN,47113,23.1,23.1,62.7,0.0,23.1,23.1
2021-06-27,TN,47113,18.3,17.4,65.3,0.0,18.3,18.3
2021-07-04,TN,47113,14.9,14.9,61.9,0.0,14.9,14.9
2021-07-11,TN,47113,11.6,11.6,71.6,0.0,11.6,11.6
2021-07-18,TN,47113,25.6,25.6,73.1,0.0,25.6,25.6
2021-07-25,TN,47113,51.6,51.6,70.7,0,52.0,51.6
2021-08-01,TN,47113,89.0,89.0,73.9,0,89.3,89.0
2021-08-08,TN,47113,125.3,125.3,73.7,0,126.0,125.3
2021-08-15,TN,47113,167.1,167.1,75.6,0,167.4,167.1
2021-08-22,TN,47113,196.4,196.4,74.4,0,196.7,196.4
2021-08-29,TN,47113,181.4,181.4,71.6,0,181.9,181.4
2021-09-05,TN,47113,187.4,187.4,71.6,0,188.4,187.4
2021-09-12,TN,47113,175.0,175.0,72.6,0,175.9,175.0
2021-09-19,TN,47113,162.4,162.4,75.7,0,164.1,162.4
2021-09-26,TN,47113,156.7,156.7,73.9,0,157.4,156.7
2021-10-03,TN,47113,125.0,125.0,63.9,0,125.9,125.0
2021-10-10,TN,47113,95.9,95.9,62.7,0,96.9,95.9
2021-10-17,TN,47113,74.9,74.9,66.7,0,75.6,74.9
2021-10-24,TN,47113,65.6,65.6,70.9,0,66.0,65.6
2021-10-31,TN,47113,60.0,60.0,69.6,0.0,60.0,60.0
2021-11-07,TN,47113,49.7,49.7,66.9,0,49.9,49.7
2021-11-14,TN,47113,40.3,40.3,57.4,0,40.4,40.3
2021-11-21,TN,47113,39.5,39.5,56.7,0,40.0,39.5
2021-11-28,TN,47113,40.0,40.0,62.0,0.0,40.0,40.0
2021-12-05,TN,47113,45.3,45.3,63.7,0.0,45.3,45.3
2021-12-12,TN,47113,51.7,51.7,69.9,0.0,51.7,51.7
2021-12-19,TN,47113,56.6,56.6,67.0,0.0,56.6,56.6
2021-12-26,TN,47113,88.1,88.1,69.4,0,88.4,88.1
