collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47119,21.0,21.0,18.6,0.0,21.0,21.0
2020-08-09,TN,47119,17.6,17.3,13.9,0.0,17.6,17.6
2020-08-16,TN,47119,18.0,17.9,16.7,0.0,18.0,18.0
2020-08-23,TN,47119,19.3,18.7,18.9,0.0,19.3,19.3
2020-08-30,TN,47119,20.4,20.3,18.6,0.0,20.4,20.4
2020-09-06,TN,47119,17.9,17.3,19.7,0.0,17.9,17.9
2020-09-13,TN,47119,17.7,15.3,16.6,0.0,17.7,17.7
2020-09-20,TN,47119,28.7,26.6,19.1,0,28.9,28.7
2020-09-27,TN,47119,28.3,27.0,20.7,0,28.4,28.3
2020-10-04,TN,47119,32.7,31.3,20.4,0.0,32.7,32.7
2020-10-11,TN,47119,37.7,37.6,21.4,0.0,37.7,37.7
2020-10-18,TN,47119,46.4,45.9,22.9,0.0,46.4,46.4
2020-10-25,TN,47119,49.1,49.0,24.0,0.0,49.1,49.1
2020-11-01,TN,47119,45.7,44.6,26.3,0.0,45.7,45.7
2020-11-08,TN,47119,57.9,57.1,24.7,0.0,57.9,57.9
2020-11-15,TN,47119,58.6,57.4,26.3,0.0,58.6,58.6
2020-11-22,TN,47119,58.9,57.9,26.9,0,59.0,58.9
2020-11-29,TN,47119,71.1,69.3,27.3,0.0,71.1,71.1
2020-12-06,TN,47119,56.3,54.9,24.7,0.0,56.3,56.3
2020-12-13,TN,47119,59.1,57.3,21.6,0,59.3,59.1
2020-12-20,TN,47119,60.4,60.4,26.0,0.0,60.4,60.4
2020-12-27,TN,47119,75.7,75.7,27.6,0.0,75.7,75.7
2021-01-03,TN,47119,77.9,75.9,27.1,0.0,77.9,77.9
2021-01-10,TN,47119,67.6,66.9,25.7,0.0,67.6,67.6
2021-01-17,TN,47119,55.7,54.7,26.3,0,55.9,55.7
2021-01-24,TN,47119,40.0,39.9,27.0,0.0,40.0,40.0
2021-01-31,TN,47119,38.0,37.0,20.3,0.0,38.0,38.0
2021-02-07,TN,47119,34.3,33.6,21.7,0.0,34.3,34.3
2021-02-14,TN,47119,24.0,23.9,25.1,0.0,24.0,24.0
2021-02-21,TN,47119,16.7,16.6,22.9,0.0,16.7,16.7
2021-02-28,TN,47119,11.7,11.6,18.0,0.0,11.7,11.7
2021-03-07,TN,47119,6.9,6.9,16.3,0.0,6.9,6.9
2021-03-14,TN,47119,7.1,6.4,11.6,0.0,7.1,7.1
2021-03-21,TN,47119,16.6,15.7,15.0,0.0,16.6,16.6
2021-03-28,TN,47119,21.3,21.1,18.7,0,21.4,21.3
2021-04-04,TN,47119,17.9,17.9,22.9,0.0,17.9,17.9
2021-04-11,TN,47119,12.1,12.1,17.6,0.0,12.1,12.1
2021-04-18,TN,47119,10.9,10.6,20.9,0.0,10.9,10.9
2021-04-25,TN,47119,11.3,11.1,23.1,0.0,11.3,11.3
2021-05-02,TN,47119,15.6,15.6,22.1,0.0,15.6,15.6
2021-05-09,TN,47119,11.4,11.4,22.1,0.0,11.4,11.4
2021-05-16,TN,47119,5.9,5.6,16.6,0.0,5.9,5.9
2021-05-23,TN,47119,4.4,4.3,19.9,0.0,4.4,4.4
2021-05-30,TN,47119,4.6,4.6,16.1,0.0,4.6,4.6
2021-06-06,TN,47119,0,0,16.7,0.0,0,0.0
2021-06-13,TN,47119,0,0,15.0,0.0,0,0.0
2021-06-20,TN,47119,0,0,15.6,0.0,0,0.0
2021-06-27,TN,47119,0,0,15.0,0.0,0,0.0
2021-07-04,TN,47119,4.6,4.6,18.7,0.0,4.6,4.6
2021-07-11,TN,47119,5.6,5.6,17.4,0.0,5.6,5.6
2021-07-18,TN,47119,8.3,8.1,15.6,0.0,8.3,8.3
2021-07-25,TN,47119,19.9,19.3,17.0,0.0,19.9,19.9
2021-08-01,TN,47119,29.1,28.9,20.3,0.0,29.1,29.1
2021-08-08,TN,47119,39.0,38.1,23.1,0.0,39.0,39.0
2021-08-15,TN,47119,45.9,45.9,23.4,0.0,45.9,45.9
2021-08-22,TN,47119,64.1,63.3,27.7,0.0,64.1,64.1
2021-08-29,TN,47119,85.1,84.4,21.6,0,85.3,85.1
2021-09-05,TN,47119,106.4,105.4,23.6,0.0,106.4,106.4
2021-09-12,TN,47119,98.3,98.0,38.4,0.0,98.3,98.3
2021-09-19,TN,47119,83.1,83.1,33.0,0.0,83.1,83.1
2021-09-26,TN,47119,54.7,54.7,26.0,0,55.7,54.7
2021-10-03,TN,47119,47.9,46.6,25.3,0,48.0,47.9
2021-10-10,TN,47119,35.1,35.0,27.4,0.0,35.1,35.1
2021-10-17,TN,47119,29.1,28.7,23.3,0.0,29.1,29.1
2021-10-24,TN,47119,27.3,27.1,21.1,0.0,27.3,27.3
2021-10-31,TN,47119,20.1,20.0,19.7,0.0,20.1,20.1
2021-11-07,TN,47119,16.1,16.1,19.3,0.0,16.1,16.1
2021-11-14,TN,47119,15.9,15.9,21.3,0.0,15.9,15.9
2021-11-21,TN,47119,17.1,16.9,17.7,0.0,17.1,17.1
2021-11-28,TN,47119,17.1,17.0,16.7,0.0,17.1,17.1
2021-12-05,TN,47119,17.1,17.1,18.0,0.0,17.1,17.1
2021-12-12,TN,47119,22.9,22.7,22.3,0.0,22.9,22.9
2021-12-19,TN,47119,25.9,25.9,23.6,0.0,25.9,25.9
2021-12-26,TN,47119,24.1,24.0,24.4,0,24.4,24.1
