collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47123,6.7,4.0,0.0,0.0,6.7,6.7
2020-08-09,TN,47123,13.0,9.1,0.0,0.0,13.0,13.0
2020-08-16,TN,47123,13.0,10.3,0.0,0.0,13.0,13.0
2020-08-23,TN,47123,8.1,6.3,6.7,0.0,8.1,8.1
2020-08-30,TN,47123,9.3,7.6,5.7,0.0,9.3,9.3
2020-09-06,TN,47123,9.1,7.1,6.4,0.0,9.1,9.1
2020-09-13,TN,47123,10.9,9.1,7.0,0.0,10.9,10.9
2020-09-20,TN,47123,9.0,7.7,5.4,0.0,9.0,9.0
2020-09-27,TN,47123,12.6,12.0,6.6,0.0,12.6,12.6
2020-10-04,TN,47123,16.1,14.4,6.4,0.0,16.1,16.1
2020-10-11,TN,47123,9.7,8.0,6.9,0.0,9.7,9.7
2020-10-18,TN,47123,7.7,6.0,6.6,0.0,7.7,7.7
2020-10-25,TN,47123,7.4,5.7,6.6,0.0,7.4,7.4
2020-11-01,TN,47123,6.7,4.6,5.3,0.0,6.7,6.7
2020-11-08,TN,47123,11.7,9.0,5.6,0.0,11.7,11.7
2020-11-15,TN,47123,10.9,9.3,6.3,0.0,10.9,10.9
2020-11-22,TN,47123,11.0,7.3,6.4,0.0,11.0,11.0
2020-11-29,TN,47123,13.9,11.3,6.6,0.0,13.9,13.9
2020-12-06,TN,47123,17.9,15.6,6.9,0.0,17.9,17.9
2020-12-13,TN,47123,19.6,17.3,7.0,0.0,19.6,19.6
2020-12-20,TN,47123,23.6,19.3,7.0,0.0,23.6,23.6
2020-12-27,TN,47123,27.1,23.0,7.0,0.0,27.1,27.1
2021-01-03,TN,47123,26.1,23.4,7.0,0.0,26.1,26.1
2021-01-10,TN,47123,23.3,21.9,7.0,0.0,23.3,23.3
2021-01-17,TN,47123,20.9,18.7,7.0,0.0,20.9,20.9
2021-01-24,TN,47123,11.7,10.6,5.7,0.0,11.7,11.7
2021-01-31,TN,47123,7.4,6.1,6.3,0.0,7.4,7.4
2021-02-07,TN,47123,0,0,5.0,0.0,0,0.0
2021-02-14,TN,47123,5.6,4.4,5.7,0,5.7,5.6
2021-02-21,TN,47123,4.4,0,4.6,0.0,4.4,4.4
2021-02-28,TN,47123,7.0,6.1,6.7,0.0,7.0,7.0
2021-03-07,TN,47123,0,0,5.3,0.0,0,0.0
2021-03-14,TN,47123,0,0,6.1,0.0,0,0.0
2021-03-21,TN,47123,5.3,0,5.0,0.0,5.3,5.3
2021-03-28,TN,47123,4.3,0,5.9,0.0,4.3,4.3
2021-04-04,TN,47123,0,0,6.7,0.0,0,0.0
2021-04-11,TN,47123,5.0,4.0,6.6,0.0,5.0,5.0
2021-04-18,TN,47123,7.1,6.0,6.9,0.0,7.1,7.1
2021-04-25,TN,47123,7.0,5.6,5.9,0.0,7.0,7.0
2021-05-02,TN,47123,7.3,6.3,6.6,0.0,7.3,7.3
2021-05-09,TN,47123,0,0,5.6,0.0,0,0.0
2021-05-16,TN,47123,0,0,6.6,0.0,0,0.0
2021-05-23,TN,47123,0,0,5.1,0.0,0,0.0
2021-05-30,TN,47123,0,0,5.0,0.0,0,0.0
2021-06-06,TN,47123,0,0.0,6.4,0.0,0,0.0
2021-06-13,TN,47123,0,0.0,5.1,0.0,0,0.0
2021-06-20,TN,47123,0.0,0.0,5.1,0.0,0.0,0.0
2021-06-27,TN,47123,0.0,0.0,4.7,0.0,0.0,0.0
2021-07-04,TN,47123,0.0,0.0,4.9,0.0,0.0,0.0
2021-07-11,TN,47123,0,0,6.6,0.0,0,0.0
2021-07-18,TN,47123,0,0,6.7,0.0,0,0.0
2021-07-25,TN,47123,6.9,6.3,7.0,0.0,6.9,6.9
2021-08-01,TN,47123,8.6,8.0,6.7,0.0,8.6,8.6
2021-08-08,TN,47123,15.4,15.1,7.0,0.0,15.4,15.4
2021-08-15,TN,47123,20.3,20.0,6.9,0.0,20.3,20.3
2021-08-22,TN,47123,27.0,25.0,7.0,0.0,27.0,27.0
2021-08-29,TN,47123,38.1,35.1,7.0,0.0,38.1,38.1
2021-09-05,TN,47123,37.9,34.6,7.0,0.0,37.9,37.9
2021-09-12,TN,47123,36.1,33.0,7.0,0.0,36.1,36.1
2021-09-19,TN,47123,26.7,22.7,7.0,0.0,26.7,26.7
2021-09-26,TN,47123,28.6,26.0,7.0,0.0,28.6,28.6
2021-10-03,TN,47123,18.3,15.7,7.0,0.0,18.3,18.3
2021-10-10,TN,47123,8.6,7.7,7.0,0.0,8.6,8.6
2021-10-17,TN,47123,9.7,8.1,7.0,0.0,9.7,9.7
2021-10-24,TN,47123,9.7,8.9,7.0,0.0,9.7,9.7
2021-10-31,TN,47123,5.6,0,6.6,0.0,5.6,5.6
2021-11-07,TN,47123,4.4,0,6.0,0.0,4.4,4.4
2021-11-14,TN,47123,0,0,6.0,0.0,0,0.0
2021-11-21,TN,47123,5.3,4.4,7.0,0.0,5.3,5.3
2021-11-28,TN,47123,7.6,6.1,6.6,0.0,7.6,7.6
2021-12-05,TN,47123,8.0,5.9,7.0,0.0,8.0,8.0
2021-12-12,TN,47123,6.9,6.6,7.0,0.0,6.9,6.9
2021-12-19,TN,47123,10.0,8.3,6.3,0.0,10.0,10.0
2021-12-26,TN,47123,11.1,8.4,5.0,0.0,11.1,11.1
