collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47141,32.3,22.6,30.4,0,32.4,32.3
2020-08-09,TN,47141,26.4,21.9,33.3,0.0,26.4,26.4
2020-08-16,TN,47141,30.1,22.3,29.6,0,30.3,30.1
2020-08-23,TN,47141,33.3,25.4,32.6,0.0,33.3,33.3
2020-08-30,TN,47141,38.7,27.9,35.3,0.0,38.7,38.7
2020-09-06,TN,47141,36.9,30.9,30.7,0.0,36.9,36.9
2020-09-13,TN,47141,33.6,28.4,34.7,0.0,33.6,33.6
2020-09-20,TN,47141,30.6,24.3,34.7,0.0,30.6,30.6
2020-09-27,TN,47141,32.7,27.0,34.7,0.0,32.7,32.7
2020-10-04,TN,47141,43.4,38.9,33.6,0.0,43.4,43.4
2020-10-11,TN,47141,53.0,46.7,32.7,0.0,53.0,53.0
2020-10-18,TN,47141,65.9,60.4,38.9,0.0,65.9,65.9
2020-10-25,TN,47141,65.3,61.3,36.4,0.0,65.3,65.3
2020-11-01,TN,47141,66.7,60.6,36.4,0.0,66.7,66.7
2020-11-08,TN,47141,60.6,58.3,37.4,0,60.7,60.6
2020-11-15,TN,47141,59.4,56.4,37.4,0.0,59.4,59.4
2020-11-22,TN,47141,62.4,58.4,35.0,0.0,62.4,62.4
2020-11-29,TN,47141,61.7,57.7,33.6,0,62.0,61.7
2020-12-06,TN,47141,57.3,52.4,36.7,0.0,57.3,57.3
2020-12-13,TN,47141,68.7,64.0,34.6,0.0,68.7,68.7
2020-12-20,TN,47141,77.0,70.9,35.9,0.0,77.0,77.0
2020-12-27,TN,47141,84.7,80.1,37.9,0.0,84.7,84.7
2021-01-03,TN,47141,74.0,71.6,39.4,0.0,74.0,74.0
2021-01-10,TN,47141,61.1,59.0,41.6,0,61.3,61.1
2021-01-17,TN,47141,55.7,53.7,40.1,0.0,55.7,55.7
2021-01-24,TN,47141,39.6,36.7,35.0,0.0,39.6,39.6
2021-01-31,TN,47141,20.3,17.5,35.9,0.0,20.3,20.3
2021-02-07,TN,47141,18.6,15.7,33.7,0.0,18.6,18.6
2021-02-14,TN,47141,18.3,16.4,34.1,0,18.4,18.3
2021-02-21,TN,47141,16.1,13.1,30.1,0,16.6,16.1
2021-02-28,TN,47141,14.9,12.1,32.1,0.0,14.9,14.9
2021-03-07,TN,47141,15.1,12.9,33.1,0.0,15.1,15.1
2021-03-14,TN,47141,15.4,14.7,33.0,0.0,15.4,15.4
2021-03-21,TN,47141,12.9,12.9,30.0,0.0,12.9,12.9
2021-03-28,TN,47141,10.7,10.7,26.6,0.0,10.7,10.7
2021-04-04,TN,47141,11.1,11.1,34.7,0.0,11.1,11.1
2021-04-11,TN,47141,17.9,17.9,33.4,0.0,17.9,17.9
2021-04-18,TN,47141,16.0,16.0,31.6,0.0,16.0,16.0
2021-04-25,TN,47141,17.7,17.7,31.3,0.0,17.7,17.7
2021-05-02,TN,47141,19.7,19.7,27.1,0.0,19.7,19.7
2021-05-09,TN,47141,18.1,18.1,29.0,0.0,18.1,18.1
2021-05-16,TN,47141,12.0,12.0,30.0,0.0,12.0,12.0
