collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47165,27.0,26.3,23.9,0.0,27.0,27.0
2020-08-09,TN,47165,23.1,21.4,20.4,0.0,23.1,23.1
2020-08-16,TN,47165,23.5,21.7,25.700000000000003,0.0,23.5,23.5
2020-08-23,TN,47165,20.5,19.6,22.0,0.0,20.5,20.5
2020-08-30,TN,47165,17.6,16.8,23.0,0.0,17.6,17.6
2020-09-06,TN,47165,22.299999999999997,22.0,24.2,0.0,22.299999999999997,22.299999999999997
2020-09-13,TN,47165,18.2,14.1,17.6,0.0,18.2,18.2
2020-09-20,TN,47165,17.9,11.0,22.3,0.0,17.9,17.9
2020-09-27,TN,47165,17.9,11.0,18.6,0.0,17.9,17.9
2020-10-04,TN,47165,26.1,20.0,22.0,0.0,26.1,26.1
2020-10-11,TN,47165,28.900000000000002,23.0,22.0,0.0,28.900000000000002,28.900000000000002
2020-10-18,TN,47165,30.299999999999997,25.200000000000003,21.700000000000003,0.0,30.299999999999997,30.299999999999997
2020-10-25,TN,47165,32.5,27.3,26.0,0.0,32.8,32.5
2020-11-01,TN,47165,36.3,28.700000000000003,27.7,0.0,36.3,36.3
2020-11-08,TN,47165,44.8,37.3,31.5,0.0,45.0,44.8
2020-11-15,TN,47165,50.3,45.6,30.7,0.0,50.3,50.3
2020-11-22,TN,47165,63.099999999999994,54.900000000000006,28.2,0.0,63.099999999999994,63.099999999999994
2020-11-29,TN,47165,72.8,65.1,32.3,0.0,72.8,72.8
2020-12-06,TN,47165,73.8,69.9,30.9,0.0,73.8,73.8
2020-12-13,TN,47165,87.30000000000001,82.1,34.8,0.0,87.30000000000001,87.30000000000001
2020-12-20,TN,47165,81.69999999999999,77.6,32.1,0.0,81.69999999999999,81.69999999999999
2020-12-27,TN,47165,85.2,81.6,31.7,0.0,85.4,85.2
2021-01-03,TN,47165,77.6,71.3,34.4,0.0,77.9,77.6
2021-01-10,TN,47165,77.9,73.9,33.3,0.0,77.9,77.9
2021-01-17,TN,47165,61.900000000000006,59.6,34.9,0.0,61.900000000000006,61.900000000000006
2021-01-24,TN,47165,52.1,50.0,32.1,0.0,52.1,52.1
2021-01-31,TN,47165,44.8,43.599999999999994,30.799999999999997,0.0,44.8,44.8
2021-02-07,TN,47165,38.8,37.3,31.099999999999998,0.0,38.8,38.8
2021-02-14,TN,47165,34.900000000000006,33.7,25.7,0.0,34.900000000000006,34.900000000000006
2021-02-21,TN,47165,25.4,24.6,29.7,0.0,25.4,25.4
