collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TN,47179,27.9,27.1,31.0,0.0,28.1,27.9
2020-08-09,TN,47179,36.7,34.3,31.7,0.0,37.9,36.7
2020-08-16,TN,47179,34.1,33.1,35.0,0.0,34.4,34.1
2020-08-23,TN,47179,38.0,37.7,34.6,0.0,38.3,38.0
2020-08-30,TN,47179,34.4,33.9,33.4,0.0,35.1,34.4
2020-09-06,TN,47179,29.1,29.1,31.3,0.0,29.1,29.1
2020-09-13,TN,47179,34.7,31.6,31.7,0.0,34.7,34.7
2020-09-20,TN,47179,29.4,29.1,33.1,0.0,29.7,29.4
2020-09-27,TN,47179,28.6,27.6,36.6,0.0,29.799999999999997,28.6
2020-10-04,TN,47179,32.7,31.9,36.0,0.0,32.7,32.7
2020-10-11,TN,47179,29.700000000000003,28.9,34.9,0.0,30.0,29.700000000000003
2020-10-18,TN,47179,36.9,36.0,35.9,0.0,37.3,36.9
2020-10-25,TN,47179,52.0,51.0,31.9,0.0,53.4,52.0
2020-11-01,TN,47179,57.6,57.199999999999996,31.3,0.0,59.6,57.6
2020-11-08,TN,47179,67.5,65.60000000000001,32.2,0.0,69.5,67.5
2020-11-15,TN,47179,70.0,69.0,26.0,0.0,70.4,70.0
2020-11-22,TN,47179,63.2,62.9,32.1,0.0,65.1,63.2
2020-11-29,TN,47179,85.89999999999999,85.0,36.1,4.4,90.3,90.3
2020-12-06,TN,47179,88.0,87.0,30.6,5.4,93.4,93.4
2020-12-13,TN,47179,97.89999999999999,97.5,35.4,4.3,102.19999999999999,102.19999999999999
2020-12-20,TN,47179,96.7,95.9,36.1,0.0,98.7,96.7
2020-12-27,TN,47179,96.1,94.80000000000001,36.1,0.0,97.30000000000001,96.1
2021-01-03,TN,47179,106.4,105.10000000000001,39.6,0.0,108.4,106.4
2021-01-10,TN,47179,77.0,76.7,44.1,0.0,78.5,77.0
2021-01-17,TN,47179,60.3,59.099999999999994,46.1,4.0,64.3,64.3
2021-01-24,TN,47179,45.9,45.4,44.3,0.0,47.3,45.9
2021-01-31,TN,47179,34.3,34.0,35.0,0.0,34.3,34.3
2021-02-07,TN,47179,32.3,32.1,39.7,0.0,32.3,32.3
2021-02-14,TN,47179,24.6,24.2,40.4,0.0,27.3,24.6
2021-02-21,TN,47179,18.0,17.0,35.1,0.0,19.1,18.0
2021-02-28,TN,47179,13.7,12.6,34.0,0.0,14.4,13.7
2021-03-07,TN,47179,16.0,13.9,36.7,0.0,16.1,16.0
2021-03-14,TN,47179,17.8,17.2,38.1,0.0,18.8,17.8
2021-03-21,TN,47179,24.5,22.8,42.6,0.0,24.799999999999997,24.5
2021-03-28,TN,47179,21.7,21.4,40.7,0.0,22.6,21.7
2021-04-04,TN,47179,29.4,27.3,46.0,0.0,30.5,29.4
2021-04-11,TN,47179,22.7,22.0,47.1,0.0,23.0,22.7
2021-04-18,TN,47179,26.200000000000003,24.6,42.9,0.0,26.200000000000003,26.200000000000003
2021-04-25,TN,47179,31.5,29.6,43.7,0.0,32.7,31.5
2021-05-02,TN,47179,26.3,25.1,45.3,0.0,27.099999999999998,26.3
2021-05-09,TN,47179,23.2,22.0,43.4,0.0,24.6,23.2
2021-05-16,TN,47179,17.6,12.4,42.4,0.0,18.3,17.6
2021-05-23,TN,47179,15.4,15.0,47.4,0.0,16.4,15.4
2021-05-30,TN,47179,8.3,7.7,46.0,0.0,10.0,8.3
2021-06-06,TN,47179,8.7,8.1,44.4,0.0,9.3,8.7
2021-06-13,TN,47179,11.3,8.7,43.9,0.0,12.6,11.3
2021-06-20,TN,47179,11.9,10.0,46.9,0.0,13.4,11.9
2021-06-27,TN,47179,7.0,5.4,45.4,0.0,7.4,7.0
2021-07-04,TN,47179,6.1,4.9,47.4,0.0,6.1,6.1
2021-07-11,TN,47179,8.3,7.4,42.9,0.0,8.7,8.3
2021-07-18,TN,47179,12.6,12.1,46.0,0.0,12.7,12.6
2021-07-25,TN,47179,17.3,15.3,44.6,0.0,17.6,17.3
2021-08-01,TN,47179,33.2,32.0,45.3,0.0,36.2,33.2
2021-08-08,TN,47179,47.2,45.800000000000004,45.6,0.0,50.5,47.2
2021-08-15,TN,47179,57.6,55.7,38.9,0.0,60.1,57.6
2021-08-22,TN,47179,87.0,85.2,43.9,7.9,94.9,94.9
2021-08-29,TN,47179,102.5,99.60000000000001,48.0,9.1,111.6,111.6
2021-09-05,TN,47179,113.4,111.5,47.9,8.4,121.8,121.80000000000001
2021-09-12,TN,47179,113.3,111.19999999999999,49.0,4.0,117.3,117.3
2021-09-19,TN,47179,101.5,100.39999999999999,43.6,4.3,106.0,105.8
2021-09-26,TN,47179,91.80000000000001,87.89999999999999,46.1,4.4,96.19999999999999,96.20000000000002
2021-10-03,TN,47179,84.19999999999999,81.0,47.7,4.3,88.5,88.49999999999999
2021-10-10,TN,47179,59.7,57.9,45.6,0.0,61.800000000000004,59.7
2021-10-17,TN,47179,50.0,49.3,47.4,0.0,51.800000000000004,50.0
2021-10-24,TN,47179,47.7,47.4,45.7,0.0,48.7,47.7
2021-10-31,TN,47179,37.8,37.0,44.3,0.0,41.0,37.8
2021-11-07,TN,47179,36.6,35.0,46.6,0.0,39.7,36.6
2021-11-14,TN,47179,34.0,32.9,46.9,0.0,35.9,34.0
2021-11-21,TN,47179,48.0,47.7,44.7,0.0,48.7,48.0
2021-11-28,TN,47179,59.099999999999994,58.8,51.3,0.0,62.0,59.099999999999994
2021-12-05,TN,47179,55.0,55.0,46.4,0.0,57.5,55.0
2021-12-12,TN,47179,61.0,60.0,46.6,4.4,65.4,65.4
2021-12-19,TN,47179,51.7,51.2,45.7,0.0,54.2,51.7
2021-12-26,TN,47179,57.599999999999994,57.400000000000006,48.3,0.0,58.0,57.599999999999994
