collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48005,51.4,49.8,19.1,0.0,51.4,51.4
2020-08-09,TX,48005,44.0,42.0,22.9,0.0,44.0,44.0
2020-08-16,TX,48005,35.9,33.1,26.1,0.0,37.5,35.9
2020-08-23,TX,48005,31.500000000000004,29.2,33.699999999999996,0.0,33.0,31.500000000000004
2020-08-30,TX,48005,26.7,25.1,37.4,0.0,26.7,26.7
2020-09-06,TX,48005,20.0,19.5,41.2,0.0,20.0,20.0
2020-09-13,TX,48005,21.400000000000002,21.2,35.4,0.0,21.400000000000002,21.400000000000002
2020-09-20,TX,48005,27.799999999999997,27.799999999999997,44.9,0.0,27.799999999999997,27.799999999999997
2020-09-27,TX,48005,29.1,29.1,35.2,0.0,29.1,29.1
2020-10-04,TX,48005,28.5,28.3,38.9,0.0,28.5,28.5
2020-10-11,TX,48005,20.4,18.4,36.5,0.0,20.4,20.4
2020-10-18,TX,48005,16.4,15.8,39.5,0.0,16.4,16.4
2020-10-25,TX,48005,22.3,21.700000000000003,39.9,0.0,22.3,22.3
2020-11-01,TX,48005,25.799999999999997,25.799999999999997,34.1,0.0,25.799999999999997,25.799999999999997
2020-11-08,TX,48005,21.8,21.5,35.0,0.0,21.8,21.8
2020-11-15,TX,48005,30.799999999999997,30.799999999999997,32.2,0.0,30.799999999999997,30.799999999999997
2020-11-22,TX,48005,38.3,38.3,38.5,0.0,38.3,38.3
2020-11-29,TX,48005,49.3,49.2,37.0,0.0,49.400000000000006,49.3
2020-12-06,TX,48005,50.4,49.2,34.3,0.0,50.4,50.4
2020-12-13,TX,48005,47.3,47.199999999999996,35.2,0.0,47.3,47.3
2020-12-20,TX,48005,49.199999999999996,49.199999999999996,30.799999999999997,0.0,49.199999999999996,49.199999999999996
2020-12-27,TX,48005,56.4,56.4,32.7,0.0,56.4,56.4
2021-01-03,TX,48005,81.2,80.7,48.7,0.0,81.2,81.2
2021-01-10,TX,48005,86.9,77.6,36.7,0.0,86.9,86.9
2021-01-17,TX,48005,80.10000000000001,76.3,33.3,0.0,80.10000000000001,80.10000000000001
2021-01-24,TX,48005,71.6,69.4,33.900000000000006,0.0,71.6,71.6
2021-01-31,TX,48005,55.6,54.9,34.3,0.0,55.6,55.6
2021-02-07,TX,48005,58.7,54.7,40.0,0.0,58.7,58.7
2021-02-14,TX,48005,53.099999999999994,50.8,43.400000000000006,0.0,53.099999999999994,53.099999999999994
2021-02-21,TX,48005,36.099999999999994,36.099999999999994,47.2,0.0,37.4,36.099999999999994
2021-02-28,TX,48005,33.5,33.5,49.199999999999996,0.0,33.5,33.5
2021-03-07,TX,48005,25.4,25.4,42.599999999999994,0.0,25.4,25.4
2021-03-14,TX,48005,25.4,25.4,39.4,0.0,25.4,25.4
2021-03-21,TX,48005,17.5,17.5,39.3,0.0,17.5,17.5
2021-03-28,TX,48005,15.299999999999999,15.299999999999999,37.6,0.0,15.299999999999999,15.299999999999999
2021-04-04,TX,48005,17.2,17.1,35.5,0.0,17.2,17.2
2021-04-11,TX,48005,15.600000000000001,15.600000000000001,38.4,0.0,15.600000000000001,15.600000000000001
2021-04-18,TX,48005,21.0,21.0,38.0,0.0,21.0,21.0
2021-04-25,TX,48005,18.1,18.1,38.6,0.0,18.1,18.1
2021-05-02,TX,48005,9.4,9.4,33.8,0.0,9.4,9.4
2021-05-09,TX,48005,7.6,7.6,38.0,0.0,7.6,7.6
2021-05-16,TX,48005,5.9,5.9,33.7,0.0,5.9,5.9
2021-05-23,TX,48005,0,0,29.3,0.0,0,0.0
2021-05-30,TX,48005,0,0,25.8,0.0,0,0.0
2021-06-06,TX,48005,4.9,4.9,31.4,0.0,4.9,4.9
2021-06-13,TX,48005,4.4,4.4,25.0,0.0,4.4,4.4
2021-06-20,TX,48005,0,0,30.8,0.0,0,0.0
2021-06-27,TX,48005,0,0,27.1,0.0,0,0.0
2021-07-04,TX,48005,0,0,14.9,0.0,0,0.0
2021-07-11,TX,48005,0.0,0.0,26.6,0.0,0.0,0.0
2021-07-18,TX,48005,5.9,5.9,28.1,0.0,5.9,5.9
2021-07-25,TX,48005,19.2,19.2,27.500000000000004,0.0,19.2,19.2
2021-08-01,TX,48005,28.799999999999997,28.799999999999997,33.9,0.0,28.799999999999997,28.799999999999997
2021-08-08,TX,48005,52.1,52.1,35.0,0.0,52.1,52.1
2021-08-15,TX,48005,66.7,66.7,40.199999999999996,0.0,66.7,66.7
2021-08-22,TX,48005,74.7,74.7,30.8,0.0,74.7,74.7
2021-08-29,TX,48005,72.1,72.1,34.0,0.0,72.1,72.1
2021-09-05,TX,48005,75.29999999999998,75.29999999999998,32.8,0.0,75.29999999999998,75.29999999999998
2021-09-12,TX,48005,75.4,74.9,34.3,0.0,75.4,75.4
2021-09-19,TX,48005,70.1,70.0,32.4,0.0,70.1,70.1
2021-09-26,TX,48005,59.199999999999996,59.0,39.300000000000004,0.0,59.199999999999996,59.199999999999996
2021-10-03,TX,48005,51.2,48.6,33.5,0.0,51.2,51.2
2021-10-10,TX,48005,40.5,37.3,40.6,0.0,40.5,40.5
2021-10-17,TX,48005,23.5,23.200000000000003,30.200000000000003,0.0,23.5,23.5
2021-10-24,TX,48005,20.8,20.5,36.400000000000006,0.0,20.8,20.8
2021-10-31,TX,48005,11.5,11.5,30.1,0.0,13.700000000000001,11.5
2021-11-07,TX,48005,8.0,6.7,30.7,0.0,8.0,8.0
2021-11-14,TX,48005,0.0,0.0,21.7,0.0,0.0,0.0
2021-11-21,TX,48005,0.0,0.0,23.0,0.0,0.0,0.0
