collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48027,115.3,61.6,78.6,0.0,116.0,115.3
2020-08-09,TX,48027,93.79999999999998,57.5,60.599999999999994,0.0,93.89999999999999,93.79999999999998
2020-08-16,TX,48027,111.30000000000001,60.7,71.8,0.0,112.0,111.30000000000001
2020-08-23,TX,48027,95.3,48.8,91.49999999999999,0.0,95.7,95.3
2020-08-30,TX,48027,84.2,47.599999999999994,88.99999999999999,0.0,84.6,84.2
2020-09-06,TX,48027,64.2,39.199999999999996,87.4,0.0,64.60000000000001,64.2
2020-09-13,TX,48027,40.5,28.0,85.3,0.0,40.5,40.5
2020-09-20,TX,48027,28.099999999999998,21.7,83.8,0.0,29.099999999999998,28.099999999999998
2020-09-27,TX,48027,32.4,21.4,86.6,0.0,33.6,32.4
2020-10-04,TX,48027,25.1,17.9,98.3,0.0,25.1,25.1
2020-10-11,TX,48027,32.800000000000004,29.4,87.3,0.0,32.800000000000004,32.800000000000004
2020-10-18,TX,48027,41.7,36.7,91.0,0.0,44.8,41.7
2020-10-25,TX,48027,47.300000000000004,40.6,90.60000000000001,4.0,51.300000000000004,51.300000000000004
2020-11-01,TX,48027,47.3,45.1,97.3,4.0,51.300000000000004,51.3
2020-11-08,TX,48027,55.50000000000001,50.6,87.49999999999999,0.0,56.9,55.50000000000001
2020-11-15,TX,48027,67.5,63.6,97.0,0.0,69.8,67.5
2020-11-22,TX,48027,77.1,75.5,93.89999999999999,0.0,80.1,77.1
2020-11-29,TX,48027,102.0,99.0,89.7,0.0,103.1,102.0
2020-12-06,TX,48027,112.9,109.2,85.19999999999999,0.0,115.00000000000001,112.9
2020-12-13,TX,48027,123.89999999999999,119.6,88.60000000000001,0.0,126.69999999999999,123.89999999999999
2020-12-20,TX,48027,147.3,143.9,87.6,0.0,150.1,147.3
2020-12-27,TX,48027,166.60000000000002,163.00000000000003,95.7,4.4,171.10000000000002,171.00000000000003
2021-01-03,TX,48027,192.5,187.20000000000002,102.2,0.0,195.1,192.5
2021-01-10,TX,48027,211.10000000000002,205.10000000000002,115.00000000000001,0.0,214.3,211.10000000000002
2021-01-17,TX,48027,183.10000000000002,177.9,112.30000000000001,0.0,185.8,183.10000000000002
2021-01-24,TX,48027,173.6,170.2,105.89999999999999,0.0,175.3,173.6
2021-01-31,TX,48027,126.6,123.8,98.0,0.0,128.0,126.6
2021-02-07,TX,48027,92.8,90.0,96.9,0.0,94.99999999999999,92.8
2021-02-14,TX,48027,79.3,76.10000000000001,98.3,0.0,82.2,79.3
2021-02-21,TX,48027,73.10000000000001,68.0,103.4,0.0,76.4,73.10000000000001
2021-02-28,TX,48027,59.3,57.699999999999996,99.79999999999998,0.0,62.4,59.3
2021-03-07,TX,48027,38.3,37.7,88.80000000000001,0.0,40.9,38.3
2021-03-14,TX,48027,42.0,39.599999999999994,82.0,0.0,43.0,42.0
2021-03-21,TX,48027,34.800000000000004,33.599999999999994,87.4,0.0,36.6,34.800000000000004
2021-03-28,TX,48027,37.0,35.3,83.20000000000002,0.0,38.4,37.0
2021-04-04,TX,48027,40.5,38.1,84.0,0.0,42.300000000000004,40.5
2021-04-11,TX,48027,41.7,39.3,89.19999999999999,0.0,42.800000000000004,41.7
2021-04-18,TX,48027,58.2,32.4,80.49999999999999,0.0,58.800000000000004,58.2
2021-04-25,TX,48027,52.50000000000001,31.699999999999996,80.89999999999999,0.0,53.50000000000001,52.50000000000001
2021-05-02,TX,48027,48.699999999999996,24.400000000000002,88.8,0.0,49.199999999999996,48.699999999999996
2021-05-09,TX,48027,56.400000000000006,29.4,85.6,0.0,56.800000000000004,56.400000000000006
2021-05-16,TX,48027,68.4,29.0,91.0,0.0,70.2,68.4
2021-05-23,TX,48027,70.19999999999999,20.7,79.8,0.0,70.69999999999999,70.19999999999999
2021-05-30,TX,48027,40.4,14.6,76.2,0.0,41.9,40.4
2021-06-06,TX,48027,49.4,16.6,82.30000000000001,0.0,50.7,49.4
2021-06-13,TX,48027,34.7,16.7,82.19999999999999,0.0,36.3,34.7
2021-06-20,TX,48027,44.7,14.7,87.10000000000001,0.0,45.9,44.7
2021-06-27,TX,48027,72.9,21.9,82.70000000000002,0.0,73.0,72.9
2021-07-04,TX,48027,60.800000000000004,28.5,87.5,0.0,61.0,60.800000000000004
