collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48029,781.4000000000001,758.3000000000001,551.6,13.7,797.0,795.1000000000001
2020-08-09,TX,48029,702.7,672.5999999999999,553.0,4.6,717.1000000000001,707.3000000000001
2020-08-16,TX,48029,542.0,510.59999999999997,540.9,6.4,551.8,548.4
2020-08-23,TX,48029,414.9,398.3,499.90000000000003,9.4,424.79999999999995,424.29999999999995
2020-08-30,TX,48029,341.49999999999994,332.2,473.0,6.9,351.79999999999995,348.3999999999999
2020-09-06,TX,48029,295.2,275.5,474.3,6.7,306.5,301.9
2020-09-13,TX,48029,226.99999999999997,212.5,456.40000000000003,9.5,243.9,236.49999999999997
2020-09-20,TX,48029,210.4,197.39999999999998,438.6,4.4,223.7,214.8
2020-09-27,TX,48029,219.9,207.60000000000002,448.40000000000003,0.0,226.6,219.9
2020-10-04,TX,48029,203.5,188.6,458.2,0.0,208.2,203.5
2020-10-11,TX,48029,198.6,183.89999999999998,465.4,0.0,204.7,198.6
2020-10-18,TX,48029,203.29999999999998,188.0,486.9,0.0,208.10000000000002,203.29999999999998
2020-10-25,TX,48029,239.99999999999997,224.99999999999997,463.0,0.0,243.99999999999997,239.99999999999997
2020-11-01,TX,48029,259.40000000000003,246.19999999999996,503.9,0.0,264.40000000000003,259.40000000000003
2020-11-08,TX,48029,304.40000000000003,287.49999999999994,512.1999999999999,5.9,315.29999999999995,310.3
2020-11-15,TX,48029,386.2,366.40000000000003,477.80000000000007,10.5,398.00000000000006,396.7
2020-11-22,TX,48029,484.20000000000005,464.8,511.4,10.3,496.9,494.50000000000006
2020-11-29,TX,48029,546.5999999999999,524.9,506.5,4.1,553.4,550.6999999999999
2020-12-06,TX,48029,634.4000000000001,612.9999999999999,547.2,6.0,646.8,640.4000000000001
2020-12-13,TX,48029,767.1,748.5999999999999,605.7,5.9,778.8,773.0
2020-12-20,TX,48029,855.2,837.9,609.4,5.6,869.3,860.8000000000001
2020-12-27,TX,48029,980.9999999999999,962.5,627.3000000000001,10.0,994.8000000000001,990.9999999999999
2021-01-03,TX,48029,1167.7999999999997,1145.7000000000003,647.8000000000001,13.600000000000001,1188.6999999999998,1181.3999999999996
2021-01-10,TX,48029,1240.9,1221.3,649.3,9.7,1257.3,1250.6000000000001
2021-01-17,TX,48029,1290.0,1273.8,649.4,15.8,1309.0999999999997,1305.8
2021-01-24,TX,48029,1217.1000000000001,1201.7,658.6999999999999,17.299999999999997,1240.9,1234.4
2021-01-31,TX,48029,1037.1,1021.3,651.3,15.5,1057.8999999999999,1052.6
2021-02-07,TX,48029,861.1,840.5,601.4,22.0,886.0999999999999,883.1
2021-02-14,TX,48029,712.3999999999999,697.4,631.9,16.700000000000003,735.4000000000001,729.0999999999999
2021-02-21,TX,48029,589.7,579.1,598.6,12.0,606.3,601.7
2021-02-28,TX,48029,448.59999999999997,435.4,588.8000000000001,5.9,458.29999999999995,454.49999999999994
2021-03-07,TX,48029,341.5,331.5,545.3,0.0,346.79999999999995,341.5
2021-03-14,TX,48029,282.4,271.6,506.7,0.0,286.0,282.4
2021-03-21,TX,48029,227.2,216.5,505.9,0.0,231.2,227.2
2021-03-28,TX,48029,200.29999999999998,186.5,509.5,0.0,206.1,200.29999999999998
2021-04-04,TX,48029,204.20000000000002,195.0,511.0,0.0,207.70000000000002,204.20000000000002
2021-04-11,TX,48029,204.0,190.8,503.59999999999997,0.0,207.5,204.0
2021-04-18,TX,48029,214.1,204.4,492.0,0.0,217.9,214.1
2021-04-25,TX,48029,213.0,203.1,501.5,0.0,218.0,213.0
2021-05-02,TX,48029,185.9,177.8,507.1,0.0,191.3,185.9
2021-05-09,TX,48029,178.0,167.3,492.79999999999995,0.0,182.70000000000002,178.0
2021-05-16,TX,48029,154.7,143.0,472.0,0.0,156.9,154.7
2021-05-23,TX,48029,138.0,127.0,476.79999999999995,0.0,141.79999999999998,138.0
2021-05-30,TX,48029,129.9,116.8,458.30000000000007,4.7,136.6,134.6
2021-06-06,TX,48029,125.80000000000001,112.69999999999999,487.19999999999993,0.0,131.8,125.80000000000001
2021-06-13,TX,48029,139.1,123.0,477.7,0.0,142.0,139.1
2021-06-20,TX,48029,139.9,128.8,484.79999999999995,0.0,145.1,139.9
