collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48041,55.5,49.699999999999996,40.599999999999994,0.0,55.699999999999996,55.5
2020-08-09,TX,48041,41.0,36.9,31.300000000000004,0.0,41.1,41.0
2020-08-16,TX,48041,28.5,23.3,24.900000000000002,0.0,28.5,28.5
2020-08-23,TX,48041,18.799999999999997,15.0,22.9,0.0,18.799999999999997,18.799999999999997
2020-08-30,TX,48041,22.5,18.700000000000003,32.6,0.0,22.5,22.5
2020-09-06,TX,48041,17.0,15.2,25.4,0.0,17.4,17.0
2020-09-13,TX,48041,7.3,7.1,28.0,0.0,7.9,7.3
2020-09-20,TX,48041,13.1,11.9,17.5,0.0,13.5,13.1
2020-09-27,TX,48041,19.0,16.700000000000003,24.9,0.0,19.200000000000003,19.0
2020-10-04,TX,48041,25.5,23.9,29.0,0.0,25.5,25.5
2020-10-11,TX,48041,36.0,32.7,35.4,0.0,36.3,36.0
2020-10-18,TX,48041,48.0,43.4,34.5,0.0,48.400000000000006,48.0
2020-10-25,TX,48041,58.0,54.1,35.6,0.0,58.2,58.0
2020-11-01,TX,48041,64.2,59.5,35.8,0.0,64.6,64.2
2020-11-08,TX,48041,64.7,60.1,38.400000000000006,0.0,65.0,64.7
2020-11-15,TX,48041,71.3,67.4,40.9,0.0,72.0,71.3
2020-11-22,TX,48041,73.9,68.19999999999999,38.1,0.0,74.9,73.9
2020-11-29,TX,48041,71.30000000000001,67.4,37.3,0.0,71.5,71.30000000000001
2020-12-06,TX,48041,61.4,57.3,38.099999999999994,0.0,62.3,61.4
2020-12-13,TX,48041,77.0,74.9,42.9,0.0,77.5,77.0
2020-12-20,TX,48041,98.9,90.5,39.0,0.0,99.4,98.9
2020-12-27,TX,48041,120.8,113.0,48.1,0.0,121.10000000000001,120.8
2021-01-03,TX,48041,153.0,144.70000000000002,58.6,0.0,153.8,153.0
2021-01-10,TX,48041,145.20000000000002,141.8,66.4,0.0,145.70000000000002,145.20000000000002
2021-01-17,TX,48041,123.20000000000002,119.5,67.9,0.0,123.4,123.20000000000002
2021-01-24,TX,48041,92.5,88.2,66.0,0.0,92.5,92.5
2021-01-31,TX,48041,80.4,75.5,65.4,0.0,80.9,80.4
2021-02-07,TX,48041,62.2,59.0,58.0,0.0,62.2,62.2
2021-02-14,TX,48041,56.9,54.4,59.0,0.0,56.9,56.9
2021-02-21,TX,48041,58.5,52.3,58.300000000000004,0.0,58.800000000000004,58.5
2021-02-28,TX,48041,45.7,42.3,43.7,0.0,46.2,45.7
2021-03-07,TX,48041,36.099999999999994,34.2,46.7,0.0,36.099999999999994,36.099999999999994
2021-03-14,TX,48041,25.4,25.1,46.8,0.0,25.4,25.4
2021-03-21,TX,48041,28.8,28.5,45.8,0.0,28.8,28.8
2021-03-28,TX,48041,38.4,38.4,44.1,0.0,38.4,38.4
2021-04-04,TX,48041,33.3,33.3,44.3,0.0,33.400000000000006,33.3
2021-04-11,TX,48041,33.0,26.299999999999997,42.7,0.0,33.8,33.0
2021-04-18,TX,48041,28.3,26.0,36.8,0.0,28.3,28.3
2021-04-25,TX,48041,25.3,25.3,33.7,0.0,25.4,25.3
2021-05-02,TX,48041,24.2,24.2,35.3,0.0,24.2,24.2
2021-05-09,TX,48041,17.1,17.1,37.900000000000006,0.0,17.1,17.1
2021-05-16,TX,48041,19.8,19.8,41.0,0.0,19.8,19.8
2021-05-23,TX,48041,20.799999999999997,20.5,40.2,0.0,21.1,20.799999999999997
2021-05-30,TX,48041,18.3,17.5,39.0,0.0,18.4,18.3
2021-06-06,TX,48041,23.1,23.1,35.5,0.0,23.1,23.1
2021-06-13,TX,48041,32.8,32.8,41.400000000000006,0.0,32.8,32.8
2021-06-20,TX,48041,25.5,25.3,37.8,0.0,25.5,25.5
2021-06-27,TX,48041,30.400000000000002,30.400000000000002,37.0,0.0,30.400000000000002,30.400000000000002
2021-07-04,TX,48041,26.5,26.5,35.900000000000006,0.0,26.5,26.5
2021-07-11,TX,48041,35.5,35.5,41.7,0.0,35.5,35.5
2021-07-18,TX,48041,48.6,48.4,45.099999999999994,0.0,48.6,48.6
2021-07-25,TX,48041,66.4,66.3,46.9,0.0,66.80000000000001,66.4
2021-08-01,TX,48041,89.6,79.5,43.099999999999994,0.0,90.6,89.6
2021-08-08,TX,48041,117.5,117.5,49.7,0.0,118.19999999999999,117.5
2021-08-15,TX,48041,126.1,126.1,52.4,0.0,126.4,126.1
2021-08-22,TX,48041,143.4,143.4,54.2,0.0,143.4,143.4
2021-08-29,TX,48041,147.8,147.8,55.0,0.0,148.6,147.8
2021-09-05,TX,48041,132.7,132.2,53.8,0.0,133.0,132.7
2021-09-12,TX,48041,119.19999999999999,118.6,55.5,0.0,119.19999999999999,119.19999999999999
2021-09-19,TX,48041,98.9,98.9,54.3,0.0,98.9,98.9
2021-09-26,TX,48041,88.9,88.9,55.300000000000004,0.0,88.9,88.9
2021-10-03,TX,48041,67.6,67.6,50.0,0.0,67.9,67.6
2021-10-10,TX,48041,44.7,44.7,47.9,0.0,44.800000000000004,44.7
2021-10-17,TX,48041,30.400000000000002,30.400000000000002,45.1,0.0,30.400000000000002,30.400000000000002
2021-10-24,TX,48041,24.0,24.0,42.0,0.0,24.0,24.0
2021-10-31,TX,48041,11.1,11.1,39.400000000000006,0.0,11.1,11.1
2021-11-07,TX,48041,9.4,9.4,39.3,0.0,9.4,9.4
2021-11-14,TX,48041,13.2,13.2,42.0,0.0,13.2,13.2
2021-11-21,TX,48041,14.9,14.9,41.5,0.0,14.9,14.9
2021-11-28,TX,48041,6.0,6.0,36.4,0.0,6.0,6.0
2021-12-05,TX,48041,0.0,0.0,37.4,0.0,0.0,0.0
2021-12-12,TX,48041,12.3,12.3,36.400000000000006,0.0,12.3,12.3
2021-12-19,TX,48041,16.4,16.4,35.099999999999994,0.0,16.4,16.4
2021-12-26,TX,48041,43.2,43.2,33.1,0.0,43.2,43.2
