collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48053,5.7,0.0,0.0,0.0,5.7,5.7
2020-08-09,TX,48053,8.6,4.4,5.6,0.0,10.0,8.6
2020-08-16,TX,48053,7.0,5.4,5.1,0.0,7.0,7.0
2020-08-23,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,TX,48053,5.0,0.0,4.7,0.0,5.0,5.0
2020-09-06,TX,48053,4.3,0.0,0.0,0.0,4.3,4.3
2020-09-13,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,TX,48053,0.0,0.0,4.4,0.0,0.0,0.0
2020-10-11,TX,48053,0.0,0.0,4.4,0.0,0.0,0.0
2020-10-18,TX,48053,0.0,0.0,4.4,0.0,0.0,0.0
2020-10-25,TX,48053,4.1,0.0,4.9,0.0,4.1,4.1
2020-11-01,TX,48053,9.7,7.4,5.1,0.0,10.3,9.7
2020-11-08,TX,48053,12.7,10.3,7.6,0.0,12.7,12.7
2020-11-15,TX,48053,10.6,10.0,6.0,0.0,10.6,10.6
2020-11-22,TX,48053,10.1,9.4,6.7,0.0,10.1,10.1
2020-11-29,TX,48053,9.7,9.4,6.6,0.0,9.7,9.7
2020-12-06,TX,48053,13.9,13.6,7.3,0.0,13.9,13.9
2020-12-13,TX,48053,11.3,11.3,6.4,0.0,11.3,11.3
2020-12-20,TX,48053,14.0,14.0,6.0,0.0,14.0,14.0
2020-12-27,TX,48053,14.7,14.6,7.4,0.0,14.7,14.7
2021-01-03,TX,48053,17.7,17.0,7.4,0.0,17.7,17.7
2021-01-10,TX,48053,17.6,16.7,7.6,0.0,17.6,17.6
2021-01-17,TX,48053,15.0,14.9,7.4,0.0,15.0,15.0
2021-01-24,TX,48053,13.0,13.0,6.9,0.0,13.0,13.0
2021-01-31,TX,48053,13.4,13.1,6.9,0.0,13.4,13.4
2021-02-07,TX,48053,13.1,12.6,6.6,0.0,13.1,13.1
2021-02-14,TX,48053,11.0,9.8,7.3,0.0,11.0,11.0
2021-02-21,TX,48053,6.4,4.6,7.1,0.0,6.4,6.4
2021-02-28,TX,48053,5.0,4.4,6.7,0.0,5.0,5.0
2021-03-07,TX,48053,5.1,4.4,9.6,0.0,5.1,5.1
2021-03-14,TX,48053,5.4,5.4,5.4,0.0,5.4,5.4
2021-03-21,TX,48053,0.0,0.0,5.6,0.0,0.0,0.0
2021-03-28,TX,48053,0.0,0.0,4.3,0.0,0.0,0.0
2021-04-04,TX,48053,0.0,0.0,5.0,0.0,0.0,0.0
2021-04-11,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,TX,48053,0.0,0.0,5.0,0.0,0.0,0.0
2021-05-09,TX,48053,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,TX,48053,0.0,0.0,4.7,0.0,0.0,0.0
