collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48073,14.4,9.3,5.6,0.0,14.4,14.4
2020-08-09,TX,48073,9.1,9.1,4.7,0.0,9.1,9.1
2020-08-16,TX,48073,6.4,6.4,0.0,0.0,6.4,6.4
2020-08-23,TX,48073,5.3,4.7,0.0,0.0,5.3,5.3
2020-08-30,TX,48073,6.6,6.6,5.3,0.0,6.6,6.6
2020-09-06,TX,48073,5.6,5.6,0.0,0.0,5.6,5.6
2020-09-13,TX,48073,0,0,0.0,0.0,0,0.0
2020-09-20,TX,48073,0,0,0.0,0.0,0,0.0
2020-09-27,TX,48073,4.0,4.0,4.0,0.0,4.0,4.0
2020-10-04,TX,48073,12.0,11.6,4.6,0.0,12.0,12.0
2020-10-11,TX,48073,11.9,10.9,4.1,0.0,11.9,11.9
2020-10-18,TX,48073,10.7,10.3,4.7,0.0,10.7,10.7
2020-10-25,TX,48073,0,0,0.0,0.0,0,0.0
2020-11-01,TX,48073,6.7,6.1,4.7,0.0,6.7,6.7
2020-11-08,TX,48073,14.8,14.2,5.7,0.0,14.8,14.8
2020-11-15,TX,48073,19.7,18.9,5.9,0.0,19.7,19.7
2020-11-22,TX,48073,18.4,17.799999999999997,4.9,0.0,18.4,18.4
2020-11-29,TX,48073,17.3,16.8,4.9,0.0,17.3,17.3
2020-12-06,TX,48073,19.4,18.6,4.0,0.0,19.4,19.4
2020-12-13,TX,48073,18.8,18.4,5.3,0.0,18.8,18.8
2020-12-20,TX,48073,22.299999999999997,22.0,5.1,0.0,22.299999999999997,22.299999999999997
2020-12-27,TX,48073,27.1,26.6,5.7,0.0,27.1,27.1
2021-01-03,TX,48073,30.7,30.0,0.0,0.0,32.3,30.7
2021-01-10,TX,48073,31.799999999999997,31.299999999999997,5.6,0.0,31.799999999999997,31.799999999999997
2021-01-17,TX,48073,29.9,29.9,5.9,0.0,29.9,29.9
2021-01-24,TX,48073,20.8,20.299999999999997,5.6,0.0,21.0,20.8
2021-01-31,TX,48073,19.1,18.7,6.0,0.0,19.1,19.1
2021-02-07,TX,48073,16.5,16.0,6.7,0.0,16.5,16.5
2021-02-14,TX,48073,9.2,9.0,4.0,0.0,9.2,9.2
2021-02-21,TX,48073,0,0,4.4,0.0,0,0.0
2021-02-28,TX,48073,7.6,7.1,5.4,0.0,7.6,7.6
2021-03-07,TX,48073,4.7,4.6,4.6,0.0,4.7,4.7
2021-03-14,TX,48073,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,TX,48073,0,0,0.0,0.0,0,0.0
2021-03-28,TX,48073,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-04,TX,48073,0,0,0.0,0.0,0,0.0
2021-04-11,TX,48073,0,0,0.0,0.0,0,0.0
